smiles,rdkit__qed,rdkit__SPS,rdkit__MolWt,rdkit__HeavyAtomMolWt,rdkit__ExactMolWt,rdkit__NumValenceElectrons,rdkit__NumRadicalElectrons,rdkit__MaxPartialCharge,rdkit__MinPartialCharge,rdkit__MaxAbsPartialCharge,rdkit__MinAbsPartialCharge,rdkit__FpDensityMorgan1,rdkit__FpDensityMorgan2,rdkit__FpDensityMorgan3,rdkit__LabuteASA,rdkit__TPSA,rdkit__FractionCSP3,rdkit__HeavyAtomCount,rdkit__NHOHCount,rdkit__NOCount,rdkit__NumAliphaticCarbocycles,rdkit__NumAliphaticHeterocycles,rdkit__NumAliphaticRings,rdkit__NumAmideBonds,rdkit__NumAromaticCarbocycles,rdkit__NumAromaticHeterocycles,rdkit__NumAromaticRings,rdkit__NumAtomStereoCenters,rdkit__NumBridgeheadAtoms,rdkit__NumHAcceptors,rdkit__NumHDonors,rdkit__NumHeteroatoms,rdkit__NumHeterocycles,rdkit__NumRotatableBonds,rdkit__NumSaturatedCarbocycles,rdkit__NumSaturatedHeterocycles,rdkit__NumSaturatedRings,rdkit__NumSpiroAtoms,rdkit__NumUnspecifiedAtomStereoCenters,rdkit__Phi,rdkit__RingCount,rdkit__MolLogP,rdkit__MolMR,rdkit__fr_Al_COO,rdkit__fr_Al_OH,rdkit__fr_Al_OH_noTert,rdkit__fr_ArN,rdkit__fr_Ar_COO,rdkit__fr_Ar_N,rdkit__fr_Ar_NH,rdkit__fr_Ar_OH,rdkit__fr_COO,rdkit__fr_COO2,rdkit__fr_C_O,rdkit__fr_C_O_noCOO,rdkit__fr_C_S,rdkit__fr_HOCCN,rdkit__fr_Imine,rdkit__fr_NH0,rdkit__fr_NH1,rdkit__fr_NH2,rdkit__fr_N_O,rdkit__fr_Ndealkylation1,rdkit__fr_Ndealkylation2,rdkit__fr_Nhpyrrole,rdkit__fr_SH,rdkit__fr_aldehyde,rdkit__fr_alkyl_carbamate,rdkit__fr_alkyl_halide,rdkit__fr_allylic_oxid,rdkit__fr_amide,rdkit__fr_amidine,rdkit__fr_aniline,rdkit__fr_aryl_methyl,rdkit__fr_azide,rdkit__fr_azo,rdkit__fr_barbitur,rdkit__fr_benzene,rdkit__fr_benzodiazepine,rdkit__fr_bicyclic,rdkit__fr_diazo,rdkit__fr_dihydropyridine,rdkit__fr_epoxide,rdkit__fr_ester,rdkit__fr_ether,rdkit__fr_furan,rdkit__fr_guanido,rdkit__fr_halogen,rdkit__fr_hdrzine,rdkit__fr_hdrzone,rdkit__fr_imidazole,rdkit__fr_imide,rdkit__fr_isocyan,rdkit__fr_isothiocyan,rdkit__fr_ketone,rdkit__fr_ketone_Topliss,rdkit__fr_lactam,rdkit__fr_lactone,rdkit__fr_methoxy,rdkit__fr_morpholine,rdkit__fr_nitrile,rdkit__fr_nitro,rdkit__fr_nitro_arom,rdkit__fr_nitro_arom_nonortho,rdkit__fr_nitroso,rdkit__fr_oxazole,rdkit__fr_oxime,rdkit__fr_para_hydroxylation,rdkit__fr_phenol,rdkit__fr_phenol_noOrthoHbond,rdkit__fr_phos_acid,rdkit__fr_phos_ester,rdkit__fr_piperdine,rdkit__fr_piperzine,rdkit__fr_priamide,rdkit__fr_prisulfonamd,rdkit__fr_pyridine,rdkit__fr_quatN,rdkit__fr_sulfide,rdkit__fr_sulfonamd,rdkit__fr_sulfone,rdkit__fr_term_acetylene,rdkit__fr_tetrazole,rdkit__fr_thiazole,rdkit__fr_thiocyan,rdkit__fr_thiophene,rdkit__fr_unbrch_alkane,rdkit__fr_urea,pka__num_basic_sites,pka__num_acidic_sites,pka__num_ionizable_sites,pka__has_basic_site,pka__has_acidic_site,pka__is_amphoteric,pka__most_basic_pka,pka__most_acidic_pka,pka__logd_ph,pka__logp_wildman_crippen,pka__logd_estimate,pka__fraction_neutral,pka__base_site_pka_min,pka__base_site_pka_max,pka__base_site_pka_mean,pka__base_site_pka_std,pka__base_site_pka_sum,pka__base_site_pka_range,pka__acid_site_pka_min,pka__acid_site_pka_max,pka__acid_site_pka_mean,pka__acid_site_pka_std,pka__acid_site_pka_sum,pka__acid_site_pka_range,pka__warning_count,pka__warning_multiple_basic_sites,pka__warning_multiple_acidic_sites,pka__warning_amphoteric,pka__warning_fraction_neutral_clamped,pka__warning_fraction_neutral_tiny,pka__base_site_pka_rank_1,pka__base_site_pka_rank_2,pka__base_site_pka_rank_3,pka__base_site_pka_rank_4,pka__base_site_pka_rank_5,pka__base_site_pka_rank_6,pka__base_site_pka_rank_7,pka__acid_site_pka_rank_1,pka__acid_site_pka_rank_2,pka__acid_site_pka_rank_3,pka__acid_site_pka_rank_4,pka__acid_site_pka_rank_5,pka__acid_site_pka_rank_6,pka__acid_site_pka_rank_7,pka__acid_site_pka_rank_8,pka__acid_site_pka_rank_9,pka__acid_site_pka_rank_10,pka__acid_site_pka_rank_11,pka__acid_site_pka_rank_12,pka__acid_site_pka_rank_13,pka__acid_site_pka_rank_14,pka__acid_site_pka_rank_15,pka__acid_site_pka_rank_16,pka__acid_site_pka_rank_17,pka__acid_site_pka_rank_18,pka__acid_site_pka_rank_19,pka__acid_site_pka_rank_20,pka__acid_site_pka_rank_21,pka__acid_site_pka_rank_22,pka__acid_site_pka_rank_23
CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,0.776898468519391,19.1,288.778,271.642,288.10294084400005,104.0,0.0,0.2479170266189196,-0.3132001255687898,0.3132001255687898,0.2479170266189196,1.3,2.15,2.9,123.49950340720927,32.67,0.375,20.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.617218663909317,3.0,3.6059000000000023,82.81700000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,4.5613,,7.4,3.6059,3.6053,0.9986,4.5613,4.5613,4.5613,0.0,4.5613,0.0,,,,,0.0,,0,0,0,0,0,0,4.5613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1C(=O)CN=C(C2=CCCCC2)c2cc([N+](=O)[O-])ccc21,0.6221126402396587,18.227272727272727,299.33,282.194,299.126991404,114.0,0.0,0.2697571228945684,-0.3131932289052329,0.3131932289052329,0.2697571228945684,1.318181818181818,2.136363636363636,2.8181818181818183,127.8492129028274,75.81,0.375,22.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.7471854383022585,3.0,2.8607000000000014,84.46140000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,4.324,,7.4,2.8607,2.8603,0.9992,4.324,4.324,4.324,0.0,4.324,0.0,,,,,0.0,,0,0,0,0,0,0,4.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CN=C(C2=CCCCC2)c2cc(Cl)ccc2N1,0.8354652136519979,18.894736842105264,274.751,259.631,274.08729078000005,98.0,0.0,0.2455699255213124,-0.3238405350688843,0.3238405350688843,0.2455699255213124,1.263157894736842,2.1578947368421053,2.9473684210526314,116.92458980621734,41.46,0.3333333333333333,19.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.38392242730988,3.0,3.5816000000000026,78.03670000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,1,1,1,4.7186,12.1696,7.4,3.5816,3.5807,0.9979,3.0361,4.7186,3.87735,0.8412500000000003,7.7547,1.6825000000000006,12.1696,12.1696,12.1696,0.0,12.1696,0.0,2,1,0,1,0,0,4.7186,3.0361,,,,,,12.1696,,,,,,,,,,,,,,,,,,,,,,
Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.7524509230706136,25.178571428571427,401.4440000000001,382.29200000000014,401.104541708,146.0,0.0,0.3273993847143225,-0.479672802365529,0.479672802365529,0.3273993847143225,1.2857142857142858,1.9642857142857144,2.607142857142857,164.80319564476528,112.74,0.3684210526315789,28.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,6.0,2.0,9.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,4.219921810216637,4.0,1.89532,101.65800000000004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,1,0,,2.5962,7.4,1.8953,-2.9085,0.0,,,,,0.0,,2.5962,9.9825,6.28935,3.69315,12.5787,7.3863,1,0,1,0,0,0,,,,,,,,2.5962,9.9825,,,,,,,,,,,,,,,,,,,,,
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.6840735128490479,24.366666666666667,453.8790000000002,436.7430000000002,453.056147544,158.0,0.0,0.3273993847143225,-0.479672802365529,0.479672802365529,0.3273993847143225,1.4,2.1,2.7333333333333334,179.27199727457318,112.74,0.3684210526315789,30.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,6.0,2.0,11.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,4.813264928426976,4.0,2.6878199999999994,106.62600000000003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,1,0,,2.601,7.4,2.6878,-2.1112,0.0,,,,,0.0,,2.601,9.7986,6.1998,3.5988,12.3996,7.1976,1,0,1,0,0,0,,,,,,,,2.601,9.7986,,,,,,,,,,,,,,,,,,,,,
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.660289548252613,24.366666666666667,470.3340000000002,453.19800000000026,469.026597004,158.0,0.0,0.3273993847143225,-0.479672802365529,0.479672802365529,0.3273993847143225,1.3,1.9333333333333331,2.533333333333333,185.40972809852855,112.74,0.3684210526315789,30.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,6.0,2.0,11.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,5.028498231329319,4.0,3.2021200000000007,111.67800000000004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,1,0,,2.5984,7.4,3.2021,-1.5995,0.0,,,,,0.0,,2.5984,9.7952,6.1968,3.5984,12.3936,7.1968,1,0,1,0,0,0,,,,,,,,2.5984,9.7952,,,,,,,,,,,,,,,,,,,,,
Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,0.8341906734476934,11.8125,274.538,268.49,272.962730232,82.0,0.0,0.1376763062149026,-0.2268173643538659,0.2268173643538659,0.1376763062149026,1.3125,2.125,2.75,107.26545864072234,30.71,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.4857885746216457,2.0,3.779300000000001,66.50400000000002,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,2.1455,,7.4,3.7793,3.7793,1.0,2.1455,2.1455,2.1455,0.0,2.1455,0.0,,,,,0.0,,0,0,0,0,0,0,2.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.7672110598231308,55.65217391304348,318.5010000000001,284.229,318.255880328,130.0,0.0,0.1329601807965454,-0.3931197276586114,0.3931197276586114,0.1329601807965454,0.9130434782608696,1.608695652173913,2.347826086956522,140.9705245538846,37.3,0.9523809523809524,23.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,3.7223285047861374,4.0,4.595200000000005,91.90480000000008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,,13.9089,7.4,4.5952,4.5952,1.0,,,,,0.0,,13.9089,13.9089,13.9089,0.0,13.9089,0.0,0,0,0,0,0,0,,,,,,,,13.9089,,,,,,,,,,,,,,,,,,,,,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,0.7346190222392027,56.958333333333336,332.5280000000001,296.24,332.271530392,136.0,0.0,0.1329601807965454,-0.3901719608575523,0.3901719608575523,0.1329601807965454,0.875,1.5833333333333333,2.2916666666666665,147.3354666682812,37.3,0.9545454545454546,24.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,3.779401874240086,4.0,4.985300000000005,96.52180000000008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,,13.9342,7.4,4.9853,4.9853,1.0,,,,,0.0,,13.9342,13.9342,13.9342,0.0,13.9342,0.0,0,0,0,0,0,0,,,,,,,,13.9342,,,,,,,,,,,,,,,,,,,,,,
CCO[C@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2[C@H](N(C)C)C[C@]2(C)[C@@H](C(C)=O)CC[C@@H]32)C[C@@H]1O,0.7632801831944661,52.0,405.6230000000002,362.27900000000017,405.324294236,166.0,0.0,0.1329612260429477,-0.3904145535347321,0.3904145535347321,0.1329612260429477,1.103448275862069,1.827586206896552,2.4482758620689653,177.30367191118123,49.77,0.96,29.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,5.705069350782423,4.0,4.150300000000004,115.55980000000008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1,1,1,9.2091,13.9282,7.4,4.1503,2.3345,0.0153,9.2091,9.2091,9.2091,0.0,9.2091,0.0,13.9282,13.9282,13.9282,0.0,13.9282,0.0,1,0,0,1,0,0,9.2091,,,,,,,13.9282,,,,,,,,,,,,,,,,,,,,,,
