chembl_id	pref_name	molregno	n_activities
CHEMBL8	CIPROFLOXACIN	241	19590
CHEMBL53463	DOXORUBICIN	78759	15025
CHEMBL428647	PACLITAXEL	8062	12819
CHEMBL262777	VANCOMYCIN	70140	12676
CHEMBL106	FLUCONAZOLE	13758	9845
CHEMBL267345	AMPHOTERICIN B	8873	8505
CHEMBL98	VORINOSTAT	11305	8274
CHEMBL374478	RIFAMPIN	365189	8051
CHEMBL5315124	LEVOFLOXACIN	2832775	8001
CHEMBL174	AMPICILLIN	305519	7783
CHEMBL6	INDOMETHACIN	173	7764
CHEMBL388978	STAUROSPORINE	373381	7636
CHEMBL126	LINEZOLID	26280	7542
CHEMBL44657	ETOPOSIDE	68607	7303
CHEMBL6067485	GENTAMICIN	3283076	7060
CHEMBL127	MEROPENEM	26386	6925
CHEMBL185	FLUOROURACIL	368538	6884
CHEMBL148	IMIPENEM ANHYDROUS	43934	6808
CHEMBL64	ISONIAZID	4941	6737
CHEMBL157101	KETOCONAZOLE	255904	6637
