smiles	match_method	chembl_id	n_activities	include_activities_in_tool
Br/C(=N\Nc1nn[nH]n1)c1ccncc1	chembl_parent	CHEMBL1410841	10	True
BrC(Br)Br	chembl_parent	CHEMBL345248	4	True
BrC(Br)C(Br)(Br)Br	chembl_parent	CHEMBL3183363	0	True
BrC(Br)C(Br)Br	chembl_parent	CHEMBL1438332	2	True
BrC(c1cccc2ccccc12)c1cccc2ccccc12	chembl_parent	CHEMBL512832	62	False
BrC/C=C/CBr	chembl_parent	CHEMBL1324439	6	True
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	chembl_parent	CHEMBL375298	2	True
BrCBr	chembl_parent	CHEMBL1229889	0	True
BrCC(Br)(Br)Br	chembl_parent	CHEMBL1492104	42	False
BrCC(Br)C1CCC(Br)C(Br)C1	chembl_parent	CHEMBL375107	31	False
BrCC1CO1	chembl_parent	CHEMBL3183066	0	True
BrCCBr	chembl_parent	CHEMBL452370	8	True
BrCCCCBr	chembl_parent	CHEMBL3185714	0	True
BrCCCCCBr	chembl_parent	CHEMBL3182198	0	True
BrCCCCCCBr	chembl_parent	CHEMBL3559826	0	True
BrCCOc1ccccc1	chembl_parent	CHEMBL3188706	0	True
BrCCc1ccccc1	chembl_parent	CHEMBL1340745	8	True
BrC[C@H]1CO1	chembl_parent	CHEMBL504705	1	True
BrCc1ccc(Br)cc1	chembl_parent	CHEMBL3185105	0	True
BrCc1cccc(Oc2ccccc2)c1	chembl_parent	CHEMBL3182389	0	True
BrCc1ccccc1	chembl_parent	CHEMBL1085946	7	True
Brc1[nH]nc2ccccc12	chembl_parent	CHEMBL1482381	12	True
Brc1c(Br)c(Br)c(Br)c(Br)c1Br	chembl_parent	CHEMBL375600	3	True
Brc1c(NC2=NCCN2)ccc2nccnc12	chembl_parent	CHEMBL844	534	False
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12	chembl_parent	CHEMBL844	534	False
Brc1c2ccccc2c(Br)c2ccccc12	chembl_parent	CHEMBL3183379	0	True
Brc1c2ccccc2cc2ccccc12	chembl_parent	CHEMBL3183594	0	True
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br	chembl_parent	CHEMBL3182045	0	True
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br	chembl_parent	CHEMBL1568307	20	True
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br	chembl_parent	CHEMBL1528378	7	True
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2	chembl_parent	CHEMBL1969457	23	True
Brc1cc2ccccc2c2ccccc12	chembl_parent	CHEMBL3188808	0	True
Brc1ccc(-c2ccccc2)cc1	chembl_parent	CHEMBL1399688	11	True
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1	chembl_parent	CHEMBL1309272	21	True
Brc1ccc(-c2csc(N3CCC(c4nn[nH]n4)CC3)n2)cc1	chembl_parent	CHEMBL1715707	4	True
Brc1ccc(-c2csc(N3CCCCC3)n2)cc1	chembl_parent	CHEMBL1314392	12	True
Brc1ccc(-c2csc(N3CCNCC3)n2)cc1	chembl_parent	CHEMBL1717794	4	True
Brc1ccc(-c2csc(N3CCOCC3)n2)cc1	chembl_parent	CHEMBL1476987	33	False
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1	chembl_parent	CHEMBL1415482	16	True
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1	chembl_parent	CHEMBL1310130	20	True
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1	chembl_parent	CHEMBL1335655	28	False
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1	chembl_parent	CHEMBL3193547	36	False
Brc1ccc(Br)c(Br)c1	chembl_parent	CHEMBL3182885	0	True
Brc1ccc(Br)cc1	chembl_parent	CHEMBL195407	9	True
Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1	chembl_parent	CHEMBL1621132	0	True
Brc1ccc(CSc2nccn2-c2ccccc2)cc1	chembl_parent	CHEMBL1520238	41	False
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1	chembl_parent	CHEMBL3301779	0	True
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	chembl_parent	CHEMBL374400	51	False
Brc1ccc(Oc2ccc(Br)cc2)cc1	chembl_parent	CHEMBL1894292	2	True
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1	chembl_parent	CHEMBL229760	30	False
Brc1ccc(Oc2ccccc2)cc1	chembl_parent	CHEMBL1873236	2	True
Brc1ccc([C@H]2CN3CCSC3=N2)cc1	chembl_parent	CHEMBL1527442	21	True
Brc1ccc2cccnc2c1	chembl_parent	CHEMBL1372028	9	True
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1	chembl_parent	CHEMBL1491976	27	False
Brc1cccc(-c2ccccc2)c1	chembl_parent	CHEMBL1899525	3	True
Brc1ccccc1	chembl_parent	CHEMBL16068	1936	False
Brc1ccccc1-c1ccccc1	chembl_parent	CHEMBL1462584	21	True
Brc1ccccc1-c1nc(NCc2ccc(-c3cccnc3)cc2)c2ccccc2n1	chembl_parent	CHEMBL3188953	2	True
Brc1ccccc1OCCOCCOc1cccc2cccnc12	chembl_parent	CHEMBL1495971	18	True
Brc1cccnc1	chembl_parent	CHEMBL5396433	1	True
Brc1cn[nH]c1	chembl_parent	CHEMBL4440111	3	True
Brc1cncnc1	chembl_parent	CHEMBL3423442	6	True
Brc1nc2ccccc2s1	chembl_parent	CHEMBL3181987	2	True
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1	chembl_parent	CHEMBL283487	10	True
C#CC(C)(C)O	chembl_parent	CHEMBL3185871	0	True
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O	chembl_parent	CHEMBL2107106	0	True
C#CC(C)(O)CC	chembl_parent	CHEMBL501613	22	True
C#CC(C)(O)CC(C)C	chembl_parent	CHEMBL3184632	0	True
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1	chembl_parent	CHEMBL3185882	0	True
C#CC(O)(/C=C/Cl)CC	chembl_parent	CHEMBL591	32	False
C#CC(O)(/C=C\Cl)CC	chembl_parent	CHEMBL3559833	2	True
C#CC(O)CCCCC	chembl_parent	CHEMBL3182633	0	True
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1	chembl_parent	CHEMBL2106211	0	True
C#CC(OC(N)=O)c1ccccc1	chembl_parent	CHEMBL2105609	0	True
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C	chembl_parent	CHEMBL1719162	10	True
C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCC(=O)NC(C(=O)O)C(C)C)CC[C@]4(C)C3CC[C@@]21C	chembl_parent	CHEMBL3196802	4	True
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	chembl_parent	CHEMBL4579631	3	True
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	chembl_parent	CHEMBL3184827	95	False
C#CC1(O)CCCCC1	chembl_parent	CHEMBL394631	1	True
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	chembl_parent	CHEMBL2107797	308	False
C#CC1(OC(N)=O)CCCCC1	chembl_parent	CHEMBL1576	67	False
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1	chembl_parent	CHEMBL2106779	0	True
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	chembl_parent	CHEMBL1201746	51	False
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1	chembl_parent	CHEMBL1201746	51	False
C#CCC1(OC(N)=O)CCCCC1	chembl_parent	CHEMBL2104292	0	True
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O	chembl_parent	CHEMBL1876311	4	True
C#CCCCC(=O)Nc1ccccc1	chembl_parent	CHEMBL1399301	8	True
C#CCCCC(=S)Nc1ccccc1	chembl_parent	CHEMBL1566670	11	True
C#CCCCCCCCCCCCCCCCC(=O)O	chembl_parent	CHEMBL182310	19	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1434199	10	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1318650	8	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1591343	8	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1611145	9	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1741858	5	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1597094	6	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1533018	8	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1486289	10	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1315779	10	True
