split	dataset	rows	valid_rdkit_rows	full_match_rows	full_match_pct	connectivity_match_rows	connectivity_match_pct	rdkit_valid_rows	rdkit_full_match_rows	rdkit_full_match_pct	rdkit_connectivity_match_rows	rdkit_connectivity_match_pct	chembl_standardized_valid_rows	chembl_standardized_full_match_rows	chembl_standardized_full_match_pct	chembl_standardized_connectivity_match_rows	chembl_standardized_connectivity_match_pct	chembl_parent_valid_rows	chembl_parent_full_match_rows	chembl_parent_full_match_pct	chembl_parent_connectivity_match_rows	chembl_parent_connectivity_match_pct
test	AMES	1453	1453	539	37.0956641431521	689	47.41913282863042	1453	539	37.0956641431521	689	47.41913282863042	1453	539	37.0956641431521	689	47.41913282863042	1453	539	37.0956641431521	689	47.41913282863042
test	BBB_Martins	392	392	347	88.5204081632653	375	95.66326530612245	392	347	88.5204081632653	375	95.66326530612245	392	352	89.79591836734694	376	95.91836734693878	392	352	89.79591836734694	376	95.91836734693878
test	Bioavailability_Ma	128	128	128	100.0	128	100.0	128	128	100.0	128	100.0	128	128	100.0	128	100.0	128	128	100.0	128	100.0
test	CYP1A2_Veith	2515	2515	2395	95.22862823061631	2465	98.01192842942346	2515	2395	95.22862823061631	2465	98.01192842942346	2515	2407	95.70576540755467	2465	98.01192842942346	2515	2407	95.70576540755467	2465	98.01192842942346
test	CYP2C19_Veith	2528	2528	2407	95.2136075949367	2485	98.29905063291139	2528	2407	95.2136075949367	2485	98.29905063291139	2528	2429	96.08386075949367	2485	98.29905063291139	2528	2429	96.08386075949367	2485	98.29905063291139
test	CYP2C9_Substrate_CarbonMangels	135	135	112	82.96296296296296	131	97.03703703703704	135	112	82.96296296296296	131	97.03703703703704	135	112	82.96296296296296	131	97.03703703703704	135	112	82.96296296296296	131	97.03703703703704
test	CYP2C9_Veith	2413	2413	2274	94.23953584749275	2357	97.67923746373809	2413	2274	94.23953584749275	2357	97.67923746373809	2413	2299	95.2755905511811	2359	97.76212184003316	2413	2299	95.2755905511811	2359	97.76212184003316
test	CYP2D6_Substrate_CarbonMangels	133	133	112	84.21052631578948	130	97.74436090225564	133	112	84.21052631578948	130	97.74436090225564	133	112	84.21052631578948	130	97.74436090225564	133	112	84.21052631578948	130	97.74436090225564
test	CYP2D6_Veith	2623	2623	2505	95.50133434998094	2578	98.28440716736561	2623	2505	95.50133434998094	2578	98.28440716736561	2623	2534	96.60693861990087	2581	98.39878002287458	2623	2534	96.60693861990087	2581	98.39878002287458
test	CYP3A4_Substrate_CarbonMangels	134	134	107	79.85074626865672	131	97.76119402985074	134	107	79.85074626865672	131	97.76119402985074	134	107	79.85074626865672	131	97.76119402985074	134	107	79.85074626865672	131	97.76119402985074
test	CYP3A4_Veith	2463	2463	2353	95.5339017458384	2417	98.13235891189606	2463	2353	95.5339017458384	2417	98.13235891189606	2463	2368	96.14291514413317	2419	98.21356069833536	2463	2368	96.14291514413317	2419	98.21356069833536
test	Carcinogens_Lagunin	54	54	44	81.48148148148148	49	90.74074074074075	54	44	81.48148148148148	49	90.74074074074075	54	44	81.48148148148148	49	90.74074074074075	54	44	81.48148148148148	49	90.74074074074075
