smiles	valid_rdkit	canonical_smiles	inchi_key	inchi_key_connectivity	chembl_full_inchikey_match	chembl_connectivity_match	chembl_ids	rdkit_valid	rdkit_canonical_smiles	rdkit_inchi_key	rdkit_inchi_key_connectivity	rdkit_full_match	rdkit_connectivity_match	rdkit_chembl_ids	rdkit_error	chembl_standardized_valid	chembl_standardized_canonical_smiles	chembl_standardized_inchi_key	chembl_standardized_inchi_key_connectivity	chembl_standardized_full_match	chembl_standardized_connectivity_match	chembl_standardized_chembl_ids	chembl_standardized_error	chembl_parent_valid	chembl_parent_canonical_smiles	chembl_parent_inchi_key	chembl_parent_inchi_key_connectivity	chembl_parent_full_match	chembl_parent_connectivity_match	chembl_parent_chembl_ids	chembl_parent_error
*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC	True	*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC			False	False		True	*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC			False	False			True	*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC			False	False			True	*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC			False	False		
Br/C(=N\Nc1nn[nH]n1)c1ccncc1	True	Br/C(=N\Nc1nn[nH]n1)c1ccncc1	WSTGRRRGPJCORP-POHAHGRESA-N	WSTGRRRGPJCORP	True	True	CHEMBL1410841	True	Br/C(=N\Nc1nn[nH]n1)c1ccncc1	WSTGRRRGPJCORP-POHAHGRESA-N	WSTGRRRGPJCORP	True	True	CHEMBL1410841		True	Br/C(=N\Nc1nn[nH]n1)c1ccncc1	WSTGRRRGPJCORP-POHAHGRESA-N	WSTGRRRGPJCORP	True	True	CHEMBL1410841		True	Br/C(=N\Nc1nn[nH]n1)c1ccncc1	WSTGRRRGPJCORP-POHAHGRESA-N	WSTGRRRGPJCORP	True	True	CHEMBL1410841	
Br/C=C/Br	True	Br/C=C/Br	UWTUEMKLYAGTNQ-OWOJBTEDSA-N	UWTUEMKLYAGTNQ	False	False		True	Br/C=C/Br	UWTUEMKLYAGTNQ-OWOJBTEDSA-N	UWTUEMKLYAGTNQ	False	False			True	Br/C=C/Br	UWTUEMKLYAGTNQ-OWOJBTEDSA-N	UWTUEMKLYAGTNQ	False	False			True	Br/C=C/Br	UWTUEMKLYAGTNQ-OWOJBTEDSA-N	UWTUEMKLYAGTNQ	False	False		
BrC(Br)Br	True	BrC(Br)Br	DIKBFYAXUHHXCS-UHFFFAOYSA-N	DIKBFYAXUHHXCS	True	True	CHEMBL345248	True	BrC(Br)Br	DIKBFYAXUHHXCS-UHFFFAOYSA-N	DIKBFYAXUHHXCS	True	True	CHEMBL345248		True	BrC(Br)Br	DIKBFYAXUHHXCS-UHFFFAOYSA-N	DIKBFYAXUHHXCS	True	True	CHEMBL345248		True	BrC(Br)Br	DIKBFYAXUHHXCS-UHFFFAOYSA-N	DIKBFYAXUHHXCS	True	True	CHEMBL345248	
BrC(Br)C(Br)(Br)Br	True	BrC(Br)C(Br)(Br)Br	OGVPXEPSTZMAFF-UHFFFAOYSA-N	OGVPXEPSTZMAFF	True	True	CHEMBL3183363	True	BrC(Br)C(Br)(Br)Br	OGVPXEPSTZMAFF-UHFFFAOYSA-N	OGVPXEPSTZMAFF	True	True	CHEMBL3183363		True	BrC(Br)C(Br)(Br)Br	OGVPXEPSTZMAFF-UHFFFAOYSA-N	OGVPXEPSTZMAFF	True	True	CHEMBL3183363		True	BrC(Br)C(Br)(Br)Br	OGVPXEPSTZMAFF-UHFFFAOYSA-N	OGVPXEPSTZMAFF	True	True	CHEMBL3183363	
BrC(Br)C(Br)Br	True	BrC(Br)C(Br)Br	QXSZNDIIPUOQMB-UHFFFAOYSA-N	QXSZNDIIPUOQMB	True	True	CHEMBL1438332	True	BrC(Br)C(Br)Br	QXSZNDIIPUOQMB-UHFFFAOYSA-N	QXSZNDIIPUOQMB	True	True	CHEMBL1438332		True	BrC(Br)C(Br)Br	QXSZNDIIPUOQMB-UHFFFAOYSA-N	QXSZNDIIPUOQMB	True	True	CHEMBL1438332		True	BrC(Br)C(Br)Br	QXSZNDIIPUOQMB-UHFFFAOYSA-N	QXSZNDIIPUOQMB	True	True	CHEMBL1438332	
BrC(c1cccc2ccccc12)c1cccc2ccccc12	True	BrC(c1cccc2ccccc12)c1cccc2ccccc12	JTXUIHPHBAGZMF-UHFFFAOYSA-N	JTXUIHPHBAGZMF	True	True	CHEMBL512832	True	BrC(c1cccc2ccccc12)c1cccc2ccccc12	JTXUIHPHBAGZMF-UHFFFAOYSA-N	JTXUIHPHBAGZMF	True	True	CHEMBL512832		True	BrC(c1cccc2ccccc12)c1cccc2ccccc12	JTXUIHPHBAGZMF-UHFFFAOYSA-N	JTXUIHPHBAGZMF	True	True	CHEMBL512832		True	BrC(c1cccc2ccccc12)c1cccc2ccccc12	JTXUIHPHBAGZMF-UHFFFAOYSA-N	JTXUIHPHBAGZMF	True	True	CHEMBL512832	
BrC/C=C/CBr	True	BrC/C=C/CBr	RMXLHIUHKIVPAB-OWOJBTEDSA-N	RMXLHIUHKIVPAB	True	True	CHEMBL1324439	True	BrC/C=C/CBr	RMXLHIUHKIVPAB-OWOJBTEDSA-N	RMXLHIUHKIVPAB	True	True	CHEMBL1324439		True	BrC/C=C/CBr	RMXLHIUHKIVPAB-OWOJBTEDSA-N	RMXLHIUHKIVPAB	True	True	CHEMBL1324439		True	BrC/C=C/CBr	RMXLHIUHKIVPAB-OWOJBTEDSA-N	RMXLHIUHKIVPAB	True	True	CHEMBL1324439	
BrC/C=C\CBr	True	BrC/C=C\CBr	RMXLHIUHKIVPAB-UPHRSURJSA-N	RMXLHIUHKIVPAB	False	True		True	BrC/C=C\CBr	RMXLHIUHKIVPAB-UPHRSURJSA-N	RMXLHIUHKIVPAB	False	True			True	BrC/C=C\CBr	RMXLHIUHKIVPAB-UPHRSURJSA-N	RMXLHIUHKIVPAB	False	True			True	BrC/C=C\CBr	RMXLHIUHKIVPAB-UPHRSURJSA-N	RMXLHIUHKIVPAB	False	True		
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	True	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	DEIGXXQKDWULML-UHFFFAOYSA-N	DEIGXXQKDWULML	True	True	CHEMBL375298	True	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	DEIGXXQKDWULML-UHFFFAOYSA-N	DEIGXXQKDWULML	True	True	CHEMBL375298		True	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	DEIGXXQKDWULML-UHFFFAOYSA-N	DEIGXXQKDWULML	True	True	CHEMBL375298		True	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	DEIGXXQKDWULML-UHFFFAOYSA-N	DEIGXXQKDWULML	True	True	CHEMBL375298	
BrCBr	True	BrCBr	FJBFPHVGVWTDIP-UHFFFAOYSA-N	FJBFPHVGVWTDIP	True	True	CHEMBL1229889	True	BrCBr	FJBFPHVGVWTDIP-UHFFFAOYSA-N	FJBFPHVGVWTDIP	True	True	CHEMBL1229889		True	BrCBr	FJBFPHVGVWTDIP-UHFFFAOYSA-N	FJBFPHVGVWTDIP	True	True	CHEMBL1229889		True	BrCBr	FJBFPHVGVWTDIP-UHFFFAOYSA-N	FJBFPHVGVWTDIP	True	True	CHEMBL1229889	
BrCC(Br)(Br)Br	True	BrCC(Br)(Br)Br	RVHSTXJKKZWWDQ-UHFFFAOYSA-N	RVHSTXJKKZWWDQ	True	True	CHEMBL1492104	True	BrCC(Br)(Br)Br	RVHSTXJKKZWWDQ-UHFFFAOYSA-N	RVHSTXJKKZWWDQ	True	True	CHEMBL1492104		True	BrCC(Br)(Br)Br	RVHSTXJKKZWWDQ-UHFFFAOYSA-N	RVHSTXJKKZWWDQ	True	True	CHEMBL1492104		True	BrCC(Br)(Br)Br	RVHSTXJKKZWWDQ-UHFFFAOYSA-N	RVHSTXJKKZWWDQ	True	True	CHEMBL1492104	
BrCC(Br)C1CCC(Br)C(Br)C1	True	BrCC(Br)C1CCC(Br)C(Br)C1	PQRRSJBLKOPVJV-UHFFFAOYSA-N	PQRRSJBLKOPVJV	True	True	CHEMBL375107	True	BrCC(Br)C1CCC(Br)C(Br)C1	PQRRSJBLKOPVJV-UHFFFAOYSA-N	PQRRSJBLKOPVJV	True	True	CHEMBL375107		True	BrCC(Br)C1CCC(Br)C(Br)C1	PQRRSJBLKOPVJV-UHFFFAOYSA-N	PQRRSJBLKOPVJV	True	True	CHEMBL375107		True	BrCC(Br)C1CCC(Br)C(Br)C1	PQRRSJBLKOPVJV-UHFFFAOYSA-N	PQRRSJBLKOPVJV	True	True	CHEMBL375107	
BrCC(Br)CBr	True	BrCC(Br)CBr	FHCLGDLYRUPKAM-UHFFFAOYSA-N	FHCLGDLYRUPKAM	False	False		True	BrCC(Br)CBr	FHCLGDLYRUPKAM-UHFFFAOYSA-N	FHCLGDLYRUPKAM	False	False			True	BrCC(Br)CBr	FHCLGDLYRUPKAM-UHFFFAOYSA-N	FHCLGDLYRUPKAM	False	False			True	BrCC(Br)CBr	FHCLGDLYRUPKAM-UHFFFAOYSA-N	FHCLGDLYRUPKAM	False	False		
BrCC(Br)c1ccccc1	True	BrCC(Br)c1ccccc1	SHKKTLSDGJRCTR-UHFFFAOYSA-N	SHKKTLSDGJRCTR	False	False		True	BrCC(Br)c1ccccc1	SHKKTLSDGJRCTR-UHFFFAOYSA-N	SHKKTLSDGJRCTR	False	False			True	BrCC(Br)c1ccccc1	SHKKTLSDGJRCTR-UHFFFAOYSA-N	SHKKTLSDGJRCTR	False	False			True	BrCC(Br)c1ccccc1	SHKKTLSDGJRCTR-UHFFFAOYSA-N	SHKKTLSDGJRCTR	False	False		
BrCC1CO1	True	BrCC1CO1	GKIPXFAANLTWBM-UHFFFAOYSA-N	GKIPXFAANLTWBM	True	True	CHEMBL3183066	True	BrCC1CO1	GKIPXFAANLTWBM-UHFFFAOYSA-N	GKIPXFAANLTWBM	True	True	CHEMBL3183066		True	BrCC1CO1	GKIPXFAANLTWBM-UHFFFAOYSA-N	GKIPXFAANLTWBM	True	True	CHEMBL3183066		True	BrCC1CO1	GKIPXFAANLTWBM-UHFFFAOYSA-N	GKIPXFAANLTWBM	True	True	CHEMBL3183066	
BrCCBr	True	BrCCBr	PAAZPARNPHGIKF-UHFFFAOYSA-N	PAAZPARNPHGIKF	True	True	CHEMBL452370	True	BrCCBr	PAAZPARNPHGIKF-UHFFFAOYSA-N	PAAZPARNPHGIKF	True	True	CHEMBL452370		True	BrCCBr	PAAZPARNPHGIKF-UHFFFAOYSA-N	PAAZPARNPHGIKF	True	True	CHEMBL452370		True	BrCCBr	PAAZPARNPHGIKF-UHFFFAOYSA-N	PAAZPARNPHGIKF	True	True	CHEMBL452370	
BrCCC(Br)Br	True	BrCCC(Br)Br	PYTGCWNMUAUPPL-UHFFFAOYSA-N	PYTGCWNMUAUPPL	False	False		True	BrCCC(Br)Br	PYTGCWNMUAUPPL-UHFFFAOYSA-N	PYTGCWNMUAUPPL	False	False			True	BrCCC(Br)Br	PYTGCWNMUAUPPL-UHFFFAOYSA-N	PYTGCWNMUAUPPL	False	False			True	BrCCC(Br)Br	PYTGCWNMUAUPPL-UHFFFAOYSA-N	PYTGCWNMUAUPPL	False	False		
BrCCCBr	True	BrCCCBr	VEFLKXRACNJHOV-UHFFFAOYSA-N	VEFLKXRACNJHOV	False	False		True	BrCCCBr	VEFLKXRACNJHOV-UHFFFAOYSA-N	VEFLKXRACNJHOV	False	False			True	BrCCCBr	VEFLKXRACNJHOV-UHFFFAOYSA-N	VEFLKXRACNJHOV	False	False			True	BrCCCBr	VEFLKXRACNJHOV-UHFFFAOYSA-N	VEFLKXRACNJHOV	False	False		
BrCCCCBr	True	BrCCCCBr	ULTHEAFYOOPTTB-UHFFFAOYSA-N	ULTHEAFYOOPTTB	True	True	CHEMBL3185714	True	BrCCCCBr	ULTHEAFYOOPTTB-UHFFFAOYSA-N	ULTHEAFYOOPTTB	True	True	CHEMBL3185714		True	BrCCCCBr	ULTHEAFYOOPTTB-UHFFFAOYSA-N	ULTHEAFYOOPTTB	True	True	CHEMBL3185714		True	BrCCCCBr	ULTHEAFYOOPTTB-UHFFFAOYSA-N	ULTHEAFYOOPTTB	True	True	CHEMBL3185714	
BrCCCCCBr	True	BrCCCCCBr	IBODDUNKEPPBKW-UHFFFAOYSA-N	IBODDUNKEPPBKW	True	True	CHEMBL3182198	True	BrCCCCCBr	IBODDUNKEPPBKW-UHFFFAOYSA-N	IBODDUNKEPPBKW	True	True	CHEMBL3182198		True	BrCCCCCBr	IBODDUNKEPPBKW-UHFFFAOYSA-N	IBODDUNKEPPBKW	True	True	CHEMBL3182198		True	BrCCCCCBr	IBODDUNKEPPBKW-UHFFFAOYSA-N	IBODDUNKEPPBKW	True	True	CHEMBL3182198	
BrCCCCCCBr	True	BrCCCCCCBr	SGRHVVLXEBNBDV-UHFFFAOYSA-N	SGRHVVLXEBNBDV	True	True	CHEMBL3559826	True	BrCCCCCCBr	SGRHVVLXEBNBDV-UHFFFAOYSA-N	SGRHVVLXEBNBDV	True	True	CHEMBL3559826		True	BrCCCCCCBr	SGRHVVLXEBNBDV-UHFFFAOYSA-N	SGRHVVLXEBNBDV	True	True	CHEMBL3559826		True	BrCCCCCCBr	SGRHVVLXEBNBDV-UHFFFAOYSA-N	SGRHVVLXEBNBDV	True	True	CHEMBL3559826	
BrCCOc1ccccc1	True	BrCCOc1ccccc1	JJFOBACUIRKUPN-UHFFFAOYSA-N	JJFOBACUIRKUPN	True	True	CHEMBL3188706	True	BrCCOc1ccccc1	JJFOBACUIRKUPN-UHFFFAOYSA-N	JJFOBACUIRKUPN	True	True	CHEMBL3188706		True	BrCCOc1ccccc1	JJFOBACUIRKUPN-UHFFFAOYSA-N	JJFOBACUIRKUPN	True	True	CHEMBL3188706		True	BrCCOc1ccccc1	JJFOBACUIRKUPN-UHFFFAOYSA-N	JJFOBACUIRKUPN	True	True	CHEMBL3188706	
BrCCc1ccccc1	True	BrCCc1ccccc1	WMPPDTMATNBGJN-UHFFFAOYSA-N	WMPPDTMATNBGJN	True	True	CHEMBL1340745	True	BrCCc1ccccc1	WMPPDTMATNBGJN-UHFFFAOYSA-N	WMPPDTMATNBGJN	True	True	CHEMBL1340745		True	BrCCc1ccccc1	WMPPDTMATNBGJN-UHFFFAOYSA-N	WMPPDTMATNBGJN	True	True	CHEMBL1340745		True	BrCCc1ccccc1	WMPPDTMATNBGJN-UHFFFAOYSA-N	WMPPDTMATNBGJN	True	True	CHEMBL1340745	
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	True	BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	PQRRSJBLKOPVJV-OOJXKGFFSA-N	PQRRSJBLKOPVJV	False	True		True	BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	PQRRSJBLKOPVJV-OOJXKGFFSA-N	PQRRSJBLKOPVJV	False	True			True	BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	PQRRSJBLKOPVJV-OOJXKGFFSA-N	PQRRSJBLKOPVJV	False	True			True	BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	PQRRSJBLKOPVJV-OOJXKGFFSA-N	PQRRSJBLKOPVJV	False	True		
BrC[C@H]1CO1	True	BrC[C@H]1CO1	GKIPXFAANLTWBM-VKHMYHEASA-N	GKIPXFAANLTWBM	True	True	CHEMBL504705	True	BrC[C@H]1CO1	GKIPXFAANLTWBM-VKHMYHEASA-N	GKIPXFAANLTWBM	True	True	CHEMBL504705		True	BrC[C@H]1CO1	GKIPXFAANLTWBM-VKHMYHEASA-N	GKIPXFAANLTWBM	True	True	CHEMBL504705		True	BrC[C@H]1CO1	GKIPXFAANLTWBM-VKHMYHEASA-N	GKIPXFAANLTWBM	True	True	CHEMBL504705	
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32	True	BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32	OGWGPENEZHHLHI-UHFFFAOYSA-N	OGWGPENEZHHLHI	False	False		True	BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32	OGWGPENEZHHLHI-UHFFFAOYSA-N	OGWGPENEZHHLHI	False	False			True	BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32	OGWGPENEZHHLHI-UHFFFAOYSA-N	OGWGPENEZHHLHI	False	False			True	BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32	OGWGPENEZHHLHI-UHFFFAOYSA-N	OGWGPENEZHHLHI	False	False		
