smiles	canonical_smiles	inchi_key	inchi_key_connectivity	chembl_connectivity_match	error
BrC/C=C\CBr	BrC/C=C\CBr	RMXLHIUHKIVPAB-UPHRSURJSA-N	RMXLHIUHKIVPAB	True	
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1	PQRRSJBLKOPVJV-OOJXKGFFSA-N	PQRRSJBLKOPVJV	True	
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br	Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br	DEIGXXQKDWULML-PQTSNVLCSA-N	DEIGXXQKDWULML	True	
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12	Brc1c(NC2=[NH+]CCN2)ccc2nccnc12	XYLJNLCSTIOKRM-UHFFFAOYSA-O	XYLJNLCSTIOKRM	True	
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1	Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1	LCGIWYLFITWHBL-ZNCWWPBVSA-N	LCGIWYLFITWHBL	True	
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	BFPYWIDHMRZLRN-UHFFFAOYSA-N	BFPYWIDHMRZLRN	True	
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	IMSSROKUHAOUJS-UHFFFAOYSA-N	IMSSROKUHAOUJS	True	
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	APTGJECXMIKIET-UHFFFAOYSA-N	APTGJECXMIKIET	True	
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1	C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1	OGSBUKJUDHAQEA-WMCAAGNKSA-L	OGSBUKJUDHAQEA	True	
C#CC[NH+](C)Cc1ccccc1	C#CC[NH+](C)Cc1ccccc1	DPWPWRLQFGFJFI-UHFFFAOYSA-O	DPWPWRLQFGFJFI	True	
C#CC[NH+](C)[C@H](C)Cc1ccccc1	C#CC[NH+](C)[C@H](C)Cc1ccccc1	MEZLKOACVSPNER-GFCCVEGCSA-O	MEZLKOACVSPNER	True	
C#CC[NH2+][C@@H]1CCc2ccccc21	C#CC[NH2+][C@@H]1CCc2ccccc21	RUOKEQAAGRXIBM-GFCCVEGCSA-O	RUOKEQAAGRXIBM	True	
C#C[C@@]1(O)C=C[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC	C#C[C@@]1(O)C=C[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC	SIGSPDASOTUPFS-MKUJHJDCSA-N	SIGSPDASOTUPFS	True	
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21C	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21C	VIKNJXKGJWUCNN-YDETXVTLSA-N	VIKNJXKGJWUCNN	True	
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC	WWYNJERNGUHSAO-MKUJHJDCSA-N	WWYNJERNGUHSAO	True	
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C	YNVGQYHLRCDXFQ-YDETXVTLSA-N	YNVGQYHLRCDXFQ	True	
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]21C	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]21C	BFPYWIDHMRZLRN-MFKWGIFDSA-N	BFPYWIDHMRZLRN	True	
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C	IMSSROKUHAOUJS-XIYVOTBMSA-N	IMSSROKUHAOUJS	True	
C#C[C@@]1(O)CC[C@@H]2[C@H]3[C@@H](C)CC4=C(CCC(=O)C4)[C@@H]3CC[C@@]21C	C#C[C@@]1(O)CC[C@@H]2[C@H]3[C@@H](C)CC4=C(CCC(=O)C4)[C@@H]3CC[C@@]21C	WZDGZWOAQTVYBX-SKNPKWSPSA-N	WZDGZWOAQTVYBX	True	
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	WWYNJERNGUHSAO-ZUHHCLADSA-N	WWYNJERNGUHSAO	True	
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3C(=C)C[C@]21CC	C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3C(=C)C[C@]21CC	RPLCPCMSCLEKRS-PCPGVINSSA-N	RPLCPCMSCLEKRS	True	
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@@]21CC	C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@@]21CC	KIQQMECNKUGGKA-FAQXLEIZSA-N	KIQQMECNKUGGKA	True	
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C	C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C	ONKUMRGIYFNPJW-LWEXMRFPSA-N	ONKUMRGIYFNPJW	True	
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	ICTXHFFSOAJUMG-UEDWAMCQSA-N	ICTXHFFSOAJUMG	True	
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21C	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21C	VIKNJXKGJWUCNN-PJBUMPDVSA-N	VIKNJXKGJWUCNN	True	
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21CC	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21CC	WWYNJERNGUHSAO-UFOPBENGSA-N	WWYNJERNGUHSAO	True	
C#C[C@]1(O)CC[C@H]2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C	C#C[C@]1(O)CC[C@H]2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C	ZQLOAGFNRKBEAJ-STLRWZJVSA-N	ZQLOAGFNRKBEAJ	True	
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@]21C	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@]21C	IMSSROKUHAOUJS-ADAARDCZSA-N	IMSSROKUHAOUJS	True	
C(/C=C\c1ccccc1)=Nc1ccc2c(c1)Cc1ccccc1-2	C(/C=C\c1ccccc1)=Nc1ccc2c(c1)Cc1ccccc1-2	KNNZYQMTSPFAGR-LQSQFJFCSA-N	KNNZYQMTSPFAGR	True	
C(=NC12CN3CN(CN(C3)C1)C2)c1cccnc1	C(=NC12CN3CN(CN(C3)C1)C2)c1cccnc1	XYTWOKPZUAAXDM-UHFFFAOYSA-N	XYTWOKPZUAAXDM	True	
C(=NC12CN3CN(CN(C3)C1)C2)c1cccs1	C(=NC12CN3CN(CN(C3)C1)C2)c1cccs1	XIWZHLYNKJMLQO-UHFFFAOYSA-N	XIWZHLYNKJMLQO	True	
C(=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccccn1	C(=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccccn1	MWQRCJCBHFELLF-UHFFFAOYSA-N	MWQRCJCBHFELLF	True	
C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1	C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1	FOOVLXYORBIGKA-UHFFFAOYSA-N	FOOVLXYORBIGKA	True	
C(CCOC[C@H]1CO1)COC[C@H]1CO1	C(CCOC[C@H]1CO1)COC[C@H]1CO1	SHKUUQIDMUMQQK-UWVGGRQHSA-N	SHKUUQIDMUMQQK	True	
C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	BTNNPSLJPBRMLZ-GHRIWEEISA-N	BTNNPSLJPBRMLZ	True	
C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	CKHJPWQVLKHBIH-ZDSKVHJSSA-N	CKHJPWQVLKHBIH	True	
