task,feature_set,n_trees,mean_tree_depth,min_tree_depth,max_tree_depth
AMES,fg_top_level+rdkit_descriptors_and_pka,500,29.382,21,40
BBB_Martins,fg_top_level+rdkit_descriptors_and_pka,400,15.0275,9,23
Bioavailability_Ma,fg_top_level+rdkit_descriptors_and_pka,200,6.565,5,10
CYP2C9_Substrate_CarbonMangels,fg_top_level+rdkit_descriptors_and_pka,700,18.697142857142858,15,20
CYP2D6_Substrate_CarbonMangels,fg_top_level+rdkit_descriptors_and_pka,150,4.0,4,4
CYP3A4_Substrate_CarbonMangels,fg_top_level+rdkit_descriptors_and_pka,400,8.915,6,10
Carcinogens_Lagunin,fg_top_level+rdkit_descriptors_and_pka,100,8.41,6,13
ClinTox,fg_top_level+rdkit_descriptors_and_pka,150,7.0,7,7
DILI,fg_top_level+rdkit_descriptors_and_pka,500,12.784,9,21
HIA_Hou,fg_top_level+rdkit_descriptors_and_pka,400,5.9,3,10
PAMPA_NCATS,fg_top_level+rdkit_descriptors_and_pka,400,19.5575,14,30
Pgp_Broccatelli,fg_top_level+rdkit_descriptors_and_pka,400,14.935,10,21
SARSCoV2_3CLPro_Diamond,fg_top_level+rdkit_descriptors_and_pka,150,4.0,4,4
SARSCoV2_Vitro_Touret,fg_top_level+rdkit_descriptors_and_pka,150,4.0,4,4
Skin_Reaction,fg_top_level+rdkit_descriptors_and_pka,400,13.005,7,22
hERG,fg_top_level+rdkit_descriptors_and_pka,500,8.022,4,17
