candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9165049927723092,0.0002657646347357955,0.7718902532332071,0.0023275514820975617,0.9719528399236637,0.0001049565064324322,0.8331387716830754,0.0004094151154548807
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8275509488399981,0.0011696623130413302,0.7678865125963452,0.0012567646424770731,0.9047671679088938,0.0002449858994991156,0.8236107204250664,0.0010428569059786048
4,100,2,1,log2,40.0,entropy,balanced,False,0.9083681015509066,0.0010803801217712332,0.7619751237431457,0.004509694250163837,0.9737313899059471,0.0002923692994277966,0.8179027973120799,0.0031574168125832846
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7922425104832385,0.003249785743894429,0.7564162475564946,0.01045261504953493,0.8709541577825158,0.0011809195651456003,0.8129082669167058,0.004604255839010433
9,100,100,4,log2,40.0,entropy,,False,0.7944491655498886,0.0023119682058713965,0.7539315566268293,0.0058451662356627365,0.8642436142900657,0.0010472098272512377,0.8101656508829504,0.003986333425071848
8,150,10,3,log2,,gini,,False,0.8100599056331299,0.0012303825475205817,0.7535657273219216,0.007886891031510267,0.8876489429155763,0.000823313290967418,0.8155282075324269,0.0028066496067293482
2,700,5,10,log2,4.0,gini,balanced,False,0.73884004472136,0.0041083100541765075,0.7511529937652499,0.007981590121129183,0.8178550293099269,0.0008288756915297406,0.7954703859978122,0.0035085804680018164
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7780124543701268,0.0015842291284399001,0.7467219208753553,0.0033512890525870887,0.862243592532962,0.0007772494624947016,0.8051015783716207,0.002603056885034901
5,700,20,1,,20.0,gini,balanced,False,0.8203091805740597,0.0,0.7209103915304815,0.0005516189498992574,0.8769626772426913,2.7616011512809384e-05,0.7436529145178936,2.1198093399380938e-05
1,200,2,10,log2,10.0,gini,,True,0.7302608910847426,0.010004971185757109,0.6952680413889842,0.008392962665920134,0.8257941498256324,0.0007327149681832306,0.7948046569776528,0.005731932513267415
