candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9398450729541761,0.0011889303586072543,0.8253896501781574,0.007400550999277122,0.9908035176551939,0.00011507601360594719,0.8704077815188926,0.0019597158030241232
4,100,2,1,log2,40.0,entropy,balanced,False,0.9829784463285625,0.0007299194978282578,0.8087574439757388,0.0166666773497427,0.9992675269344874,1.7581453425583853e-05,0.8861017583239805,0.004208712640606184
2,700,5,10,log2,4.0,gini,balanced,False,0.7943561864814515,0.0023557072959070136,0.7891669287044991,0.02276237009849861,0.8860542927884723,0.0010509089900980581,0.8195660306771417,0.0017290265631562203
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8589671326492784,0.003982391710698098,0.776410283521485,0.01322188466898924,0.9445690482032522,0.0013457404981678132,0.8358024691358026,0.005778054696970401
9,100,100,4,log2,40.0,entropy,,False,0.7985699198912859,0.005073085054464963,0.7721221585979524,0.0073766079150680815,0.926201177756463,0.0011054258622767235,0.8300785634118967,0.003847350582022419
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8680349160535166,0.0017948994472001454,0.7683360328783302,0.005577478185045937,0.9522796725480136,0.0002725270771680266,0.844818555929667,0.003171353453426551
8,150,10,3,log2,,gini,,False,0.8287007139133443,0.002211844162845175,0.7677425362981763,0.011121272415920876,0.9444859583770159,0.00046396667805845347,0.8469135802469137,0.0028457074830881197
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8491343125974484,0.0027808342718584306,0.7479908035980319,0.0028527968017943253,0.930763311101693,0.0009756790359712696,0.8332585110362889,0.005812108188833018
5,700,20,1,,20.0,gini,balanced,False,0.8554805913789914,0.0012486216378858922,0.7074562066758473,0.012849258670310806,0.9515494300818629,7.083250625352543e-05,0.7767863823419378,7.482229704449673e-05
1,200,2,10,log2,10.0,gini,,True,0.682746169640198,0.011498198793702997,0.6585401365845236,0.02365377448595459,0.8833979277731926,0.0025152651249902964,0.8246539468761689,0.005514306844686096
