candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.766665212492937,0.0021465844333307935,0.7257142857142858,0.0,0.9143000894454383,0.0017849737299966072,0.7583710407239819,0.005594943285366921
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7732219598183114,0.005282424690399071,0.6982620825189315,0.01530036038898691,0.9258217799642219,0.0013357754246863046,0.7457013574660634,0.02431305180043427
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7376360960514317,0.0026636388495767265,0.6778635557495786,0.01933253554648661,0.8522081842576028,0.0025931947206599103,0.7547511312217194,0.019633351547840686
3,400,20,1,log2,,gini,balanced,False,0.8934193559084145,0.0034909222418456113,0.6680423494267014,0.007226692402261127,0.9896383050089443,0.0003515252665979666,0.7770739064856712,0.0062115415631897215
5,700,20,1,,20.0,gini,balanced,False,0.802172096908939,0.0,0.6666666666666667,0.0,0.9365971601073344,2.738696045151213e-05,0.7126696832579186,0.0
4,100,2,1,log2,40.0,entropy,balanced,False,0.9894284039875746,0.0015590893057552194,0.6572359664865396,0.017097471759568533,0.9997176878354204,2.236135957066621e-05,0.6607843137254902,0.02356226194290016
2,700,5,10,log2,4.0,gini,balanced,False,0.696933794679089,0.004972906230016089,0.6496456487228895,0.01656886865463692,0.7826699463327371,0.001973152417957659,0.721870286576169,0.009802761272562258
8,150,10,3,log2,,gini,,False,0.5700322756609495,0.018354933836153525,0.5136466086075664,0.02299532080075255,0.9092352415026834,0.002297990115322747,0.7891402714932128,0.014697951994063181
9,100,100,4,log2,40.0,entropy,,False,0.5276169964553328,0.0,0.513005522656198,0.00472871531066268,0.8707066189624328,0.002998689792582885,0.7852187028657618,0.018487545636252847
1,200,2,10,log2,10.0,gini,,True,0.43434343434343436,0.0,0.4434782608695652,0.0,0.7650771466905187,0.006286475785564578,0.7351432880844646,0.01439138514856903
