candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7710629103401315,0.0037184513449204327,0.6305089238723259,0.022995954254785102,0.9064296296296297,0.002800337036348859,0.7081277213352685,0.007821302516869393
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6861448971962922,0.004246331482398077,0.6129952742416169,0.02311539399071774,0.8590962962962964,0.0015204360070642557,0.6970972423802612,0.0063197506696886
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7233567610428357,0.009532721548717222,0.5910091285013462,0.013939340723163031,0.9108355555555556,0.002206832637076472,0.6939042089985485,0.015539923151610055
3,400,20,1,log2,,gini,balanced,False,0.8854877781195167,0.0021436103169012607,0.5711448215649896,0.0056494470403598614,0.9860474074074075,0.00028946191980607226,0.6901306240928882,0.009040587229258282
5,700,20,1,,20.0,gini,balanced,False,0.7132982866043613,0.0,0.5618391935087288,0.0,0.8976622222222221,8.709296863231745e-05,0.7235123367198839,0.0
4,100,2,1,log2,40.0,entropy,balanced,False,0.9575017048530311,0.0,0.5341471807800051,0.023422878309563074,0.9980948148148148,0.0002282827885541782,0.6523947750362845,0.01153823333198943
2,700,5,10,log2,4.0,gini,balanced,False,0.5905879602865677,0.0039682823918318665,0.5188007130563068,0.01350470481549517,0.8123140740740741,0.001161179098960542,0.6991291727140784,0.005383813350070074
9,100,100,4,log2,40.0,entropy,,False,0.45329371131673185,0.009133833959370029,0.44537815126050423,0.0,0.8713629629629629,0.003268136059881616,0.6901306240928882,0.006088875751350682
1,200,2,10,log2,10.0,gini,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.7863792592592593,0.0029390979645110647,0.6799709724238027,0.014801217746278033
8,150,10,3,log2,,gini,,False,0.49107469361563993,0.006782227447468473,0.44537815126050423,0.0,0.9004355555555555,0.0020300426722186563,0.6680696661828738,0.003602227473437101
