candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
9,100,100,4,log2,40.0,entropy,,False,0.7055620289598306,0.00393488802025992,0.6742067818377885,0.014937066585520643,0.7945755716470436,0.0032175725950403054,0.6800366300366301,0.004318617627308288
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7557531481036264,0.00456563475718854,0.6592214852716095,0.011455711989621987,0.8501041033294641,0.0012057231981755987,0.6868131868131868,0.0034264261783644684
8,150,10,3,log2,,gini,,False,0.7480119282224337,0.005203061885389337,0.6442859133620004,0.03956593698587493,0.845123726346434,0.0023012495439685746,0.6565934065934066,0.008648878353932332
2,700,5,10,log2,4.0,gini,balanced,False,0.65912556466082,0.003792155393586153,0.6257229067035582,0.007827664225493438,0.7278941646859395,0.0015349116797610312,0.7126373626373627,0.00368127312128969
5,700,20,1,,20.0,gini,balanced,False,0.79698469309507,0.001048140884941771,0.6255309635591326,0.0,0.8724817128222135,4.103524303297726e-05,0.6586080586080586,0.00036630036630036494
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7493829039711679,0.00594697958311458,0.6222520323774112,0.018050663082099867,0.8477714517347484,0.002136480021493036,0.6597069597069597,0.010450800452518023
1,200,2,10,log2,10.0,gini,,True,0.6566151111052756,0.01224429989250223,0.6203873209503186,0.027363829494213593,0.7217843126416451,0.003996149281199394,0.6948717948717948,0.012250543229443673
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.704889981946005,0.006551789848391476,0.6200966885195837,0.02080452561731886,0.7860870045879167,0.001744616751683728,0.6875457875457875,0.016968842229890823
3,400,20,1,log2,,gini,balanced,False,0.9214555135589102,0.0010531558168222768,0.5840553241410559,0.014106754114903924,0.9759088312789048,0.0004674381875459611,0.6194139194139194,0.00747557935236576
4,100,2,1,log2,40.0,entropy,balanced,False,0.954470638734878,0.0031656428187333296,0.5684017861650188,0.01740426294110204,0.9983288191181618,0.00014433074292977645,0.5888278388278388,0.016554588334764368
