candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.846311927397943,0.007833317844005348,0.8541666666666667,0.0,0.9413060218697058,0.002356635438115741,0.7095652173913043,0.011795356492391773
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8894777961324639,0.003604062074688086,0.8436170212765959,0.0210992907801419,0.97765285692284,0.0006505070716754332,0.7043478260869566,0.0
5,700,20,1,,20.0,gini,balanced,False,0.9472723742962532,0.0,0.801418439716312,0.0,0.9896041891267519,1.1102230246251565e-16,0.8782608695652174,0.0
3,400,20,1,log2,,gini,balanced,False,0.9774779685232454,0.004725084263777784,0.7828014184397164,0.03723404255319149,0.9977668258124135,9.74057495816613e-05,0.7321739130434783,0.0034782608695652414
4,100,2,1,log2,40.0,entropy,balanced,False,0.9925917439951121,0.0,0.7641843971631206,0.04560220265819747,0.9997689819805945,4.965068306494546e-17,0.7008695652173913,0.025112224483815
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8916562496688194,0.015437678220643077,0.7576310748558667,0.026675774863688106,0.97569690435854,0.0011664313093337883,0.6869565217391305,0.015555255495650733
8,150,10,3,log2,,gini,,False,0.7813694378112229,0.03504829320470893,0.7551020408163265,0.0,0.9701986754966887,0.0014868342382438847,0.7565217391304347,0.021998453288127922
9,100,100,4,log2,40.0,entropy,,False,0.708203743724739,0.014858262252832051,0.7551020408163265,0.0,0.9508855690743878,0.001279690625463798,0.742608695652174,0.01790544372345563
2,700,5,10,log2,4.0,gini,balanced,False,0.7700136685636827,0.0033735417918124263,0.7171717171717171,0.0,0.9188356691821962,0.0026100379072003387,0.7182608695652174,0.004259982161362061
1,200,2,10,log2,10.0,gini,,True,0.43768115942028984,0.0,0.45098039215686275,0.0,0.8772370244879101,0.005123162790761547,0.7078260869565216,0.013014460475735455
