candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.8852419792699656,0.007089034944502252,0.6767441860465117,0.0,0.9971984377347154,7.823594207600737e-05,0.6641076115485565,0.014972137214647416
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8524900107185935,0.0038800661601808163,0.5914770595636696,0.022647725557321582,0.9756853687847377,0.0003845620094197745,0.6639763779527559,0.010658236485169016
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7382237022710719,0.009296112669970793,0.5525419819475627,0.020448422803963372,0.9552595012768516,0.0011613771810133364,0.6351049868766403,0.011902532643961366
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7528549791866068,0.0062618496995543935,0.5453425048948203,0.010809998210698392,0.973572930749587,0.0010994126528135301,0.6522965879265092,0.014966384673913837
4,100,2,1,log2,40.0,entropy,balanced,False,0.9482803249957333,0.0003159501109398555,0.5074400971421825,0.036813851328317534,0.9970407090280908,0.00015915292249073001,0.5617454068241469,0.02699905990356421
2,700,5,10,log2,4.0,gini,balanced,False,0.5882362696130409,0.011538266709376108,0.49768250838345696,0.016257304290830207,0.906012468078714,0.000272392786627413,0.6408792650918634,0.00692436008308294
9,100,100,4,log2,40.0,entropy,,False,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9367845876520956,0.001872207236918844,0.6841863517060367,0.010872606392235173
8,150,10,3,log2,,gini,,False,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9526250563316809,0.0019998584197181654,0.6765748031496063,0.005623171990978633
1,200,2,10,log2,10.0,gini,,True,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.8547543938711131,0.0021928038912973164,0.6756561679790026,0.01752545934903167
5,700,20,1,,20.0,gini,balanced,False,0.6120316530611888,0.0006529228554393674,0.4404318414522411,0.006024669787423583,0.9632360672975814,8.279032478988485e-05,0.5089238845144357,0.0008900695515912333
