candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,0.98790467192837,0.0004736454958363723,0.8678514265729719,0.0038182762929427293,0.9996050557353874,6.732004510368039e-06,0.9497699827487063,0.0025806562015315213
5,700,20,1,,20.0,gini,balanced,False,0.9254317913131074,1.1102230246251565e-16,0.8608395629672225,0.0,0.9816378966973908,2.3157834584102262e-05,0.8836112708453134,0.00046003450258771397
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.894912400950702,0.002946367914107415,0.8602478057680664,0.0032486807013101695,0.957592859587216,0.0005561933255498989,0.9356239217941346,0.0020701552616446376
8,150,10,3,log2,,gini,,False,0.8885272517463308,0.00656526640684173,0.8572054194579575,0.009990849144311205,0.9556747993021155,0.0012817973478710398,0.9348188614146062,0.004641136003215889
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8767330330886398,0.004018581627854183,0.851261815090789,0.007068627342381988,0.9361059841910093,0.0007227670718712842,0.9222829212190915,0.0031569815368167227
3,400,20,1,log2,,gini,balanced,False,0.9543105301407919,0.0012046019730741677,0.8507125593475887,0.006586789622857045,0.9918374445310878,0.00012377656809611765,0.9523001725129385,0.0014951121334099739
9,100,100,4,log2,40.0,entropy,,False,0.8635463249786254,0.003817057274642452,0.8439448077832811,0.011611004393696275,0.9399886677924074,0.0011239829785801795,0.9246981023576767,0.0028958432000032487
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8944365459407628,0.0019105358087051156,0.8396066820940288,0.0059349982667554315,0.9565179828670486,0.001495851090834073,0.9355664174813112,0.002361180582823185
2,700,5,10,log2,4.0,gini,balanced,False,0.8292855494389416,0.004756189609152671,0.8114182978223129,0.0181356614048727,0.9114993857045885,0.001869202404735219,0.9075043128234619,0.007194706510977057
1,200,2,10,log2,10.0,gini,,True,0.8179599157669767,0.006896452421285905,0.7727358595286182,0.005177384399160137,0.9111616634783145,0.0034593120981311733,0.8933582518688903,0.0030569370580798274
