candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.6887388768595786,0.01049650100241624,0.6078647952001145,0.019332560375469834,0.9399065354386462,0.0026859001056532402,0.6696691176470588,0.004360403645749298
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6004363734425373,0.005977026336069556,0.5930044535343033,0.013146413388353049,0.8813849748636976,0.002996135264920324,0.6558210784313726,0.010756425616417509
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.6066689120927459,0.006157921236094158,0.5741881931273457,0.009022143571369176,0.9447408482617007,0.002437363508441408,0.6490808823529413,0.006990667008309658
3,400,20,1,log2,,gini,balanced,False,0.8102843630845363,0.003924370800070388,0.5581348236022943,0.0038498362953066603,0.9974438858599448,0.00011613127144981472,0.6424632352941176,0.008743166167518126
4,100,2,1,log2,40.0,entropy,balanced,False,0.9572275760052269,0.0002549524760341093,0.5331324390203208,0.00403380560801585,0.9984103943921262,7.20349428215605e-05,0.47132352941176475,0.009029625990092468
5,700,20,1,,20.0,gini,balanced,False,0.6513347639467331,0.0004935948737723841,0.5320857899683842,0.0,0.9594916094314238,5.32227443828162e-05,0.6211397058823528,0.002523438760045856
2,700,5,10,log2,4.0,gini,balanced,False,0.5247062922528444,0.0019184035707751426,0.5294540084288999,0.005101568319643485,0.831246902216243,0.004537359641568569,0.6451593137254903,0.009899958543441495
8,150,10,3,log2,,gini,,False,0.48554336989032904,0.0,0.4788732394366197,0.0,0.9244069956808044,0.0023236667074510134,0.6887867647058824,0.006231952027005448
9,100,100,4,log2,40.0,entropy,,False,0.48554336989032904,0.0,0.4788732394366197,0.0,0.8819337251292219,0.005053707834481971,0.6838235294117647,0.009460911306675888
1,200,2,10,log2,10.0,gini,,True,0.48554336989032904,0.0,0.4788732394366197,0.0,0.804795369255824,0.001438228149106536,0.660968137254902,0.009691450450866449
