candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
5,700,20,1,,20.0,gini,balanced,False,0.8243791296422875,0.0,0.7206349206349206,0.0,0.905574912891986,0.00036502655155878634,0.7095959595959596,0.0
3,400,20,1,log2,,gini,balanced,False,0.8559176362765664,0.0032871909177750085,0.7135554112596832,0.026132528541064376,0.9570858409882799,0.0007229822042539944,0.7282828282828283,0.00823712445974752
4,100,2,1,log2,40.0,entropy,balanced,False,0.9327623964305175,0.007439534232827088,0.6330481098054553,0.03484856725223783,0.988508077288565,0.00021427348147336542,0.6376262626262627,0.01282669201939422
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7922694256026939,0.007710911111415576,0.606566744097353,0.013057969554996083,0.8819765600253404,0.0010810632376409134,0.6749999999999999,0.006662073716299469
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7485951050274178,0.011013725795532808,0.5972292134413265,0.02551544573983441,0.8431992397846055,0.0008826995931531102,0.6732323232323232,0.007758733078655189
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7766317764833381,0.004142739951730142,0.5911045732343162,0.042122052562778595,0.8839531200506808,0.002353276329272233,0.6633838383838383,0.011450286917933991
2,700,5,10,log2,4.0,gini,balanced,False,0.6188378891162881,0.00628145965998878,0.5564927793371243,0.006222192935037715,0.7617738359201773,0.0039762406320222096,0.6131313131313132,0.00788914108677438
9,100,100,4,log2,40.0,entropy,,False,0.5056438331287729,0.005845503397541144,0.3548387096774194,0.0,0.8500285080772885,0.0025047081586139284,0.7005050505050505,0.008977974158904624
1,200,2,10,log2,10.0,gini,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.7262591067469117,0.010187902690891261,0.6391414141414142,0.013419525510693309
8,150,10,3,log2,,gini,,False,0.536452347027176,0.008085394613426848,0.34849286092014803,0.005181363813396476,0.8675134621476085,0.0027605898496346525,0.670959595959596,0.007889141086774389
