task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
Pgp_Broccatelli,fg_top_level,macro_f1,0.8678514265729719,0.0038182762929427,0.9497699827487064,0.0025806562015315,0.98790467192837,0.9996050557353874,165,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Pgp_Broccatelli/fg_top_level/best_params.json
Carcinogens_Lagunin,fg_top_level,macro_f1,0.8541666666666667,0.0,0.7095652173913043,0.0117953564923917,0.846311927397943,0.9413060218697058,123,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Carcinogens_Lagunin/fg_top_level/best_params.json
BBB_Martins,fg_top_level,macro_f1,0.8253896501781574,0.0074005509992771,0.8704077815188926,0.0019597158030241,0.939845072954176,0.990803517655194,200,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/BBB_Martins/fg_top_level/best_params.json
HIA_Hou,fg_top_level,macro_f1,0.815565509518477,0.030981275603305,0.9651428571428572,0.0148351485551396,0.8354147200807127,0.9498484848484848,150,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/HIA_Hou/fg_top_level/best_params.json
CYP2D6_Substrate_CarbonMangels,fg_top_level,macro_f1,0.805151220915597,0.0137983543922944,0.8802911534154534,0.011433145816887,0.7891916275514534,0.9085687839870416,168,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/CYP2D6_Substrate_CarbonMangels/fg_top_level/best_params.json
AMES,fg_top_level,macro_f1,0.7718902532332071,0.0023275514820975,0.8331387716830754,0.0004094151154548,0.9165049927723092,0.9719528399236635,260,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/AMES/fg_top_level/best_params.json
Bioavailability_Ma,fg_top_level,macro_f1,0.7257142857142858,0.0,0.7583710407239819,0.0055949432853669,0.766665212492937,0.9143000894454384,155,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Bioavailability_Ma/fg_top_level/best_params.json
Skin_Reaction,fg_top_level,macro_f1,0.7206349206349206,0.0,0.7095959595959596,0.0,0.8243791296422875,0.905574912891986,88,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Skin_Reaction/fg_top_level/best_params.json
hERG,fg_top_level,macro_f1,0.6825396825396826,0.0,0.7338461538461539,0.0039457198075223,0.9313044775361788,0.9879240500599724,154,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/hERG/fg_top_level/best_params.json
DILI,fg_top_level,macro_f1,0.6773729419655945,0.0209800721540047,0.7052941176470588,0.0019211684257123,0.8457321195148172,0.9387893356643356,155,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/DILI/fg_top_level/best_params.json
ClinTox,fg_top_level,macro_f1,0.6767441860465117,0.0,0.6641076115485565,0.0149721372146474,0.8852419792699656,0.9971984377347154,212,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/ClinTox/fg_top_level/best_params.json
CYP3A4_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6742067818377885,0.0149370665855206,0.6800366300366301,0.0043186176273082,0.7055620289598306,0.7945755716470436,163,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/CYP3A4_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP2C9_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6305089238723259,0.0229959542547851,0.7081277213352685,0.0078213025168693,0.7710629103401315,0.9064296296296296,159,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/CYP2C9_Substrate_CarbonMangels/fg_top_level/best_params.json
SARSCoV2_Vitro_Touret,fg_top_level,macro_f1,0.6078647952001145,0.0193325603754698,0.6696691176470588,0.0043604036457492,0.6887388768595786,0.9399065354386462,209,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/SARSCoV2_Vitro_Touret/fg_top_level/best_params.json
SARSCoV2_3CLPro_Diamond,fg_top_level,macro_f1,0.5656932479923773,0.0419324917371414,0.5526562499999998,0.0077434448083524,0.7408748296846855,0.9100418259176462,97,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/SARSCoV2_3CLPro_Diamond/fg_top_level/best_params.json
PAMPA_NCATS,fg_top_level,macro_f1,0.5432439900525007,0.0,0.768936170212766,0.0005307315442232,0.7657221151857536,0.9537117417918756,170,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/PAMPA_NCATS/fg_top_level/best_params.json
