candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9313044775361787,0.004271908813095657,0.6825396825396826,0.0,0.9879240500599724,0.0003799328086801062,0.7338461538461539,0.003945719807522305
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8278792589093374,0.0018114924837738875,0.6557616224042049,0.02415872153570368,0.9209314956887772,0.0007392299468080975,0.7365128205128204,0.0047931575161221885
4,100,2,1,log2,40.0,entropy,balanced,False,0.9649589119985824,0.0,0.6530945462452311,0.011791712255667733,0.9982121438432117,1.3136335981433191e-16,0.693128205128205,0.0053254379428706285
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8346831593157091,0.004649399631892964,0.6478276157421542,0.012352775351208753,0.9311539593092991,0.001190240465481128,0.7217435897435898,0.007378915178914832
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7917403728830512,0.004006092323565411,0.6316254787913179,0.0192098250596746,0.8829157897119062,0.003430879305044764,0.7207179487179488,0.01068637233036398
2,700,5,10,log2,4.0,gini,balanced,False,0.7741521845430857,0.004162493577004312,0.6077763643272646,0.02782027224535906,0.8646887093489035,0.002774612316753233,0.7248205128205127,0.006564102564102567
8,150,10,3,log2,,gini,,False,0.7417913229196219,0.019393247387771397,0.6005111422783231,0.01640210004439656,0.923214972729536,0.0012878741039215626,0.7131282051282052,0.0055951514654300925
5,700,20,1,,20.0,gini,balanced,False,0.8690192542984094,0.0,0.5966665592472044,0.02283485523483995,0.9668703464819968,4.8748861041822465e-05,0.6723076923076923,0.0006486723405473857
9,100,100,4,log2,40.0,entropy,,False,0.6571969828488016,0.005149401113221661,0.5549601275917064,0.02000221289162654,0.8965555480118587,0.0017682892096861232,0.7102564102564103,0.014490242471753309
1,200,2,10,log2,10.0,gini,,True,0.40604467805519046,5.551115123125783e-17,0.3786407766990291,0.0,0.8482132753977414,0.004795447461213254,0.7317948717948718,0.016512501987690754
