candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9458845678048776,0.0026236460749428617,0.8395678637733273,0.0028045183145894437,0.9912334656822288,0.00012562107047084722,0.8625140291806958,0.0036617087327324256
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9710106517353996,0.0007864928799088567,0.8201468430746714,0.006374581968665578,0.9973776516249917,3.544477834994909e-05,0.8873550317994763,0.0023643135517134022
37,700,50,1,log2,10.0,entropy,balanced,True,0.8324467695333049,0.002639164156667722,0.804239295034644,0.00934205241739457,0.921259842519685,0.0009418068564922748,0.8191545080433968,0.0012818437485231436
19,700,50,1,log2,30.0,gini,balanced,True,0.868123308533838,0.0014811087156809597,0.801992151998873,0.012863844396657149,0.9486881287501954,0.000422117723913897,0.831425364758698,0.002445785129619329
4,100,2,1,log2,40.0,entropy,balanced,False,0.976657318760819,0.0012979185148422497,0.7981579312201899,0.006850151426146971,0.9990985590328123,1.9589311046262157e-05,0.8848484848484848,0.010879249471286559
33,100,20,4,,8.0,gini,,True,0.8261378951422056,0.0073040436300808465,0.7931959264258845,0.008242236965064192,0.8965729629051327,0.005263118235051977,0.818462401795735,0.009166685704306678
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7909944316545655,0.00447966542994802,0.7916356125334163,0.01847597920067916,0.8840693381811693,0.0015297859793630836,0.821062476618032,0.003070450359698197
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7973431810738398,0.0063260215293286055,0.7890891498703045,0.007806871907860418,0.8859695300127145,0.0009637822845346158,0.8129816685372241,0.00991123638352528
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8135633359831926,0.004840430615510256,0.7816762779011104,0.04007833707211511,0.9101520153465235,0.0015580629763778371,0.808080808080808,0.02357733569185972
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8060969921736214,0.0047263939558940685,0.775911091849491,0.009813436700090916,0.9030985813388057,0.002387771704844882,0.8232510288065843,0.007258003860530185
28,200,100,1,log2,4.0,entropy,balanced,True,0.8001703977322441,0.002112428506030491,0.7733186960481216,0.03387951645878476,0.8943975708772948,0.0027513636425541394,0.7924803591470259,0.01718047680778108
26,100,5,4,sqrt,30.0,gini,,False,0.8166427319102978,0.006762528756246544,0.7706333506854068,0.008236988201912905,0.9341922999710022,0.0014891591329459681,0.8401047512158624,0.001799627904347965
39,400,100,1,sqrt,10.0,entropy,,True,0.7650303179767224,0.001007500548551059,0.7705882352941176,0.0,0.9097513439361155,0.001162218727896113,0.8217732884399551,0.0027980938198750496
15,200,10,2,log2,40.0,gini,balanced,True,0.8490941616687915,0.0033502208291494437,0.7679186108543907,0.01986047796692439,0.9282321384756085,0.0018359132390290147,0.8164609053497942,0.008665668946311557
17,400,50,5,sqrt,10.0,entropy,,False,0.763252908230881,0.0005976224116966306,0.7674550876068902,0.0062662953744547336,0.9030637282237738,0.0009749905860290072,0.8212869435091656,0.004158531457266089
2,700,5,10,log2,4.0,gini,balanced,False,0.8011405023787266,0.005100425279393983,0.7643946696057081,0.009999669654800841,0.888472262496933,0.0020016822576667806,0.8199775533108866,0.006712773607888318
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8609831639809709,0.0021394711798778496,0.7638729377302393,0.004314490474576558,0.9442991456804444,0.0004648505652125143,0.8353535353535353,0.0026437799841458744
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8337379009103334,0.00490065495107827,0.7630121135195094,0.006538339060853905,0.9194851219022553,0.0028414169219564502,0.8112981668537225,0.011612169805339956
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.843615476400668,0.0024295190038767993,0.7622917513206013,0.0,0.923830608284446,0.0003124879836811842,0.8248035914702581,0.0017571296020676593
34,400,50,1,,40.0,gini,,True,0.8678134818276945,0.0007954545435964346,0.7570838416275809,0.007002747937864372,0.9604456179875533,0.0002475525664005542,0.8331088664421997,0.0015589724306782388
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8386314208998886,0.004192901984859407,0.7561946277226363,0.00722791651230413,0.92041583948607,0.0010476783211508735,0.819191919191919,0.004424332961711974
11,200,5,3,log2,40.0,entropy,balanced,True,0.8269258276681537,0.005492773639284945,0.7549539038930669,0.015933670886623123,0.9142800182909147,0.002231787989667496,0.7930789375233819,0.006681216364747398
20,200,100,5,log2,4.0,entropy,balanced,True,0.7972207246323624,0.003240912417255119,0.7539457083510624,0.022217028049261005,0.8844716825410988,0.0031082464926143736,0.7885147774036664,0.013193782912503048
18,150,100,5,log2,40.0,entropy,balanced,False,0.8196785574549754,0.007007035286630062,0.7479606333010518,0.023770150263306193,0.9015876290959379,0.002570029343756519,0.7877291432846988,0.016966440501720928
31,500,50,3,sqrt,8.0,entropy,,True,0.7560109428792734,0.0017820475952213131,0.7282843411279931,0.01720213642528022,0.9013801833552677,0.0009373816814548717,0.8176580621025066,0.0036279170736702193
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8490370894886154,0.001270088886538242,0.728195834989477,0.01306625558672585,0.8513082465258414,1.4107549062787848e-05,0.7512158623269733,0.0
14,400,20,2,,30.0,gini,balanced,True,0.8843966377182495,0.0016400269486289997,0.718100326094498,0.0027175009357595964,0.9681855189489417,0.0002640761992149024,0.8228956228956228,0.001784005838767869
