candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,400,20,2,,30.0,gini,balanced,True,0.8184417730646185,0.005642309116961387,0.6640714173884181,0.014468448084095748,0.945037037037037,0.0007488738687726976,0.7362844702467345,0.0037173435340684224
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7517100212339795,0.007273709610807366,0.6180555555555556,0.0,0.893754074074074,0.0023109135718047446,0.6924528301886793,0.004552797428550983
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7308631490035491,0.00446240601741033,0.5983789836869344,0.005969338521500613,0.8857718518518519,0.0014808176290414872,0.6970972423802613,0.005304983129897579
19,700,50,1,log2,30.0,gini,balanced,True,0.7875549235137631,0.005112626812964581,0.5894137826952087,0.008962221516310924,0.9218281481481482,0.001089371523173175,0.7002902757619738,0.006490763359941359
28,200,100,1,log2,4.0,entropy,balanced,True,0.6906726992351278,0.013451550136930267,0.5874002329612369,0.011880192778662405,0.8675703703703703,0.009053173207793823,0.7121915820029028,0.011697789073793851
34,400,50,1,,40.0,gini,,True,0.697216709594398,0.008601265869821965,0.5837150014736222,0.00521956970232833,0.9072770370370369,0.0006327434983506851,0.6056603773584905,0.005224963715529758
37,700,50,1,log2,10.0,entropy,balanced,True,0.7227108116566183,0.007425078495571163,0.5837076721157204,0.014355832185994755,0.8895792592592592,0.0035860617232734864,0.6962264150943396,0.006832279997642864
15,200,10,2,log2,40.0,gini,balanced,True,0.7168656241444455,0.013159741826284849,0.5787937752474319,0.00888895382359546,0.8812088888888889,0.005612399363177638,0.6820029027576198,0.018048524303872066
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6695059529445071,0.00565446880477287,0.5695173705832893,0.012847246608521202,0.8518696296296296,0.0011736625052666675,0.6880986937590711,0.013289431805236115
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7163690595151461,0.007921788471147734,0.5668051916341732,0.02043303955297695,0.8983762962962963,0.011001512204324144,0.7015965166908563,0.020290254998317884
11,200,5,3,log2,40.0,entropy,balanced,True,0.6800915100308039,0.0154032418597673,0.5648633608613471,0.02424061068512848,0.8561866666666667,0.0047479815074473195,0.6805515239477504,0.022420866783544262
5,700,20,1,,20.0,gini,balanced,False,0.7132982866043613,0.0,0.5618391935087288,0.0,0.8976266666666668,0.00015293022696965738,0.7235123367198839,0.0
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.6623396731439508,0.016278878867631377,0.5534763239934899,0.024846534648846914,0.8751229629629629,0.005946648212708225,0.6854862119013062,0.023890947278435173
3,400,20,1,log2,,gini,balanced,False,0.8729205930729946,0.0038001909221641126,0.550513524997628,0.02251113380776831,0.9841688888888889,0.0004648736866952365,0.6805515239477503,0.007262697244236159
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6140233344510037,0.004728388271565249,0.5402534560999551,0.007827272034672495,0.8464977777777779,0.0049844981090553875,0.6820029027576198,0.017748410555703194
35,150,50,2,,,entropy,,False,0.615881555536728,0.0,0.5388914764788076,0.0,0.8727881481481482,0.00016076634034075757,0.47387518142235124,5.551115123125783e-17
20,200,100,5,log2,4.0,entropy,balanced,True,0.6387174837012558,0.01325638368720619,0.5384306646095757,0.024162867736161425,0.8165777777777778,0.008389251729541683,0.6872278664731495,0.028068330342255064
4,100,2,1,log2,40.0,entropy,balanced,False,0.953182300155687,0.0024657953050468,0.5377555859176384,0.014490789371404335,0.9980355555555557,0.00022905064403067472,0.6378809869375907,0.020525595970581935
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9252243003312433,0.0011535107256854804,0.5367260692049971,0.016581812242120075,0.9949303703703704,0.0001279231593772867,0.6695210449927431,0.01003027723841568
18,150,100,5,log2,40.0,entropy,balanced,False,0.6239271722709978,0.010365760078534555,0.5285186043967876,0.01574038997213225,0.8429333333333334,0.008366297271861181,0.6777939042089984,0.007541585519167826
25,200,2,10,,10.0,gini,balanced_subsample,True,0.6337362752399608,0.010144787716075142,0.5246862049334187,0.02457935037099276,0.8092,0.003148683178936399,0.6793904208998549,0.00350741537695053
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.5875713895032076,0.003789245628044495,0.524458970776086,0.006030480483651001,0.813037037037037,0.0021074770541117654,0.6978229317851958,0.005761809358861907
23,300,2,1,sqrt,4.0,gini,balanced,False,0.6476075084963714,0.008756802618162538,0.5244538032668254,0.009838691523531376,0.898,0.0032973398264983965,0.68577648766328,0.008623193484768038
2,700,5,10,log2,4.0,gini,balanced,False,0.6005655537614326,0.00897758349711474,0.5178025396264633,0.010942731138991708,0.8071999999999999,0.0017119157960395431,0.6973875181422351,0.006123373907033118
24,150,5,10,,20.0,entropy,balanced,False,0.584549960319243,0.0,0.5113446381657512,0.0,0.8104296296296296,0.0,0.6825834542815675,0.000580551523947781
33,100,20,4,,8.0,gini,,True,0.4602063755297536,0.004513394158958416,0.47356747827336065,0.056378654025712856,0.8563170370370372,0.0034863083953817413,0.6552975326560233,0.01364604850338825
12,700,2,3,,8.0,gini,balanced_subsample,False,0.5680373121038116,0.0,0.4727443609022557,0.0,0.7684740740740741,0.0,0.6008708272859217,0.0
17,400,50,5,sqrt,10.0,entropy,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8551674074074074,0.0013004133562522558,0.6901306240928882,0.0049432181033167944
40,400,10,10,sqrt,10.0,gini,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.7940207407407407,0.0017116491057397238,0.6901306240928882,0.006157678791174611
32,300,100,10,sqrt,8.0,entropy,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8132948148148149,0.0018053564562591352,0.6878084179970971,0.009114843813124858
8,150,10,3,log2,,gini,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8663318518518519,0.0034474503809255584,0.6857764876632801,0.016522786032810113
30,150,5,5,log2,8.0,entropy,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8391525925925926,0.009355653030195126,0.67677793904209,0.0058344706073271
39,400,100,1,sqrt,10.0,entropy,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8748918518518518,0.0024165574262240757,0.6759071117561684,0.006451701239736691
21,200,10,10,log2,,gini,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8007585185185185,0.008853883665775041,0.6750362844702468,0.014945678562387236
31,500,50,3,sqrt,8.0,entropy,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8590429629629629,0.001955771031899738,0.6695210449927431,0.008679196741785819
9,100,100,4,log2,40.0,entropy,,False,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8360237037037038,0.005783667273716507,0.6693759071117562,0.019855795732554644
26,100,5,4,sqrt,30.0,gini,,False,0.4553664141010166,0.017875685344890258,0.44537815126050423,0.0,0.8745037037037037,0.003156522195884873,0.6689404934687954,0.015099920816998525
1,200,2,10,log2,10.0,gini,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.7721303703703704,0.014335999828532219,0.6638606676342526,0.04321210777855683
38,200,20,3,log2,8.0,gini,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8473925925925926,0.009379352743527594,0.6608127721335267,0.0233919763342883
36,200,20,2,log2,10.0,entropy,,True,0.44642857142857145,0.0,0.44537815126050423,0.0,0.8678311111111112,0.008487084547429996,0.6596516690856313,0.018990336410793767
