candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.887679320207144,0.002730075684853569,0.8363041376105036,0.009971561166013332,0.9822631030892053,0.0003620521988311386,0.8538633818589025,0.003943296049643643
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7216412918879402,0.0127420919978345,0.8336858116550587,0.00883328293895231,0.8622353349531412,0.004958003523806649,0.8729003359462485,0.0042346406273660025
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7720372131003858,0.011056005438178721,0.8317854103197722,0.021951723558755222,0.9024667360870069,0.0030501478432592567,0.8742441209406495,0.009204355022635812
28,200,100,1,log2,4.0,entropy,balanced,True,0.768944975361112,0.015066238108624317,0.8279390899054977,0.016532418750931678,0.8846257086659725,0.0036647642732069723,0.8872340425531915,0.0183514001573317
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7890955484517324,0.004883718317553946,0.8227190995073184,0.013395836727226794,0.894370010413051,0.0008506502080028125,0.8845464725643897,0.0038532252036025394
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7928367966081471,0.009992833929286416,0.8196580709491631,0.0240734998619254,0.914518107138725,0.0035951828383271535,0.8876819708846584,0.017454842345709955
19,700,50,1,log2,30.0,gini,balanced,True,0.8140178222645158,0.006387081019774237,0.8182657909869555,0.018939759637127854,0.9254633807705657,0.0010068050332572253,0.8959686450167974,0.0025139915252680297
37,700,50,1,log2,10.0,entropy,balanced,True,0.780481393818787,0.007387679221783183,0.8174348324644221,0.0116879491140318,0.9051741293532338,0.000782067367595078,0.8941769316909294,0.00645234503511217
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7350980885092142,0.015076077494599167,0.8171489510519482,0.03558794564502436,0.8823834316788153,0.007198794437402477,0.8863381858902575,0.022281339293338028
15,200,10,2,log2,40.0,gini,balanced,True,0.7759854201194841,0.009641330416173172,0.8052910672487142,0.014912154575800128,0.8940761309730417,0.003225743425920946,0.8840985442329228,0.01733372682722449
11,200,5,3,log2,40.0,entropy,balanced,True,0.7461270773904409,0.010815926779649465,0.8012752073249152,0.033265429139358024,0.8700011570056694,0.0024137523151240552,0.88006718924972,0.024743732935514677
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7903020128973602,0.004860884091833715,0.7955485890578531,0.0059226968885371534,0.9004003239615873,0.0006824411372409124,0.8818589025755879,0.00418998587544677
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9643191676976312,0.0012633124630209627,0.7913916142748623,0.020656487199321144,0.9967858382506074,0.00011762827746973777,0.8708846584546472,0.003904948661626576
