candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
17,400,50,5,sqrt,10.0,entropy,,False,0.6982012023704024,0.004976084090376904,0.6803960319305588,0.015263832096998244,0.7710316363569362,0.0016044422855195056,0.6858974358974359,0.00552494620109828
35,150,50,2,,,entropy,,False,0.7241639672811166,0.0,0.668018018018018,0.0,0.8122473421406593,9.026550007539248e-06,0.6365384615384616,0.0017944979800609301
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7351274942962235,0.005508144278872792,0.65623501258201,0.021499692745520386,0.8291139240506329,0.0016190437059387548,0.671978021978022,0.004501174259137167
26,100,5,4,sqrt,30.0,gini,,False,0.7234902395666084,0.006739741863607071,0.6505918781248017,0.0072518806314494,0.8108009507489913,0.002161464525222502,0.6661172161172162,0.007453109871566252
8,150,10,3,log2,,gini,,False,0.7132182946009751,0.0026848579995564937,0.6423864643130119,0.03244511735012716,0.8025058500543549,0.004793105136953431,0.672893772893773,0.027983046527156503
18,150,100,5,log2,40.0,entropy,balanced,False,0.6742888997821178,0.016388119878537433,0.6364337012316555,0.03867527351724732,0.7466640871151402,0.0055593967501519495,0.6891025641025641,0.026892534568465406
32,300,100,10,sqrt,8.0,entropy,,False,0.6623955334358205,0.004232850251760502,0.6319798167948909,0.012044447573888218,0.7317082158716119,0.0009708612993686428,0.6963369963369963,0.00754258618387327
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7324852942726963,0.005185014348392804,0.6289227069138287,0.011792311611414976,0.8214342306487573,0.00132393161118968,0.658974358974359,0.00538972123427182
40,400,10,10,sqrt,10.0,gini,,True,0.6566485687321084,0.0063158770395164805,0.6287825296319459,0.00551942597223024,0.7225213273635143,0.0029591531156756812,0.6858974358974359,0.01921768262208745
34,400,50,1,,40.0,gini,,True,0.8124086243921532,0.003427511670201081,0.6262843747933442,0.016732781076203008,0.886332061982938,0.001663050488992048,0.6987179487179487,0.0041361134764235415
14,400,20,2,,30.0,gini,balanced,True,0.8055251701950239,0.005018269102314287,0.625720312015462,0.01369553694937461,0.8964991800711217,0.001602113034537399,0.6985347985347985,0.002415916842174556
5,700,20,1,,20.0,gini,balanced,False,0.7965567913706272,0.0008558034488855171,0.6255309635591326,0.0,0.8722790337736995,0.0003185830854612866,0.6586080586080586,0.000366300366300365
31,500,50,3,sqrt,8.0,entropy,,True,0.7012802801035174,0.004590415501413629,0.6207571286343665,0.017986515537608674,0.7789637573010522,0.0018273432494177535,0.6683150183150183,0.007582506060250742
11,200,5,3,log2,40.0,entropy,balanced,True,0.6993076526249447,0.015620566541187242,0.620605262092228,0.04269043549887281,0.781154533561808,0.0070590261448228424,0.6646520146520147,0.0239177590595947
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.6553359465249828,0.004624969702933819,0.6186745017671246,0.013547601478954691,0.7268383910968621,0.0007516466239741647,0.6978021978021978,0.006679334259637538
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6985479725566738,0.004965078436483763,0.6171121911167857,0.027702815225528282,0.7698210896762662,0.003186534097962978,0.6714285714285715,0.005352248789817731
33,100,20,4,,8.0,gini,,True,0.7289081779457043,0.00799783308945923,0.6103460804053891,0.014642783130852119,0.8114845319035247,0.0045073609953932,0.6761904761904762,0.008284383060731601
20,200,100,5,log2,4.0,entropy,balanced,True,0.6603275100321964,0.015315315293399316,0.6101738604445925,0.032541504146514036,0.7281797578906639,0.0053164930014713155,0.6652014652014652,0.036536510638563786
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7181121643270828,0.009135073849380561,0.6091123704277612,0.025995199374749426,0.8065299504357599,0.006783059947625,0.6531135531135531,0.02653719121175657
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7430784959699073,0.011498660511906903,0.6042000187478369,0.02075724168771054,0.8507324083798574,0.002603254779085112,0.6137362637362638,0.013081462566659173
19,700,50,1,log2,30.0,gini,balanced,True,0.7935513351844408,0.003936816562266702,0.6027747549876038,0.0223061621475748,0.8791867042544175,0.0012521986403448808,0.6366300366300366,0.012733877872358019
36,200,20,2,log2,10.0,entropy,,True,0.7126092239084806,0.013016672641149219,0.6027381070069217,0.016994965705153502,0.8050872441177013,0.007265898519631729,0.6302197802197802,0.01573813264391272
39,400,100,1,sqrt,10.0,entropy,,True,0.7248402700578437,0.006400808450777252,0.6022089131110431,0.01179616686266001,0.8162456470067989,0.0012348901051861961,0.6331501831501831,0.007696667175622979
37,700,50,1,log2,10.0,entropy,balanced,True,0.7612700356842927,0.003584233622212139,0.6020115960153977,0.04090115259860368,0.843017706778693,0.002088061693096171,0.6252747252747253,0.012043430199834141
24,150,5,10,,20.0,entropy,balanced,False,0.6759522351218299,0.0,0.5966555183946489,0.0,0.7373463784939105,0.0,0.7055860805860806,0.0
4,100,2,1,log2,40.0,entropy,balanced,False,0.9673776611097491,0.0021045953460846977,0.5960774576814136,0.02560324210577909,0.9987157518471432,2.444401297406358e-05,0.5884615384615385,0.010720154305246853
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6887152071734584,0.004721318277922575,0.5957518053080595,0.03144470798877798,0.7744016361726824,0.0023708687953596127,0.6078754578754579,0.007049497895207975
30,150,5,5,log2,8.0,entropy,,False,0.6340945828250455,0.02028806062472767,0.5920875209476553,0.025987352936045448,0.7568256775929099,0.008349755143073763,0.6919413919413919,0.03085197317105577
