candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
35,150,50,2,,,entropy,,False,0.8946840940410073,1.1102230246251565e-16,0.8541666666666667,0.0,0.9796858154936083,0.00030570511691479515,0.856521739130435,4.965068306494546e-17
34,400,50,1,,40.0,gini,,True,0.9488712569205102,0.0038858068681072943,0.8541666666666667,0.0,0.98868011704913,0.0003118505580058058,0.8408695652173914,0.025292242734346066
14,400,20,2,,30.0,gini,balanced,True,0.8839229827813421,0.009386291282859534,0.8541666666666667,0.0,0.9857076851994456,0.0005028439155187068,0.7582608695652174,0.017735720047279243
33,100,20,4,,8.0,gini,,True,0.8431266846361186,0.0,0.8541666666666667,0.0,0.9373017095333436,0.006175555250766182,0.7321739130434783,0.01936613691419135
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8467889895286828,0.003204515975561621,0.8541666666666667,0.0,0.94036654859079,0.004868485139220825,0.7286956521739131,0.008519964322724121
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8688153265053069,0.009513137533163674,0.8541666666666667,0.0,0.9618666255967965,0.001627288334128672,0.7182608695652174,0.008867860023639623
23,300,2,1,sqrt,4.0,gini,balanced,False,0.914515018140128,0.014480767641307473,0.8436170212765959,0.0210992907801419,0.986462344062837,0.0014879505401835095,0.7008695652173913,0.013014460475735444
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.875809509186755,0.009378333215039164,0.8330673758865249,0.025841248172978632,0.9649006622516556,0.0023155131217807426,0.7269565217391305,0.023718576864323222
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8902870368922988,0.008198726380771456,0.8225177304964539,0.025841248172978632,0.9744186046511629,0.0019544361101758944,0.7078260869565216,0.013014460475735453
5,700,20,1,,20.0,gini,balanced,False,0.9472723742962532,0.0,0.801418439716312,0.0,0.9896041891267519,1.1102230246251565e-16,0.8782608695652174,0.0
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9925917439951121,0.0,0.801418439716312,0.0,0.9993069459417834,9.930136612989092e-17,0.706086956521739,0.0034782608695652084
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8876757650951198,1.1102230246251565e-16,0.801418439716312,0.0,0.9256892037578932,0.0,0.6782608695652175,0.0
18,150,100,5,log2,40.0,entropy,balanced,False,0.8350147712494929,0.014215251160581102,0.7873299319727891,0.09247596566184861,0.9351917449561066,0.003431946138273627,0.7182608695652174,0.006956521739130445
20,200,100,5,log2,4.0,entropy,balanced,True,0.8272610152221039,0.015668170826947044,0.7831294788224203,0.07619131409188207,0.9284306175881719,0.00702345439011942,0.7252173913043478,0.021013992997555783
