candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,0.98790467192837,0.0004736454958363723,0.8883362334372148,0.010190472731764036,0.9993245555474521,6.774878016956014e-05,0.9468372627947096,0.002443764158812627
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8906988614948222,0.0006183029061895038,0.8754957660786016,0.004460963904026523,0.951102646238773,2.6928018041783017e-05,0.9220816561242092,0.0
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9777250074695528,0.000884712796535687,0.8712982225223204,0.00517097667387088,0.9986558430994149,2.2043817163676785e-05,0.9527602070155261,0.0012252602502968958
3,400,20,1,log2,,gini,balanced,False,0.9526557782329865,0.0014997797222085986,0.8620646314323421,0.005446065988374032,0.991348252203329,0.0001934402185627391,0.9510350776308222,0.001776129409025987
5,700,20,1,,20.0,gini,balanced,False,0.9251963597225246,0.0004708631811655817,0.8608395629672225,0.0,0.9816569707101703,2.847318707777275e-05,0.8831512363427259,0.0005634248977074834
14,400,20,2,,30.0,gini,balanced,True,0.9114270625782644,0.0008852237738511972,0.8600631241658547,0.0071437058891499865,0.9727365037334575,0.0002036794514090523,0.936313973548016,0.0007926422514140297
34,400,50,1,,40.0,gini,,True,0.910299201368991,0.0011589283564377546,0.8600622305260132,0.007199482609945384,0.9673374361160822,0.000397078110936764,0.917826336975273,0.001258543336874016
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8842346184869317,0.0033259708514576324,0.8586303699562017,0.0064835523250396316,0.9490005778303872,0.0006537077190634862,0.9328637147786084,0.0032983623691086716
37,700,50,1,log2,10.0,entropy,balanced,True,0.8684510878063924,0.006174178056209482,0.8577962691992447,0.006881841113171908,0.9402259709514006,0.0004812925510589666,0.9241805635422657,0.004136315240564604
19,700,50,1,log2,30.0,gini,balanced,True,0.9034678345142371,0.002188807684967734,0.8505155727417166,0.003961892430772842,0.9615086422107902,0.00028617398462470677,0.9351638872915469,0.0005455338114149017
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8759833994164348,0.002720967483454134,0.8503585048350215,0.016189514839694098,0.9434197460912298,0.00037795940550185836,0.9279758481886141,0.004114673679125545
39,400,100,1,sqrt,10.0,entropy,,True,0.8648354722781146,0.005258764246735791,0.8487752549038744,0.00701750315728727,0.9360784951725918,0.0009731805967411121,0.9248706152961471,0.0031674386092974006
33,100,20,4,,8.0,gini,,True,0.8864261162562522,0.0007484358228171742,0.8468640110209705,0.006176357031636997,0.9502224366490324,0.0004115426261059087,0.9418343875790685,0.0009817924714758
26,100,5,4,sqrt,30.0,gini,,False,0.8700448296428535,0.0048656535442716435,0.8457559099319656,0.008047413805729252,0.9442303916343624,0.001430134437552739,0.9256181713628522,0.004231160929073537
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8660867177157081,0.004057349606837821,0.8456308406578834,0.00811973373978773,0.9300780351522835,0.0011294800446653356,0.9225129384703852,0.004126710780450615
17,400,50,5,sqrt,10.0,entropy,,False,0.8518670048387348,0.005452605653790127,0.8429158368011731,0.006000572007404716,0.9305475924668869,0.0011043551379506026,0.9246981023576769,0.0043055334208935946
31,500,50,3,sqrt,8.0,entropy,,True,0.8478453644204478,0.007346769313876913,0.8423987362989273,0.011499791561361536,0.9279838207491601,0.0018441699405512377,0.9195802185163886,0.003846346522873035
15,200,10,2,log2,40.0,gini,balanced,True,0.8728025513538296,0.008360548024889105,0.8384483119979557,0.02270792046679892,0.9408587793753821,0.0017063169272459433,0.9179125934445084,0.007957649512994845
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8284660475986959,0.007118476834217096,0.8357206362393516,0.015218729833998348,0.9108845292926346,0.005265178582790198,0.9073317998849915,0.005975055072269011
32,300,100,10,sqrt,8.0,entropy,,False,0.8344582653999748,0.005026968986838365,0.8348197626451075,0.007414902949894301,0.915938020678474,0.0029080706520155973,0.9149798734905119,0.002825329153890361
