candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
15,200,10,2,log2,40.0,gini,balanced,True,0.7553020962121979,0.014834305628923345,0.6068629908812745,0.02182604579224444,0.9368464700367781,0.0046900492244788105,0.5623437499999999,0.029590301409414564
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7781504257034777,0.010856125383104879,0.5996443812233286,0.030554328612759984,0.943066272445374,0.0017670051945818306,0.58078125,0.016694637986491366
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9135214246187265,0.0016267477414364073,0.5875,0.0,0.996113074204947,0.00010044269328035864,0.49203125,0.00919621185597637
19,700,50,1,log2,30.0,gini,balanced,True,0.7775444223354107,0.002841404270628875,0.5869932554094058,0.014953581347086999,0.9586428210860316,0.0013044400726438395,0.5776562500000001,0.004980430453284123
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7837275755458657,0.022286721776722432,0.5842156983266829,0.04265557179852076,0.9366697915915484,0.004146353083260256,0.55015625,0.02883817998764833
33,100,20,4,,8.0,gini,,True,0.7528345763431654,0.0015423857752074888,0.5833614627285514,0.008277074542897321,0.9279151943462898,0.0011480914516576637,0.5928125,0.011130002386567596
11,200,5,3,log2,40.0,entropy,balanced,True,0.747949702776493,0.018538039282075463,0.5803163165050076,0.029583794963843973,0.9164887863272518,0.005730454011570689,0.55109375,0.01061580484466439
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.737125986410678,0.0047097122190438755,0.5761716394805714,0.023907544197408,0.9134455902502344,0.0009940180826487558,0.54890625,0.018812396179115516
28,200,100,1,log2,4.0,entropy,balanced,True,0.7566519815997311,0.01479573827587291,0.5746013815495778,0.03932766911760964,0.9099805293141993,0.005113696917321034,0.56640625,0.015404696929832791
37,700,50,1,log2,10.0,entropy,balanced,True,0.7337928823644649,0.009561453891496227,0.5720626104333579,0.017170259011290954,0.9291988173361216,0.002804803887518696,0.5557812500000001,0.010707401061882376
34,400,50,1,,40.0,gini,,True,0.7685940047660855,0.0,0.5668073136427567,0.0,0.9370952621331219,0.0018033604213960113,0.5935937499999999,0.004261931780308101
35,150,50,2,,,entropy,,False,0.7685940047660855,0.0,0.5668073136427567,0.0,0.9353140549506023,0.0,0.52265625,0.0
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7469630194238948,0.007462711726250799,0.5622366773637384,0.04083418394051114,0.9374053508329127,0.0038554172760558347,0.5692187499999999,0.011241316092878076
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7542446894477417,0.011423445306647245,0.5608783622558458,0.012206722813397254,0.9415410687243095,0.0009735075809150621,0.5454687500000001,0.018157298807917433
20,200,100,5,log2,4.0,entropy,balanced,True,0.7280270515298571,0.031183092587204028,0.5592047659927812,0.05408676065960754,0.8891144443643182,0.01089858096997445,0.5367187499999999,0.008558164961018196
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7489087537937299,0.010112591791023747,0.5575311046569326,0.013827425214667784,0.9360027403187423,0.000980745655152475,0.54953125,0.012515615246562972
18,150,100,5,log2,40.0,entropy,balanced,False,0.7119645511241909,0.010548398721436028,0.5498488641384166,0.033018613624785836,0.9148590178120719,0.005059860895316734,0.5604687500000001,0.014537129187016266
25,200,2,10,,10.0,gini,balanced_subsample,True,0.7428960039660558,0.003485589616027694,0.5470542360864942,0.0033274252629091447,0.9349138241869186,0.0012306105291818642,0.5803125,0.011422291801560708
2,700,5,10,log2,4.0,gini,balanced,False,0.7068907769425109,0.006548814039629175,0.545402432001845,0.01876454392271769,0.9069986298406288,0.005722135286880611,0.53890625,0.016903910420373192
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7321198345689235,0.017074290417761814,0.537274442822388,0.02113946378436984,0.9108819499531261,0.0021171344750641886,0.5539062499999999,0.009003037681804925
3,400,20,1,log2,,gini,balanced,False,0.8551182284214681,0.004760076102157234,0.5340539030861611,0.0031727412372573927,0.9888872863633085,0.0002653547197371369,0.59296875,0.0066291260736238995
4,100,2,1,log2,40.0,entropy,balanced,False,0.9312388193202146,1.1102230246251565e-16,0.5262939958592132,0.0,0.9962428787769525,0.0003939280387610022,0.42171875000000003,0.025742869158273732
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7267731368882024,0.021346481371638505,0.524524330170517,0.035144821190903286,0.9121908127208481,0.004976633546380565,0.5667187499999999,0.0274822385824008
14,400,20,2,,30.0,gini,balanced,True,0.7313766691009056,0.004428894099771013,0.5175920347154931,0.004554518121902549,0.9542006201773996,0.0010307838616287026,0.62203125,0.006079711393232399
12,700,2,3,,8.0,gini,balanced_subsample,False,0.696872037914692,0.0,0.5105672969966629,0.0,0.9083435494339078,0.0,0.5390625,0.0
5,700,20,1,,20.0,gini,balanced,False,0.7155940870360231,0.0,0.49034749034749037,0.0,0.9642857142857142,0.0,0.5140625,0.0
26,100,5,4,sqrt,30.0,gini,,False,0.4792548687552921,0.0,0.47619047619047616,0.0,0.9167051272805942,0.002301611987961351,0.5532812500000001,0.01879162047296611
39,400,100,1,sqrt,10.0,entropy,,True,0.4792548687552921,0.0,0.47619047619047616,0.0,0.917559674046297,0.0011988230274647615,0.5526562500000001,0.01084334473306094
8,150,10,3,log2,,gini,,False,0.4792548687552921,0.0,0.47619047619047616,0.0,0.914758058700512,0.0055875213987754925,0.55140625,0.00991171970447102
17,400,50,5,sqrt,10.0,entropy,,False,0.4792548687552921,0.0,0.47619047619047616,0.0,0.9034506382058124,0.0016827995141374605,0.54671875,0.007880950133074034
