candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
5,700,20,1,,20.0,gini,balanced,False,0.825113059811391,0.001467860338206961,0.7206349206349206,0.0,0.9055495723788406,0.00033185431368281087,0.7095959595959596,0.0
3,400,20,1,log2,,gini,balanced,False,0.8806051311374785,0.004570631415175616,0.6930802564627455,0.020782368936100443,0.9587583148558758,0.0008508905107573428,0.7409090909090909,0.009394482443302139
35,150,50,2,,,entropy,,False,0.7552900340431212,0.0,0.6875,0.0,0.8717453278428888,0.0,0.7095959595959597,0.0
13,500,5,1,sqrt,40.0,gini,balanced,False,0.915313460144298,0.0027134420800878963,0.6770507454473182,0.011197575314185781,0.9837947418435224,0.00022451751848805797,0.7025252525252524,0.003711348095126012
14,400,20,2,,30.0,gini,balanced,True,0.8050881563802532,0.006887502219698644,0.6747967479674797,0.0,0.9081026290782388,0.0013901817983190533,0.7406565656565657,0.006267511942419646
34,400,50,1,,40.0,gini,,True,0.7571687488393076,0.0018538243798936792,0.6621356155365372,0.008932192231731362,0.8826354133671208,0.0008391115965688267,0.7313131313131314,0.0032339011300165886
19,700,50,1,log2,30.0,gini,balanced,True,0.8571082710159035,0.009729490721408005,0.6528296368945457,0.016346562269413993,0.9305036426987646,0.0015559157613439208,0.7186868686868687,0.007248838431518824
12,700,2,3,,8.0,gini,balanced_subsample,False,0.7582922293199644,0.0,0.6354166666666667,0.0,0.810383275261324,3.103566351325963e-05,0.6381313131313131,0.002474232063417313
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7366603698565564,0.010271426719789213,0.6342289906740034,0.021927926580354834,0.8279759265125118,0.006683557339665754,0.689141414141414,0.009986727239032897
37,700,50,1,log2,10.0,entropy,balanced,True,0.8279327651616301,0.0024888340761316163,0.6147921339943843,0.01113600154616314,0.9161482420019006,0.0023881333040429355,0.7025252525252526,0.014931056059691342
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7696001750329664,0.0061319300280218,0.6133966630130313,0.011301912069175479,0.8760595502058915,0.0022857789003001496,0.6936868686868686,0.009367291409591638
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7774236184563689,0.009284776173692147,0.6133966630130313,0.011301912069175479,0.8771365220145707,0.0017786260495908524,0.6866161616161616,0.009394482443302158
28,200,100,1,log2,4.0,entropy,balanced,True,0.7747963418879684,0.02426204850238895,0.6127751721323534,0.05007257204876317,0.8994678492239467,0.004553957076533555,0.6984848484848485,0.02110361860179409
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8434862984050302,0.017499058322650998,0.6097548074397534,0.029873198592380214,0.9172568894520113,0.004182115637230921,0.7045454545454546,0.016977511428254165
11,200,5,3,log2,40.0,entropy,balanced,True,0.7137696352912463,0.030589369887093553,0.6023834008501338,0.03277935318223202,0.8567120684193856,0.008521220900311339,0.6876262626262626,0.014475667321178325
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7488363774295785,0.029291162148925298,0.602265977507407,0.013399382911242362,0.8578904022806462,0.003218382344515907,0.6757575757575758,0.01505440258665542
4,100,2,1,log2,40.0,entropy,balanced,False,0.927618972815969,0.00503278710366539,0.602108782456595,0.03665998166972026,0.9877225213810579,0.00029822242118316116,0.6616161616161615,0.013551927136362352
33,100,20,4,,8.0,gini,,True,0.6661644081138866,0.009879469181174232,0.5956028597538031,0.031535134428156315,0.8377446943300602,0.003842588238012496,0.6732323232323233,0.017773903388654314
18,150,100,5,log2,40.0,entropy,balanced,False,0.7203197200031048,0.01959382083919773,0.5921830006819864,0.016682052894746,0.829052898321191,0.00720653631336245,0.6818181818181819,0.022014641128993314
15,200,10,2,log2,40.0,gini,balanced,True,0.7584178675881598,0.030523841741160847,0.5804190690514368,0.026176761489838888,0.878853341780171,0.008119094084561617,0.655050505050505,0.015858907543543018
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.846117696360553,0.013764047120261838,0.5785443511412047,0.03083723359307193,0.9285840988280013,0.004275700059738664,0.6707070707070708,0.016098361061120444
2,700,5,10,log2,4.0,gini,balanced,False,0.6165465304793786,0.008950186054742808,0.5593914662366001,0.010758057817984074,0.7549065568577763,0.006368886930218326,0.6138888888888888,0.009462118179391507
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7603515414614878,0.016413776590795248,0.556719590235373,0.024444673330771504,0.862641748495407,0.004918304089713546,0.6381313131313131,0.02681528071203694
20,200,100,5,log2,4.0,entropy,balanced,True,0.6323010894066954,0.0374282236035823,0.5550167146911333,0.06448735024093655,0.7872537218878681,0.008662059617163417,0.6563131313131312,0.025320615272939637
25,200,2,10,,10.0,gini,balanced_subsample,True,0.6712013658831163,0.010546890963911626,0.5514979113020729,0.018005908416128005,0.7608425720620843,0.003508791884036681,0.6335858585858586,0.00812016928828965
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.6179853433570328,0.006953569561173765,0.5514123800797932,0.0050803992573309475,0.7594235033259424,0.0032852389640289476,0.6179292929292929,0.014409436987562715
24,150,5,10,,20.0,entropy,balanced,False,0.6402499349127831,0.0,0.4996708360763661,5.551115123125783e-17,0.7809312638580932,0.0,0.6148989898989898,0.0
39,400,100,1,sqrt,10.0,entropy,,True,0.5334260973899181,0.01011578242928974,0.37821815246736623,0.028633852652980452,0.882039911308204,0.0027269029691103083,0.7297979797979798,0.008892331748312632
26,100,5,4,sqrt,30.0,gini,,False,0.4526658381314216,0.025900316344103877,0.3548387096774194,0.0,0.8442191954387077,0.004255442942985757,0.6893939393939394,0.008451111379132051
17,400,50,5,sqrt,10.0,entropy,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8320240734874883,0.0037683098267146773,0.6868686868686871,0.011627135791132696
38,200,20,3,log2,8.0,gini,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8454735508394045,0.004761328338035408,0.6815656565656566,0.016586123104720244
31,500,50,3,sqrt,8.0,entropy,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8498004434589801,0.006254616685190892,0.6790404040404041,0.007758733078655125
9,100,100,4,log2,40.0,entropy,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8248527082673425,0.004951566420356461,0.6742424242424242,0.030544074978199106
30,150,5,5,log2,8.0,entropy,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8302122267975924,0.003402701138594359,0.6681818181818182,0.02409466755934661
36,200,20,2,log2,10.0,entropy,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8664428254672156,0.005352062454212509,0.6651515151515152,0.012015532579161981
8,150,10,3,log2,,gini,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.8485840988280013,0.0046178435736625514,0.6391414141414142,0.025856415628626703
40,400,10,10,sqrt,10.0,gini,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.714444092492873,0.013473032175792966,0.6371212121212121,0.01425370281986877
1,200,2,10,log2,10.0,gini,,True,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.700766550522648,0.012229347790262203,0.6191919191919192,0.018307645414537253
21,200,10,10,log2,,gini,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.7340766550522648,0.00986752716361665,0.6169191919191919,0.019537688014024956
32,300,100,10,sqrt,8.0,entropy,,False,0.42094455852156065,5.551115123125783e-17,0.3548387096774194,0.0,0.7453658536585366,0.004917357427073926,0.6118686868686869,0.028997552926179154
