task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
Pgp_Broccatelli,fg_top_level,macro_f1,0.8883362334372148,0.010190472731764,0.9468372627947096,0.0024437641588126,0.98790467192837,0.999324555547452,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/Pgp_Broccatelli/fg_top_level/best_params.json
HIA_Hou,fg_top_level,macro_f1,0.8562251082251082,0.0233708891475936,0.9622857142857144,0.0023211538298959,0.911836732940017,0.9886363636363636,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/HIA_Hou/fg_top_level/best_params.json
Carcinogens_Lagunin,fg_top_level,macro_f1,0.8541666666666667,0.0,0.7286956521739131,0.0085199643227241,0.8467889895286828,0.94036654859079,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/Carcinogens_Lagunin/fg_top_level/best_params.json
BBB_Martins,fg_top_level,macro_f1,0.8395678637733273,0.0028045183145894,0.8625140291806958,0.0036617087327324,0.9458845678048776,0.9912334656822288,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/BBB_Martins/fg_top_level/best_params.json
CYP2D6_Substrate_CarbonMangels,fg_top_level,macro_f1,0.8363041376105036,0.0099715611660133,0.8538633818589025,0.0039432960496436,0.887679320207144,0.9822631030892052,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP2D6_Substrate_CarbonMangels/fg_top_level/best_params.json
AMES,fg_top_level,macro_f1,0.7702080437638921,0.001787085164479,0.8322355055477418,0.0017632851913901,0.9176642044022983,0.971564413459566,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/AMES/fg_top_level/best_params.json
Skin_Reaction,fg_top_level,macro_f1,0.7206349206349206,0.0,0.7095959595959596,0.0,0.825113059811391,0.9055495723788406,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/Skin_Reaction/fg_top_level/best_params.json
Bioavailability_Ma,fg_top_level,macro_f1,0.7195519932945678,0.0123245848394363,0.7625942684766214,0.0087740811898937,0.7651165089862981,0.8928946779964221,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/Bioavailability_Ma/fg_top_level/best_params.json
hERG,fg_top_level,macro_f1,0.7106130360867203,0.0063464442632985,0.7514871794871796,0.0061332990308619,0.8230514810884519,0.9205512933668274,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/hERG/fg_top_level/best_params.json
DILI,fg_top_level,macro_f1,0.7029414190783527,0.02204675646577,0.7815686274509803,0.0120616129405723,0.9552386663393136,0.9934513403263404,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/DILI/fg_top_level/best_params.json
ClinTox,fg_top_level,macro_f1,0.6960763685000326,0.0138301689828407,0.5877296587926508,0.0052885673699763,0.9260023001452852,0.9968904912122578,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/ClinTox/fg_top_level/best_params.json
PAMPA_NCATS,fg_top_level,macro_f1,0.6861312198540628,0.0047489557703008,0.6846808510638297,0.0065363758340391,0.7005019413283853,0.9262318679280284,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/PAMPA_NCATS/fg_top_level/best_params.json
CYP3A4_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6803960319305588,0.0152638320969982,0.6858974358974359,0.0055249462010982,0.6982012023704024,0.7710316363569362,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP3A4_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP2C9_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6640714173884181,0.0144684480840957,0.7362844702467345,0.0037173435340684,0.8184417730646185,0.945037037037037,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP2C9_Substrate_CarbonMangels/fg_top_level/best_params.json
SARSCoV2_Vitro_Touret,fg_top_level,macro_f1,0.6487762922057622,0.0289623941481917,0.6082720588235295,0.0151542652918558,0.6140544301394952,0.8698293563690435,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/SARSCoV2_Vitro_Touret/fg_top_level/best_params.json
SARSCoV2_3CLPro_Diamond,fg_top_level,macro_f1,0.6068629908812745,0.0218260457922444,0.5623437499999999,0.0295903014094145,0.7553020962121979,0.936846470036778,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/SARSCoV2_3CLPro_Diamond/fg_top_level/best_params.json
