candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9993584825889753,0.00019735565085926576,0.8315273733795724,0.006866060085619728,0.9999976687956543,1.1757419518344988e-06,0.9050750018100764,0.007166356687079806
26,100,5,4,sqrt,30.0,gini,,False,0.9854820968990945,0.0009280173517259257,0.8268629210182958,0.006051048242537189,0.9989478267524341,0.00011676224459714606,0.9009046398400411,0.008168453618455815
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8232961659821951,0.012287802555565748,1.0,4.965068306494546e-17,0.8993946490261789,0.007304667295499228
3,400,20,1,log2,,gini,balanced,False,0.9688528001237657,0.0018790255464364513,0.823189505869459,0.007855231173082745,0.9953035347029736,0.00018722137330406496,0.8980280065692845,0.008869746219351672
14,400,20,2,,30.0,gini,balanced,True,0.9504540957655945,0.0013320753490274246,0.8179276963166509,0.015192654677232593,0.9915904146880529,0.00028858290889597726,0.8945813018457607,0.010921335897837685
34,400,50,1,,40.0,gini,,True,0.9193642706503502,0.004444581535817506,0.8153846631909534,0.013828917132396775,0.9777879562167889,0.0009642616976104975,0.8867148809616159,0.011181968610774024
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9658060675805096,0.0012268014257597465,0.8143693672890608,0.004665547164895587,0.9949725115389467,0.00033990891261126465,0.8935699054752225,0.00891559225215058
8,150,10,3,log2,,gini,,False,0.9563912594213289,0.001984946365602827,0.81324905133818,0.007446029795166954,0.9917002662150229,0.00032419102110195394,0.8918388477635212,0.008995583152725427
15,200,10,2,log2,40.0,gini,balanced,True,0.9363111997280829,0.002570376592886107,0.8076082250838571,0.006141803251258392,0.984234098130124,0.0007580954876979228,0.8885256693080855,0.009242150372305946
11,200,5,3,log2,40.0,entropy,balanced,True,0.9317357828500914,0.0025347685188694155,0.8023473202306567,0.009109606604918942,0.9822939419133064,0.0010421102999365935,0.8866164410858908,0.010027546527939407
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.878792497903565,0.003012155070553565,0.797300154281102,0.008122666369308213,0.9521591757141866,0.001344467068364671,0.8769216619927906,0.010030930089458113
19,700,50,1,log2,30.0,gini,balanced,True,0.8738060055992104,0.0030213133398899117,0.7942250642151378,0.008724220582635665,0.9478101921777556,0.0014519620350069945,0.8731112409948698,0.009527510104010496
17,400,50,5,sqrt,10.0,entropy,,False,0.8677942671101568,0.003943202923781921,0.7930429832426624,0.010422341470374552,0.9451701303184024,0.001450623014304865,0.8721126533393324,0.010906117887549487
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8629606511126544,0.006076427763704094,0.7903408396602088,0.012231550227668416,0.9505254700963235,0.003459182617420824,0.876368205263961,0.009985092875892599
40,400,10,10,sqrt,10.0,gini,,True,0.8589547253867191,0.00407610914575977,0.78680022553302,0.010007219354089695,0.938580720984828,0.0014837066215971034,0.8678044298065288,0.010093798261720301
21,200,10,10,log2,,gini,,False,0.8735387242012818,0.0014419956059650333,0.7833136781853988,0.009661008756626692,0.9461653920879683,0.0016687729467767605,0.8675427024505848,0.010325470888180015
33,100,20,4,,8.0,gini,,True,0.8466629688665372,0.008188707460447715,0.7832513380594289,0.01167550525147342,0.9323130665626028,0.004327470758547573,0.8650861103461382,0.011370146659241605
18,150,100,5,log2,40.0,entropy,balanced,False,0.8370277727959191,0.00503524155513081,0.7816139199736518,0.008678088190042798,0.9216524916629721,0.0026996540764986053,0.8602326723968515,0.010279372484816264
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.832138070249617,0.0030829233305106926,0.7782403500198528,0.009182359097881534,0.9164952375098455,0.0023506335897790403,0.8612364494768878,0.010334251876085783
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8375546393648723,0.003890780532364719,0.777820608073195,0.008569403877629734,0.9197962741799002,0.0019276762698451075,0.8630051268798937,0.010084412839211859
9,100,100,4,log2,40.0,entropy,,False,0.8488331053191718,0.003986488577876701,0.7763463292621495,0.004575892977156771,0.9260375834233916,0.0029183004313465552,0.8617820735847787,0.010230129792054073
36,200,20,2,log2,10.0,entropy,,True,0.842537909940865,0.0023984294738701394,0.7762742492351278,0.011316709036321744,0.921001904992521,0.0015465472883111119,0.8554217502340169,0.011347279303899943
39,400,100,1,sqrt,10.0,entropy,,True,0.8245360149640056,0.004674737576874289,0.773075534045735,0.009429993886817306,0.9049185909718673,0.0025775713529002098,0.85397370524586,0.010172521312512053
31,500,50,3,sqrt,8.0,entropy,,True,0.8259690625615528,0.0038636094145464914,0.7707929864757318,0.009663597291999228,0.90847038543951,0.002197708572006145,0.8533766806236489,0.010948198853146143
32,300,100,10,sqrt,8.0,entropy,,False,0.8200861944294499,0.0027461797665120037,0.7696294142180898,0.009162161651451993,0.9020475133073367,0.0018253523538878183,0.8495711613773647,0.009891565233442558
37,700,50,1,log2,10.0,entropy,balanced,True,0.817355395946894,0.0031483900140995996,0.7651045644345504,0.010253272409947728,0.9076959705879115,0.0019167155884366814,0.8504541942380095,0.011479058506761045
35,150,50,2,,,entropy,,False,0.8584799115683047,0.0047425280716772164,0.7645222352538299,0.008842867501745337,0.9448515655274067,0.0023361546747142506,0.828737132295901,0.01289235151906621
1,200,2,10,log2,10.0,gini,,True,0.8128543151290248,0.002326100702388124,0.7613381394048094,0.010829385732112602,0.8963427086656651,0.002245322026605871,0.8414289187831632,0.011199170048534319
30,150,5,5,log2,8.0,entropy,,False,0.822526965819135,0.0041366848866704045,0.760124255440777,0.007734125447504586,0.9055406812091045,0.0020720772770551777,0.8446883969575202,0.01168699153763635
5,700,20,1,,20.0,gini,balanced,False,0.9148952903113464,0.0038409735731295357,0.7557115680159211,0.01228635232192668,0.9743503682651861,0.0028147483782460254,0.8032209954644655,0.012252308137820378
38,200,20,3,log2,8.0,gini,,True,0.8060514611937046,0.005073547391799606,0.7549420504146452,0.013897587271507065,0.8927830123882595,0.002482692518307789,0.8385405992064108,0.011959464988760472
24,150,5,10,,20.0,entropy,balanced,False,0.8906751631600848,0.002574660196761242,0.7516184571935037,0.00571259183516957,0.9673304138813513,0.0006559881676590802,0.823364665433229,0.007384041705442569
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8011194124080155,0.0069023735534624415,0.7383007716074677,0.012531672098147154,0.8821271320935502,0.004948463254798999,0.794123898762425,0.010479132048142778
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7265151437885873,0.005371988576792425,0.7112301302150621,0.009362694422156507,0.8323092953926077,0.0027461975813647915,0.8022409691731054,0.014302600075171404
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7290818788664628,0.004603436336679349,0.7087087564736179,0.007662901770540704,0.8397454603087706,0.002901260111563667,0.8062851841688129,0.012726269923977207
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7225715179754808,0.00445217738766425,0.7075842038760942,0.009368544844619988,0.8361033066024195,0.00270716602779557,0.8052558817787364,0.012888348839387831
2,700,5,10,log2,4.0,gini,balanced,False,0.7217788495701934,0.002317132417951015,0.7015277370530633,0.01035966487637024,0.8244585485599478,0.002087691509915011,0.7959262136885739,0.011102210151505072
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7210038121979672,0.001605126793089499,0.7013549059617712,0.011626589982026234,0.8244485558794434,0.004258008458127925,0.7949736124794426,0.014798314074695918
20,200,100,5,log2,4.0,entropy,balanced,True,0.7134395535888844,0.005386255477585252,0.6986158335299812,0.011345066126453786,0.8151525224074636,0.004041598173361358,0.789896088683402,0.012745475178466324
28,200,100,1,log2,4.0,entropy,balanced,True,0.7147497032828973,0.006675078571296163,0.6980046208269018,0.013669749237446535,0.816319867577436,0.004058402952688784,0.7904081463782957,0.013038054729825627
