candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,400,20,2,,30.0,gini,balanced,True,0.9627397551516612,0.0027877152037138636,0.8544991779792914,0.0229075546087245,0.995350202691317,0.0007884304004763034,0.9284728403260285,0.009076162891139935
26,100,5,4,sqrt,30.0,gini,,False,0.9767230778939581,0.0006055284018425538,0.8510142208034767,0.030384196339369732,0.9990307808921868,0.00012949732443141753,0.9315584291025785,0.010906958102632478
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9978588540736549,0.0008866175716837069,0.8506200175883174,0.021321962394848733,0.9999969513372019,2.9551791476641686e-06,0.9319678653394334,0.009354369440619058
4,100,2,1,log2,40.0,entropy,balanced,False,0.9992855839458972,0.0005833192603233204,0.8494828424317648,0.02842843961622903,0.9999986940235196,1.0663282022537424e-06,0.925897834121507,0.010675647261207294
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9821385747217717,0.0011360806786148137,0.848692374002584,0.01854301253121583,0.9972694798912837,0.00031736338962706876,0.9293958068900217,0.011064523996649674
3,400,20,1,log2,,gini,balanced,False,0.9783699302878024,0.0013737780949613786,0.8466301407194251,0.022653745002589976,0.9974321688963034,0.00025469657461835084,0.9326477895675025,0.00854315677494149
11,200,5,3,log2,40.0,entropy,balanced,True,0.9600987796453129,0.004240142775573871,0.8451635758390438,0.022456465580894584,0.9930691528626829,0.0005685742892807088,0.9291020118586533,0.010695861625871531
8,150,10,3,log2,,gini,,False,0.9313700755396827,0.005337285843980987,0.8428429089119576,0.02705155942497903,0.9956973904778303,0.00026486207712812077,0.9318226124835558,0.007996112505721461
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9223504496989715,0.004637761957900831,0.842596176402966,0.014690081456532,0.9842402003104791,0.0007123971816142397,0.9240391523292171,0.008995986309706541
15,200,10,2,log2,40.0,gini,balanced,True,0.9596789994893715,0.003716013014939236,0.8422510776739702,0.01230211501801592,0.9925324225141472,0.0006149034465311616,0.9290349379188296,0.00844936794207903
34,400,50,1,,40.0,gini,,True,0.922445995949761,0.004113880901633348,0.8380987572917553,0.02012974115585264,0.9832587326797493,0.0016615309257360577,0.9171620566633649,0.0117553865762935
33,100,20,4,,8.0,gini,,True,0.8954099695536764,0.004571545911010531,0.83344341244211,0.02636307435654179,0.9719640807213844,0.0017897053085310084,0.9164911472116775,0.009738386528377226
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8761311808642638,0.004039550724659824,0.8326600066724023,0.022613879587993463,0.9544869428543388,0.0013471166731188451,0.9096962446950613,0.00942466391216266
17,400,50,5,sqrt,10.0,entropy,,False,0.8786098201741652,0.005356046854949642,0.8314760756083706,0.020625358551592265,0.9803714287968311,0.00017949468665871387,0.9271143143998737,0.008430928603899992
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8526612296738296,0.0045956661690419,0.8311790291727317,0.016038504872817612,0.938193293528067,0.0020804315928091882,0.9044242417705306,0.00962558161575583
