candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8128926855151454,0.014454922062787331,0.7138954828264205,0.013466695425313868,0.9216378897149798,0.005583157818408281,0.765313432835821,0.048618592611223484
19,700,50,1,log2,30.0,gini,balanced,True,0.8226232547706214,0.012192715163736382,0.7132907399647431,0.012220200422693872,0.9250401976302209,0.0030233555568146032,0.7736119402985074,0.03993987738796695
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8292010038055373,0.013499971734560816,0.7116932466395166,0.01662761502883577,0.9294987905877632,0.0027533615258336767,0.768845005740528,0.04149584082885968
37,700,50,1,log2,10.0,entropy,balanced,True,0.8237168859656817,0.010843315730520622,0.7091870662395305,0.009176779309274338,0.9264797883249919,0.0026377190173380873,0.7742411021814007,0.03799501118167589
18,150,100,5,log2,40.0,entropy,balanced,False,0.8043730542137016,0.007072046642147978,0.7075091776216414,0.023434957903534608,0.9103041783242117,0.0038045398467794343,0.7746084959816304,0.045199263863995344
28,200,100,1,log2,4.0,entropy,balanced,True,0.76310531271758,0.013553153142789985,0.7055717705542478,0.0133181457092,0.8724110496806483,0.005887967093822665,0.7675820895522388,0.04779121727022465
2,700,5,10,log2,4.0,gini,balanced,False,0.8046427855803593,0.014801551310262966,0.7024816443239719,0.012173677943746132,0.9190963126860099,0.003898792220730623,0.7748564867967853,0.043267590927261144
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8598197217413908,0.005241123880738647,0.7012738058800532,0.05488393140009889,0.9639028763947255,0.0012614322494469898,0.7438851894374283,0.061451468576770085
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7851354009714537,0.011530176908950054,0.7002434561726009,0.0198620033531787,0.880824058386187,0.004528005021967131,0.7692078071182549,0.03233464971138979
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7873808966798264,0.015092086776932382,0.7000796524009232,0.011757558432384832,0.9002426487799984,0.004477510936025019,0.7771067738231917,0.042212494953295494
15,200,10,2,log2,40.0,gini,balanced,True,0.9336128777120074,0.0095938972033925,0.6984874418253277,0.019538313520184116,0.9900924336495269,0.0015180780744060347,0.7670309988518944,0.042118426993228014
3,400,20,1,log2,,gini,balanced,False,0.9626490916411867,0.003187752359468679,0.6959346223012082,0.041034917373377,0.9980696080835554,0.0005192184423202729,0.7717979334098738,0.04427067280806615
11,200,5,3,log2,40.0,entropy,balanced,True,0.9394600690281365,0.011002674589331712,0.6955014683211486,0.036266400381764125,0.9916297665890117,0.0025897890172502215,0.7698415614236509,0.04546144693947731
20,200,100,5,log2,4.0,entropy,balanced,True,0.7635646658851878,0.01256651763622954,0.6947839079324762,0.013160719696978903,0.8682185831484848,0.006229198891011088,0.7682709529276693,0.04383147289249868
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.693409225017794,0.05295791553475879,1.0,0.0,0.7618507462686568,0.05163832384338198
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.78050893407965,0.00996635426775818,0.6931652047224762,0.01644192661658044,0.8771955430093742,0.005923987549605676,0.7721102181400689,0.03220562663417268
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8438932254073356,0.01163151624280675,0.6930413815121486,0.023961978309991756,0.952627266951278,0.004647193518434371,0.7649001148105625,0.04663559172437315
