candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
17,400,50,5,sqrt,10.0,entropy,,False,0.8722496154032486,0.00886231946405619,0.651486870407557,0.0347111381577732,0.9461338448812032,0.007318732590730078,0.6938991674375578,0.0528391463033585
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8916028926053015,0.016430315005383663,0.6510135546350476,0.03793271690079686,0.9619914424666772,0.006409839175049315,0.6937558245109124,0.0357623134266091
15,200,10,2,log2,40.0,gini,balanced,True,0.9307748444470875,0.006510588532838683,0.6509126942353777,0.02560636844587306,0.9828295567989958,0.004318385501890626,0.688875398293761,0.038619847600499954
40,400,10,10,sqrt,10.0,gini,,True,0.8373069094055303,0.017518042751614393,0.6504627525312016,0.033392334575666385,0.9193671862796295,0.00827710381497363,0.6998549868091958,0.049326913173358834
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7944493627863277,0.015806190496372025,0.6465532440547346,0.04964072923608031,0.8800568202004972,0.0047082764658298625,0.6935853719121525,0.047991205175657956
36,200,20,2,log2,10.0,entropy,,True,0.8668661723454429,0.012662849121705236,0.6463712410177144,0.033245048020747674,0.9393641140680693,0.006082776411482253,0.6913031914893617,0.0470800117240502
32,300,100,10,sqrt,8.0,entropy,,False,0.7641101659213526,0.016384000596483286,0.6443207354157081,0.04013839796583136,0.8451545957234895,0.004188805694281856,0.6933168876554631,0.05248401151979139
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7617775670313698,0.014887552048278975,0.6417282949114996,0.03132303009072774,0.83832152085025,0.0050934859294792445,0.6890427673279199,0.04565825611703266
33,100,20,4,,8.0,gini,,True,0.9237938518124992,0.009426858242958521,0.6404068889782663,0.01729745408387461,0.978261878859658,0.004164499350505218,0.6884257974440675,0.03893641991155352
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8485744472465889,0.015124759065946536,0.6403254012209564,0.03380081539556018,0.9240655412190094,0.006438836830274338,0.6920465875218419,0.05096281702976759
38,200,20,3,log2,8.0,gini,,True,0.8276142941230601,0.014741367949712935,0.6402194180791326,0.05046372980953236,0.9105393188496439,0.006043796803573124,0.6868644002466853,0.046017178822125714
21,200,10,10,log2,,gini,,False,0.8448523477302053,0.017095039737876475,0.6401251390177867,0.029195476237490504,0.9233596937487724,0.006791937026630341,0.6871028197485182,0.051196177623200355
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7238729731458389,0.013261240585596197,0.6397844648310564,0.04120784894582234,0.7999790800487927,0.010122599741564823,0.6850932350018843,0.044265304965367555
34,400,50,1,,40.0,gini,,True,0.8964142615399473,0.013913642499573433,0.6394222319889019,0.020516563019586653,0.9649299895021469,0.004530145212242628,0.6913010501250556,0.03419235780955361
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8039609349473082,0.014106226756507837,0.6384208246007905,0.03814738334640684,0.8892070415869668,0.0038709377704738224,0.6927209887963819,0.05468598432508541
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.984976101425645,0.004358802612778827,0.6379617711856375,0.04364972014188644,0.9989973005426107,0.0005523047335423193,0.6818672268475692,0.041804973926490886
11,200,5,3,log2,40.0,entropy,balanced,True,0.9388262827637472,0.00925738315118348,0.6379247876418409,0.026682678504860197,0.9846618638674508,0.003544774647312833,0.687301409874259,0.04490381842947711
3,400,20,1,log2,,gini,balanced,False,0.9710193760077575,0.008740109243660676,0.636377847966463,0.027429797784028313,0.9962082696776523,0.0017558078097500984,0.6885534227567067,0.037596721499534455
14,400,20,2,,30.0,gini,balanced,True,0.9543852179243594,0.007624474570115028,0.6359784893026442,0.035006476952359554,0.9923687009159867,0.002793575573650758,0.6834974903210334,0.03408644613586128
31,500,50,3,sqrt,8.0,entropy,,True,0.8012210076368257,0.016618412550071276,0.6353599046315143,0.04019274833336643,0.8842594392186746,0.004894683185538173,0.6945730976119504,0.048581794570381504
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7285990435048189,0.011466466778578406,0.635238193299429,0.040175888277513,0.8029869693504637,0.008125331799085561,0.6898950731490047,0.0496942070705364
18,150,100,5,log2,40.0,entropy,balanced,False,0.7592782571889992,0.017545037432299918,0.6338213268173064,0.03762384787293083,0.8369369716628098,0.0069689827725991785,0.6845811491417413,0.047956318505943146
