candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
26,100,5,4,sqrt,30.0,gini,,False,0.9754147874341678,0.007794474269563113,0.8487580647012903,0.08502875095728743,0.9979234669074242,0.0010786792591348654,0.898410991636798,0.04120539586086238
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9925839721714738,0.0037088565806762813,0.8475323186265109,0.055898454643259675,0.9983137717897076,0.001390258462310727,0.9015352449223417,0.041436473540276984
3,400,20,1,log2,,gini,balanced,False,0.9907577091026525,0.005835646031581653,0.8365049444170521,0.06857766688273054,0.9980234738523508,0.0015384327956268484,0.9046923536439666,0.04257504736813694
11,200,5,3,log2,40.0,entropy,balanced,True,0.9831845135466588,0.007041127957401295,0.8348671639353895,0.07297221670440375,0.9964275296895618,0.0019006963989039287,0.9079599761051373,0.03799426154293569
34,400,50,1,,40.0,gini,,True,0.9637964444544027,0.011163870788928127,0.8270249621530261,0.06577951847502025,0.9934332939787485,0.0032021302155342698,0.8849880525686977,0.03582238395639496
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9419690757320021,0.012310361252922295,0.8263425501083563,0.08949796884348896,0.9952108016760424,0.0024786446166745477,0.9054211469534049,0.042845792033453456
15,200,10,2,log2,40.0,gini,balanced,True,0.9793384977785387,0.009303246494401854,0.8253401542067669,0.07666665288183787,0.9963303007153275,0.0021635675048611723,0.904336917562724,0.03832728420131006
19,700,50,1,log2,30.0,gini,balanced,True,0.9094436301064814,0.017275411032339285,0.8216970695381978,0.0541779026405838,0.979342431187351,0.006165328216077544,0.8934647550776583,0.05380968872398189
23,300,2,1,sqrt,4.0,gini,balanced,False,0.994445310687869,0.007390531240905923,0.8206485881473469,0.05200872732913015,0.9999513855128829,9.722897423429798e-05,0.8959767025089607,0.048871273692188875
37,700,50,1,log2,10.0,entropy,balanced,True,0.923254106357352,0.014723956900197621,0.8206072037894604,0.056197857487186725,0.9833968331134105,0.005107528805373624,0.9000507765830346,0.04630656185567258
33,100,20,4,,8.0,gini,,True,0.8894548964806704,0.01823871392233778,0.8205765494546136,0.0671407008957216,0.9843646318031345,0.003663837307351024,0.8619772998805256,0.05742082649678149
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8170863336545594,0.07859997652778085,1.0,0.0,0.9004330943847073,0.03725537830649303
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8153306371048308,0.06350494310871863,1.0,0.0,0.9041517323775388,0.04120789256158638
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8847810210313402,0.0185968316149844,0.8073377654971194,0.09129602437016503,0.9626488645044795,0.008811348644927724,0.8968936678614098,0.05354806188681324
2,700,5,10,log2,4.0,gini,balanced,False,0.9264601090793972,0.012934011985160832,0.8072284760096131,0.0631114619315461,0.9874934833437508,0.0050891207741943605,0.8945489844683394,0.04490723208933777
8,150,10,3,log2,,gini,,False,0.8945218312264986,0.01773569144224486,0.8062945387945388,0.04942772890745802,0.9973414820473645,0.0014342469253338006,0.8986738351254481,0.04497406003151655
35,150,50,2,,,entropy,,False,0.8879839158453116,0.02373202519234589,0.805363133343777,0.06045766041757854,0.971447160682455,0.019160462524928593,0.8398536439665472,0.029994956056590368
