candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
35,150,50,2,,,entropy,,False,0.7715643484650899,0.04365047512759886,0.6666672264277549,0.06044850390658816,0.9698689498903553,0.010031670032837739,0.7290091393404978,0.08211315462418005
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9331484672355803,0.01600017186972279,0.6437180404530584,0.03999135061873159,0.9965805303886086,0.0004742709377578442,0.8537954775086216,0.04335506831561764
19,700,50,1,log2,30.0,gini,balanced,True,0.8841406063294288,0.019105324618061945,0.6421858893694512,0.04274524325896567,0.9932312292298461,0.0023036253217615936,0.7898035605434337,0.10784273674810706
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7808160021822387,0.017707289788211376,0.6382855547343352,0.05158667544719257,0.9715395709638048,0.0028309195043501162,0.7792410047011866,0.10814316084246155
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7856603295326486,0.029585827291879054,0.6281238111124108,0.05457576582823913,0.9772424864175331,0.005130765235825034,0.8060957605818448,0.10714178328446161
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8943810320386255,0.02499318834375834,0.6233655715592165,0.052144042483721315,0.9943520815737429,0.0016360153073774156,0.8097350885543225,0.10182070981643083
18,150,100,5,log2,40.0,entropy,balanced,False,0.7557600867683341,0.015001431336708271,0.622985263945455,0.05118070475674953,0.9902656092706582,0.0016989597879699054,0.7868287031238257,0.10153316495514762
5,700,20,1,,20.0,gini,balanced,False,0.9154592737240097,0.019448085402607257,0.6228148397409328,0.05166902158999428,0.9976885439218242,0.0012492021934945802,0.6848758318929165,0.09811498162450992
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8523439185549492,0.01769327743184718,0.6226827125586263,0.04146345434307412,0.9860922266443396,0.003286577451192455,0.6745136401212456,0.0828674593796054
37,700,50,1,log2,10.0,entropy,balanced,True,0.8800318258175557,0.02418143406622695,0.6211582287014938,0.051100917906895776,0.9930899415344397,0.0022247279779543574,0.7880343111467388,0.1040667727769249
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7867514215405642,0.030141529361437082,0.6191610696096985,0.04817944809001647,0.9763796684599644,0.0041896406932378704,0.8025167213607555,0.10904468194327188
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7503819881514395,0.04951782826677882,0.6153996864357414,0.06439866657397901,0.9939548881162409,0.0015294959418248912,0.7967295022420402,0.09842036104997305
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6931122791484349,0.02545642068781028,0.6143537217143215,0.07591695763773562,0.9831706343467875,0.002741453076757278,0.7971639653631938,0.10520569844491878
14,400,20,2,,30.0,gini,balanced,True,0.9873515704116589,0.0054549900598658526,0.613983165071351,0.011430639249797366,0.9995002176128811,0.0003602383406635273,0.8615457969054002,0.0278956061731261
24,150,5,10,,20.0,entropy,balanced,False,0.7972625629304169,0.04746985076305994,0.6116067186379581,0.051110459919049785,0.9893984600133712,0.0030271670025707968,0.7210800621258048,0.06426683422724767
28,200,100,1,log2,4.0,entropy,balanced,True,0.7086681155892881,0.02193685914532331,0.6113370453664754,0.061026710664517404,0.9478442436677448,0.003280291000872344,0.780670900239652,0.10473538128118579
34,400,50,1,,40.0,gini,,True,0.7552890942798538,0.008169786959312648,0.6098624337887536,0.06470157392204393,0.9837857005632786,0.0027116374662714657,0.8062524320081499,0.07030286264516368
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7206120767169002,0.043864004953482,0.6094542107606076,0.06707693548685648,0.9886197035015764,0.0014136349523637686,0.7949697303706673,0.10256142335142804
3,400,20,1,log2,,gini,balanced,False,0.9574244539610317,0.006098852931536049,0.607131265621811,0.036300045754624144,0.9998918886632422,0.0001267670476722116,0.8073948913215929,0.06723062167210259
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9595461655545453,0.008913484898986839,0.6054454390439318,0.049599869764060785,0.9999384780790826,5.9358538997914765e-05,0.8046650717703349,0.07168375958504553
20,200,100,5,log2,4.0,entropy,balanced,True,0.6972916720744149,0.0224793304388517,0.6041784688230216,0.06017374598688972,0.9421351896445611,0.0035988647604902543,0.7808797398064413,0.10650880607784652
2,700,5,10,log2,4.0,gini,balanced,False,0.6969000990223707,0.03333507883076733,0.5871753939248415,0.05652604163073612,0.9735484892496442,0.0010102343441858036,0.7823315964828779,0.10282434880756189
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9964813636378027,0.00287330830437581,0.5372725736496885,0.02842601134322372,0.9999911732303323,7.208045757126793e-06,0.8296298337466703,0.03384832682023467
11,200,5,3,log2,40.0,entropy,balanced,True,0.977079683855826,0.007945360248199416,0.5372507112357501,0.04664299861713185,0.9996984730771299,0.00022317724639672775,0.8036399542406706,0.08028558636632793
4,100,2,1,log2,40.0,entropy,balanced,False,0.9964813636378027,0.00287330830437581,0.5273352803357362,0.035630005425361044,0.9999911732303323,7.208045757090198e-06,0.790583932463238,0.05335909036735652
15,200,10,2,log2,40.0,gini,balanced,True,0.9807317171048519,0.007375628056080208,0.5213531907349038,0.048706761841125566,0.9996753928384056,0.00022636950293502018,0.8127297360488323,0.07996302745149683
26,100,5,4,sqrt,30.0,gini,,False,0.8836468967162127,0.021864189194984666,0.5164403450850812,0.03787188471405573,0.9997686429269527,0.00011971738313679998,0.8179802015748558,0.06244477958948042
33,100,20,4,,8.0,gini,,True,0.6106753898341764,0.030634218676857766,0.5010701939638732,0.03089692378393857,0.9896556393173034,0.0027363227109790445,0.7921784530340605,0.08232108812851432
17,400,50,5,sqrt,10.0,entropy,,False,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9955274104905476,0.0013393758502677937,0.8217201917215695,0.08582746889343752
8,150,10,3,log2,,gini,,False,0.6061878032556944,0.0806019189199333,0.4856998956236992,0.0005037725252977321,0.9995510775505243,0.00016795918152765393,0.8215003298345817,0.08628397098866435
31,500,50,3,sqrt,8.0,entropy,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9896560640641144,0.0037949516733035145,0.8198450612490292,0.09964173231571648
39,400,100,1,sqrt,10.0,entropy,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9845620469163592,0.004824323622927406,0.8183049425085798,0.10628918102558763
32,300,100,10,sqrt,8.0,entropy,,False,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9793901257543972,0.0038339671816385516,0.8119279457568241,0.09978968558141425
36,200,20,2,log2,10.0,entropy,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9969278146986149,0.00144221704297002,0.810092854697429,0.10174921394588177
9,100,100,4,log2,40.0,entropy,,False,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9822079198513946,0.004128551254984983,0.7972007064305219,0.10604418176528001
30,150,5,5,log2,8.0,entropy,,False,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9971655786022616,0.0006197424822977552,0.7950288918393079,0.08576324851030573
40,400,10,10,sqrt,10.0,gini,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.98937106524125,0.0020645394822992897,0.7948072346501667,0.10885869074582459
21,200,10,10,log2,,gini,,False,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.991081244005167,0.0013466040735980792,0.7927873109713837,0.09875912721818308
38,200,20,3,log2,8.0,gini,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9909669556761334,0.0031311173756295697,0.7819015172390757,0.1122336905959051
1,200,2,10,log2,10.0,gini,,True,0.48569970612317803,0.00012608174655259215,0.4856998956236992,0.0005037725252977321,0.9754081509471924,0.0023343414939177884,0.7740073231627378,0.11749825026915033
