candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8171230147245083,0.051443809595120085,1.0,0.0,0.8892332309267793,0.048132168514570924
30,150,5,5,log2,8.0,entropy,,False,0.9430367194233293,0.004933102670500354,0.8111791941741624,0.06923780674790747,0.9889408085760042,0.0022220648488109275,0.8781534818228367,0.07323944731561606
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9886511488858906,0.006337025922243207,0.8083687111026924,0.062395738378177315,0.9997610929176062,0.00020097698744147262,0.8751945724526371,0.07027631601258742
33,100,20,4,,8.0,gini,,True,0.9234320547038675,0.011039420122621617,0.8056526560322466,0.05024246506945175,0.9836141268751838,0.0023950938075662123,0.8655830773169482,0.06529807449514195
11,200,5,3,log2,40.0,entropy,balanced,True,0.9507811707888856,0.0023119836098800008,0.8052600409746876,0.06134915768343187,0.9923258201784488,0.0008987955149604174,0.8783736559139786,0.05690912147150536
15,200,10,2,log2,40.0,gini,balanced,True,0.9462067354838368,0.005028918594449974,0.8050161835206623,0.05775398179715212,0.9919037003627806,0.001305434590902813,0.8794482846902202,0.05898706822116092
3,400,20,1,log2,,gini,balanced,False,0.9810823756294148,0.002419870460023204,0.8050039824599879,0.05711278999602447,0.9985316521227572,0.0001854664102297122,0.8841237839221711,0.05982072472081874
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8020379494152842,0.0559366032103382,1.0,0.0,0.8878289810547875,0.05383978767123348
36,200,20,2,log2,10.0,entropy,,True,0.9065221953760989,0.007232030003217097,0.8017709686142902,0.056460040381501264,0.9753638461287053,0.0026367285947097724,0.8688799283154122,0.06830010863852026
21,200,10,10,log2,,gini,,False,0.8881478987772298,0.006182398867183736,0.8016103836219749,0.06578098712630628,0.9658314815177957,0.004378161816024899,0.8666442652329749,0.07454930588815126
26,100,5,4,sqrt,30.0,gini,,False,0.9894032541428819,0.003723017570176593,0.8014516181205404,0.04895013916274822,0.9999204863221884,5.7829640933039184e-05,0.88468509984639,0.06221371866115155
34,400,50,1,,40.0,gini,,True,0.9229515825067818,0.009802499368084017,0.79950666146328,0.04111045805595592,0.9795670529790502,0.0047524631198587654,0.8540194572452637,0.07802255651901706
31,500,50,3,sqrt,8.0,entropy,,True,0.86873557670945,0.010076096994413648,0.7987779066083283,0.059549073268044594,0.9426222466254861,0.0052251924266944125,0.85944828469022,0.07975897787925582
17,400,50,5,sqrt,10.0,entropy,,False,0.8922612337519507,0.00672599542295969,0.7987330115464824,0.05422935892511684,0.9675193960192174,0.002616909425448407,0.8659082181259601,0.07497786026171571
40,400,10,10,sqrt,10.0,gini,,True,0.8845747477938598,0.010003439331714981,0.798506758104242,0.05648353774542661,0.9609516227081087,0.0037678967862900454,0.8674775985663082,0.07273889721379735
1,200,2,10,log2,10.0,gini,,True,0.8583862290272618,0.015321339691155084,0.7983228902413643,0.0654046751479065,0.9435699944438998,0.006222419006475692,0.8575467229902713,0.07960880993628176
14,400,20,2,,30.0,gini,balanced,True,0.9462217147592284,0.009723419465950648,0.7964789519341983,0.03814675549707898,0.9920892924142889,0.0019953340243968895,0.8660714285714285,0.06546222445662651
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8977537177221132,0.009324807783099756,0.7960386712074295,0.05275929687765134,0.9661554217733765,0.002991414513485049,0.8679333077316947,0.0692101249590924
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8720660117097323,0.014360518694976142,0.7960386712074295,0.05275929687765134,0.9427774173938621,0.00592848414495334,0.8583998975934459,0.07767655442560732
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9227391504662414,0.007570653912385332,0.7931896612416397,0.044801282827591514,0.9829334222309377,0.0016438101678737924,0.8771383768561188,0.06927798413538665
9,100,100,4,log2,40.0,entropy,,False,0.8453488395176114,0.013189147340708664,0.7931243404143082,0.047189488384497866,0.9194287779847699,0.006824799145876709,0.8524692780337941,0.07839663961421182
32,300,100,10,sqrt,8.0,entropy,,False,0.8535940086511073,0.016447981013088264,0.7927341552161999,0.06708538174178597,0.9220439860117005,0.007845873111653003,0.8523579109062979,0.08742831967606479
8,150,10,3,log2,,gini,,False,0.9666369509996497,0.004368554492802383,0.7895346632943271,0.05471157921347661,0.9980079092721509,0.000281064247678879,0.8766551459293395,0.06776442505424413
38,200,20,3,log2,8.0,gini,,True,0.8920798444650575,0.00990958971084157,0.7894853700810576,0.05296176323548433,0.9671987528189039,0.0040934706732005536,0.8681918842805938,0.06998802065587074
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8925057912660146,0.013521566112680702,0.7880643814290671,0.06538067270535826,0.9696247788998921,0.0016815609088886097,0.8569943676395289,0.07515511299106208
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8946635088568845,0.014018133441503046,0.7811084131973367,0.057143949167792085,0.9629022165571787,0.0063676143905175,0.8590284178187403,0.07555590841006038
39,400,100,1,sqrt,10.0,entropy,,True,0.8280054982593681,0.016162799661322034,0.7802854219635761,0.07032892700841423,0.9011312612347616,0.011102688764517938,0.845552995391705,0.08670221262030757
18,150,100,5,log2,40.0,entropy,balanced,False,0.8457807385024552,0.01595625925923562,0.7791731190641231,0.05841219157195733,0.9230347288949897,0.005905309617954584,0.8529422683051715,0.0845274495172576
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8252738642654478,0.015544103741750933,0.7787971070786603,0.07078806968044744,0.9002309847370658,0.011710893759573767,0.8466666666666667,0.08882359606785595
2,700,5,10,log2,4.0,gini,balanced,False,0.8713484498170632,0.012511268906187591,0.7787101533406829,0.056680596715421735,0.9493305748929635,0.006109089010896443,0.8629883512544803,0.07622157752168064
37,700,50,1,log2,10.0,entropy,balanced,True,0.8651190124342552,0.012902752952565814,0.7779105523850212,0.05522645948683589,0.9441246475144622,0.006015304597856734,0.8609645417306707,0.07273747744044634
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8480078895559681,0.01872947194577341,0.7756189519219507,0.06036356161532501,0.9233399666633983,0.007892149037047217,0.8525620839733744,0.08156379769434727
19,700,50,1,log2,30.0,gini,balanced,True,0.8613786719466845,0.01248692563617211,0.7725151131543048,0.06932190581427408,0.9411289054482465,0.007535295620261158,0.8609511008704557,0.07382350193073439
28,200,100,1,log2,4.0,entropy,balanced,True,0.8214998880952511,0.021108008128166836,0.7669875949062795,0.06957411729526414,0.8993817040886363,0.00885092641418936,0.8302105734767025,0.09121617265214381
20,200,100,5,log2,4.0,entropy,balanced,True,0.8163095474135547,0.021810535665485162,0.7669752966607044,0.06870873489752058,0.8952387488969507,0.009717742183669019,0.8294572452636968,0.09540726486901646
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8322080315954741,0.015435048959927441,0.7666381943752713,0.06720890921808632,0.8988729300258196,0.012911020834873431,0.841791474654378,0.08764390983455683
35,150,50,2,,,entropy,,False,0.8135173118756456,0.026922627490597185,0.7490959318937519,0.0840043228774479,0.9018797999803901,0.023996522797233126,0.7868109959037379,0.10419352980022568
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9645080159957139,0.014265911547351736,0.7190980436157253,0.06967285723534031,0.9950794783802334,0.004097103339994531,0.7717258704557091,0.04581964643008681
5,700,20,1,,20.0,gini,balanced,False,0.9335677203227519,0.02033145541170928,0.7071820978364374,0.05141652847314341,0.9863717737033042,0.006063735415408511,0.7688300051203277,0.03076601851051731
24,150,5,10,,20.0,entropy,balanced,False,0.8782183075765404,0.011144747104353429,0.7026568233155975,0.054164167818536654,0.9583311135078603,0.003702065170593765,0.7675828853046596,0.04539283103359535
