candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9698164588483902,0.004123986981949648,0.8945824834971526,0.01824990436506298,0.9977563340865382,0.00035849248348532526,0.9523503373947122,0.007423747110502174
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9748393675147448,0.0027944454076973472,0.8944688605568889,0.017761246343378695,0.9984383130095846,0.00038936192689681116,0.9542781649520379,0.00533604021983752
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8944415603030516,0.018216343763424837,1.0,0.0,0.9517719148532688,0.0044544526230459545
26,100,5,4,sqrt,30.0,gini,,False,0.9816364332758456,0.003319826946817199,0.8944300944973327,0.01668140848483566,0.9993952999732094,0.0001403386168461357,0.952742347382228,0.005092288209516943
8,150,10,3,log2,,gini,,False,0.9656469539544954,0.002346158449958558,0.8944054960120132,0.018678752433344673,0.9969042868242413,0.000270633962634943,0.9530563101502869,0.0073186429687985485
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8933255014897551,0.008413954886508805,1.0,0.0,0.9511241446609461,0.004272930787357915
11,200,5,3,log2,40.0,entropy,balanced,True,0.9541081376958941,0.004277422760217239,0.8920818893225398,0.02366217240715203,0.9933508445605301,0.0003944966739399005,0.9504334573871269,0.007443482856665972
30,150,5,5,log2,8.0,entropy,,False,0.9433765690683547,0.003578983342353847,0.8895894469369244,0.01833572346885085,0.9901232357818085,0.0005452837433006896,0.9503510959402014,0.007751309887343811
38,200,20,3,log2,8.0,gini,,True,0.9226339270380157,0.002202752345903162,0.8861720568910878,0.015193998094992521,0.9796694921200674,0.0008866086673193257,0.9469242165647371,0.009354438365554872
31,500,50,3,sqrt,8.0,entropy,,True,0.9143894906616264,0.002772875493095944,0.8861649652522352,0.0146255985066053,0.9742637877242387,0.001062546058812301,0.9452743011109531,0.008852260379433206
40,400,10,10,sqrt,10.0,gini,,True,0.9229407838453743,0.0019394745848454703,0.8861347951573191,0.010242333046862789,0.9790465549619924,0.00033779216201473226,0.9474631038733229,0.0069068605399288515
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9274369519323494,0.002501701433177973,0.885108051378879,0.02109987957706734,0.9863763774285665,0.0003795811869734186,0.9467916567897724,0.0038791827704699774
17,400,50,5,sqrt,10.0,entropy,,False,0.9315585758911219,0.005219894448214521,0.883788873261447,0.013921198760248539,0.9844287286808159,7.77278308537501e-05,0.9472651867128115,0.006989522294431907
15,200,10,2,log2,40.0,gini,balanced,True,0.9505572959352214,0.0021865283249842726,0.8827332473698796,0.01891558831370918,0.9923780022894763,0.000526611437515433,0.9520117021444714,0.007898863360176735
9,100,100,4,log2,40.0,entropy,,False,0.9123360923390246,0.004178756330289364,0.8826303294763171,0.01560791570276921,0.9688002455547196,0.001356439520763092,0.9429722340744954,0.009394863350287434
18,150,100,5,log2,40.0,entropy,balanced,False,0.909771178786861,0.0018662717059854995,0.8815884710505433,0.015485335204554732,0.967746170324013,0.0017188178499024929,0.943592803299673,0.009206765432438141
37,700,50,1,log2,10.0,entropy,balanced,True,0.9120748082512581,0.003055820074961745,0.8815570468041438,0.02057031675959368,0.9734511452364325,0.0012145740544364852,0.9449057388707154,0.0092393706791215
21,200,10,10,log2,,gini,,False,0.9226433793782929,0.0028952334607221394,0.8813874891987806,0.020352671872761567,0.9806352460265894,0.0007443097889191368,0.9477731593419618,0.007811577463657905
36,200,20,2,log2,10.0,entropy,,True,0.9321382007198917,0.002168964165978407,0.8813797558567462,0.015590875325238883,0.9852797196472014,0.0007820720183829191,0.9494245168223265,0.008015596572427676
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9149477010087358,0.002937054691293012,0.8813760716680271,0.013444146926670196,0.9737279609909588,0.000790392328858422,0.9444008912909496,0.008955944587932817
