candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8362164453007299,0.017693253654776905,0.7565052927901974,0.06017627140014223,0.9837994735197014,0.0022245031273390985,0.8124138763822042,0.09421506023196807
35,150,50,2,,,entropy,,False,0.786162231952433,0.017737082702636842,0.7536288310094811,0.06070877550532586,0.9564488605199134,0.009177800880222197,0.7749388466249202,0.06119378352771986
26,100,5,4,sqrt,30.0,gini,,False,0.8353587747370087,0.027402513872815785,0.7515032793293663,0.05523680257278935,0.997961843014149,0.000509051448686157,0.8268864393037658,0.08534504126869082
33,100,20,4,,8.0,gini,,True,0.7933516640550253,0.023344559795608854,0.7393827097496717,0.03185580678376414,0.9748876217146012,0.004161093475873799,0.8166778795563145,0.07660746867468407
37,700,50,1,log2,10.0,entropy,balanced,True,0.8585341864457373,0.024776628085404435,0.7391443358442578,0.0732359220389767,0.9832851358790524,0.002684684784064785,0.8160516827959772,0.09811244904883348
19,700,50,1,log2,30.0,gini,balanced,True,0.8568985044667932,0.024361310850929446,0.7390044580359312,0.07068035500490003,0.9821026853225178,0.002928995914934375,0.8118014801014335,0.09914288166039448
11,200,5,3,log2,40.0,entropy,balanced,True,0.9626451278750041,0.004794154987585848,0.7341166816762088,0.06628072988707731,0.9957778119648102,0.0008784849243726093,0.8252935189497835,0.09926421966871232
15,200,10,2,log2,40.0,gini,balanced,True,0.9609994308076887,0.009776029109769173,0.731696232917528,0.06936781942182954,0.9960695600917866,0.000848738939670108,0.8183777536269385,0.09264821526752885
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.809240576895976,0.01815658614723263,0.7300760489753958,0.06660453308267307,0.9680669105341643,0.004192280224480767,0.8186551432662286,0.09131968486688706
28,200,100,1,log2,4.0,entropy,balanced,True,0.7892605580805465,0.023669695415196007,0.7285979322013661,0.08055473122943388,0.9460938272495444,0.008602763314523698,0.8090748503510496,0.0975190249439102
14,400,20,2,,30.0,gini,balanced,True,0.9748478175833657,0.012642437747490215,0.7285380232344708,0.040795348534956116,0.9983845243444229,0.0013227449531861865,0.8315924028359987,0.07854411501761732
