candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7063003411942825,0.02074397452891883,0.5873005716877959,0.06503956758033183,0.9400454746611345,0.006150970631237587,0.6259861501614079,0.0927845266209012
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9153084338025245,0.014409741965342403,0.5842499662938279,0.034571325787943766,0.9947946189772864,0.0013145020642717927,0.6207468419324089,0.08055284731661061
37,700,50,1,log2,10.0,entropy,balanced,True,0.8841916501059426,0.01678536742030425,0.5783914204857785,0.04025592316098377,0.9909904039847193,0.0015810588844850368,0.639619309670856,0.0970668386349214
19,700,50,1,log2,30.0,gini,balanced,True,0.9042673704877618,0.01722433884181445,0.5781198371939228,0.030151645132024986,0.9934596524539214,0.0016063677857579076,0.6375032642042952,0.07985997500169642
3,400,20,1,log2,,gini,balanced,False,0.9834175866964336,0.0032965706310083623,0.5717892729717032,0.026549488203797805,0.9995812915413046,0.0003172723401910162,0.6060251604066037,0.07853235038456093
28,200,100,1,log2,4.0,entropy,balanced,True,0.6647093645345563,0.009571843419203061,0.568038002356073,0.05306857826168705,0.9093599667661951,0.004550152080801273,0.6274140292696992,0.1011134740266439
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9799425121325991,0.007032611869989814,0.5631626702432748,0.017449941787079284,0.9990162019137709,0.0005995848739358049,0.5943137561178797,0.06628795795472502
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7687956837912725,0.024877471937167397,0.5606145603777937,0.03953766467709136,0.9641822401598983,0.006355311533066675,0.6191808249024744,0.0939617086227515
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7873131554240735,0.023033529200548197,0.5574097572368452,0.04178089620508143,0.9701470143546371,0.005519137448648295,0.6252576919071764,0.0898583436560038
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9855864385918703,0.005509126545457888,0.5572302531210673,0.01976232916725157,0.9997816171257774,0.0001891316689552029,0.5787615648955855,0.0887733576192197
18,150,100,5,log2,40.0,entropy,balanced,False,0.7564740166954127,0.013605621791299793,0.5509785288340263,0.03701046851206714,0.993171623556899,0.0013012808231791888,0.6314745792580844,0.09958281843736397
23,300,2,1,sqrt,4.0,gini,balanced,False,0.722381541936642,0.011219144061559695,0.5496226288485133,0.04530378232537168,0.9914235077147424,0.003745733130297173,0.609646224336946,0.0917003221403727
20,200,100,5,log2,4.0,entropy,balanced,True,0.6632398314844066,0.006753545444695418,0.5413490167087263,0.0424018456481596,0.9045063767092858,0.004766868686028833,0.6286032810259614,0.1001801810479737
14,400,20,2,,30.0,gini,balanced,True,0.9932311830196507,0.002256642923895946,0.5411576994749987,0.02753856533015503,0.9997443508149553,0.0001884050084923704,0.5996923637645286,0.06716912080740059
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.6899552419134607,0.011389974705089297,0.5372745263766469,0.042421818000563535,0.9836383442156338,0.004974450723488391,0.6073291599580259,0.09751813377144598
15,200,10,2,log2,40.0,gini,balanced,True,0.9863473770412605,0.007770800462305552,0.5302204792203318,0.03834654650776101,0.9996312742447817,0.00011277984456666644,0.595247358597874,0.07524701821865118
11,200,5,3,log2,40.0,entropy,balanced,True,0.9839538202600604,0.006759165380475486,0.5297029193586982,0.03897419769288938,0.9994048163105008,0.00011497135598638316,0.6152902137953684,0.059575405345737485
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6597581636072015,0.014334666585131982,0.5293529418525648,0.03730004709015581,0.9697805411362044,0.0022594991338198748,0.6013394051538381,0.10449991136085833
2,700,5,10,log2,4.0,gini,balanced,False,0.6702990392046042,0.013855007308033584,0.5259002552452863,0.03746412828752434,0.970653974663616,0.0019175277684388098,0.6231707238923734,0.09109126935666836
5,700,20,1,,20.0,gini,balanced,False,0.8341333558110458,0.019406266970325933,0.5050963679289626,0.031182009284681032,0.9911217286834019,0.003488226561346337,0.501993006993007,0.033330375527817764
35,150,50,2,,,entropy,,False,0.613069749742907,0.035141413414730774,0.5048871958118389,0.026151692227325208,0.9500761050051336,0.011187399317489617,0.5134946010461474,0.025185741519620324
24,150,5,10,,20.0,entropy,balanced,False,0.7365998616570628,0.01635688343294136,0.4996884212395753,0.0501550212574485,0.9789105818333498,0.002114096608621654,0.5205684922179767,0.07872384338254737
4,100,2,1,log2,40.0,entropy,balanced,False,0.9966041525592837,0.002773005837642488,0.498783088939532,0.02885128342560662,0.9999916874381753,6.788043964893493e-06,0.5872669598442795,0.06232685850302356
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9932311830196507,0.002256642923895946,0.4985249842013773,0.028989693544149597,0.9999861061466644,1.5285457590148305e-05,0.5912784466392714,0.08370547197184013
33,100,20,4,,8.0,gini,,True,0.5303932028574943,0.03433498437473714,0.4855435664569919,0.0006054112264196253,0.9962581532757842,0.0026472530104260914,0.6440945537852756,0.06369235181241456
9,100,100,4,log2,40.0,entropy,,False,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9875831530222967,0.0031450458123426003,0.6225830870160767,0.08123878106974336
30,150,5,5,log2,8.0,entropy,,False,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9977108722614714,0.0007886185906846409,0.6218324802345421,0.09260076513780244
1,200,2,10,log2,10.0,gini,,True,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.981691958625609,0.004452410239884961,0.6194694366343851,0.085569387610773
36,200,20,2,log2,10.0,entropy,,True,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9970987172438249,0.0006514803724534487,0.613499347159141,0.06352575578010675
21,200,10,10,log2,,gini,,False,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9954913396960056,0.0008476323366759332,0.6127362442826361,0.08095153920305788
32,300,100,10,sqrt,8.0,entropy,,False,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9842517036412766,0.0032805856221452185,0.6123815073815073,0.08775216747454272
39,400,100,1,sqrt,10.0,entropy,,True,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9879910433516541,0.006221578293002491,0.6051743045042013,0.08141110176667403
38,200,20,3,log2,8.0,gini,,True,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9931129584891674,0.0018487320254051641,0.6020669822731679,0.06214858849525119
40,400,10,10,sqrt,10.0,gini,,True,0.4855433823041625,0.00015129601409059562,0.4855435664569919,0.0006054112264196253,0.9931602943420289,0.0008165931830682229,0.599821490079222,0.05714941282513419
8,150,10,3,log2,,gini,,False,0.5097707931610767,0.03865730240516769,0.4855435664569919,0.0006054112264196253,0.9996258231225083,0.00035285507491529425,0.5988956976585843,0.07292747960995404
