candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8881873690335521,0.006419239944449888,0.822760288231728,0.04062101056266027,0.956257353441465,0.003201983234085347,0.8836694688086946,0.0359441679021901
3,400,20,1,log2,,gini,balanced,False,0.964359282911538,0.003646818062958696,0.8204071956193635,0.04603515472737217,0.9960348427581609,0.0008020707712087443,0.8960914807761942,0.03164515064177541
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8578075456223881,0.015165138368177357,0.8155835570739638,0.04382029676960853,0.9326885886961044,0.005202493414907011,0.8719357704240724,0.041718425932295085
14,400,20,2,,30.0,gini,balanced,True,0.9605735699373487,0.0032707639617481623,0.8137842357330317,0.058940690362615275,0.9945652449108302,0.0007522188297668527,0.8943491076475814,0.02768585653576274
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8585926636645315,0.008850826961576129,0.8131766224702435,0.04496724284532837,0.9310099511601884,0.005760558397365024,0.8710852938341589,0.040919232575628406
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8885701715984018,0.003796157984682086,0.8129162938356297,0.048216030733629324,0.9594935287772554,0.00329584381146059,0.8753387839207238,0.03886601078829656
11,200,5,3,log2,40.0,entropy,balanced,True,0.9432434776573857,0.010836315882065415,0.8115058115798449,0.05079409940077541,0.9894935747261471,0.0021211195866525597,0.8923621874943015,0.03877296686266584
2,700,5,10,log2,4.0,gini,balanced,False,0.867860309998249,0.005988765268687279,0.8107996244449545,0.027395667215189018,0.9489591365672785,0.003768462212809604,0.8758134851891122,0.04261481078599343
25,200,2,10,,10.0,gini,balanced_subsample,True,0.911683908940182,0.0030865827456164683,0.8104659041790196,0.06241097229426509,0.9798835621463615,0.0018161932335128098,0.8850717555024709,0.03480204043494632
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9955451105555572,0.0015415264369352468,0.8100951824472815,0.055208412212718966,0.9999929589860941,1.408202781196799e-05,0.8978653096206297,0.03331017572096697
20,200,100,5,log2,4.0,entropy,balanced,True,0.829656582574229,0.00634522839720829,0.809838034627672,0.03271799089743983,0.9188087605384843,0.007016828661071549,0.863556241256874,0.04416037658237897
37,700,50,1,log2,10.0,entropy,balanced,True,0.8865930769542917,0.007344715649228789,0.8077135670785772,0.04937281057825516,0.9585669115979186,0.0032444724579750173,0.880990653158727,0.03801470670518214
15,200,10,2,log2,40.0,gini,balanced,True,0.9360960451760146,0.008042497621606486,0.8069017171258747,0.03322773595713606,0.9884411999130931,0.0014674042856710453,0.8906174698402858,0.031238731049470333
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9712131096061759,0.005247801224628922,0.8045343908971251,0.04702980482765537,0.9978119639607277,0.00047221818041888025,0.8903849059454559,0.03470555391038727
18,150,100,5,log2,40.0,entropy,balanced,False,0.8745563346302113,0.01131689734406376,0.8034008020797246,0.046767216606428914,0.9483269417055252,0.0032535813454885173,0.8787119047184877,0.03645744243117528
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9156001767571642,0.009165176572991129,0.8032289264025254,0.036088173358523386,0.9767798801284318,0.001897197476502812,0.8805328845738044,0.03640986077174071
28,200,100,1,log2,4.0,entropy,balanced,True,0.8352635576988504,0.003537181066542255,0.8024213507414746,0.03423447753966647,0.9209641219348603,0.006714431952870501,0.8639550059524895,0.04415889070101021
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.87201536951224,0.007928493208660077,0.8017015654620282,0.037852590559754595,0.9347137178585635,0.007306085090011932,0.8723263944064833,0.0427982492369827
26,100,5,4,sqrt,30.0,gini,,False,0.9813673678384962,0.003723492299969352,0.8000548171427215,0.05261205631903588,0.9990625523306822,0.00023973735589742328,0.8970116418711397,0.037531708906719745
19,700,50,1,log2,30.0,gini,balanced,True,0.8826883613758472,0.006129220650999559,0.798957095928247,0.05220950946941731,0.9561466330495112,0.0038252100855191095,0.8814885391783222,0.036413931377563116
