candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9993880917210638,0.0001988307973460599,0.8312625113484209,0.007277263925150786,0.9999976202306888,1.2831706545834667e-06,0.9047850669986864,0.007407249994997988
26,100,5,4,sqrt,30.0,gini,,False,0.9854422415322854,0.0007947034119663445,0.8257793818515665,0.008344664645801797,0.9989325523195572,0.00010782488407611076,0.901118369463752,0.008317772120465694
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8239325129376773,0.01051996122994327,1.0,3.14018491736755e-17,0.8995566843213765,0.006453139652603086
3,400,20,1,log2,,gini,balanced,False,0.9684079048872092,0.0017144448817775723,0.8214072325973852,0.007614659521666501,0.9952299069396925,0.00023998763202471963,0.8985564147492785,0.0089931011907127
14,400,20,2,,30.0,gini,balanced,True,0.9506292983167309,0.0015228164577877528,0.8191714911998992,0.013883911397969437,0.9915120922996168,0.00037969897434982585,0.894784415856011,0.011137369607124798
8,150,10,3,log2,,gini,,False,0.9569780284675556,0.0018017695609669343,0.8155011402024849,0.009081308895367374,0.9916411633295691,0.00044431608481936073,0.8931381010746682,0.009455493828165714
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9658648019590941,0.001991973983223436,0.8149623124709283,0.008745052863030815,0.994951318144017,0.0004382287079028145,0.8942124976404361,0.009351049625250905
34,400,50,1,,40.0,gini,,True,0.9200400534576708,0.004314429560989072,0.8142502692862463,0.012580088162853715,0.9777105540790647,0.0010146210664072864,0.8864256381812351,0.011160025133181867
15,200,10,2,log2,40.0,gini,balanced,True,0.9358972456698333,0.0023163720838808716,0.807736223785146,0.009008826924237903,0.9842013279242857,0.000723390382198781,0.8884614739775654,0.009381533427759228
11,200,5,3,log2,40.0,entropy,balanced,True,0.931164801095141,0.0022608781441051016,0.8059594304069985,0.009831366492032747,0.9825412259576863,0.000889626341244433,0.8872960200621114,0.010068157474873864
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8793596615721685,0.002406027918384232,0.7976838663633005,0.007948705294729094,0.9521979964136686,0.0011856588925754261,0.8769301318576038,0.00995720294674427
17,400,50,5,sqrt,10.0,entropy,,False,0.8681846817716463,0.003384002169430191,0.794121351348994,0.010533143751533705,0.945218984051166,0.0013874394659349055,0.8729574879306687,0.011086614523511992
19,700,50,1,log2,30.0,gini,balanced,True,0.8740856949354376,0.0028219956093400314,0.7934093604778666,0.006223399400483162,0.9477585295325577,0.0014294437776809945,0.8733327006146503,0.009656176388743647
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8630124992478178,0.005621890869289849,0.7909789139344754,0.012657544133635835,0.9504647425177681,0.0028068665926801826,0.8759961472846268,0.009880514959245038
40,400,10,10,sqrt,10.0,gini,,True,0.8598091480730838,0.003023528930376264,0.7866893520429481,0.009591857432990111,0.9387146558282169,0.0013131325436468832,0.8679978290395735,0.010171353575978766
33,100,20,4,,8.0,gini,,True,0.8466475069681895,0.0069410380461772695,0.7845750227999456,0.010595421660533299,0.9329714948588815,0.0031510789732356096,0.8658567046524136,0.01091618468605886
21,200,10,10,log2,,gini,,False,0.8732684261866314,0.0030374191741088324,0.784307468820587,0.011411655385341243,0.9462763093303938,0.0018036699809770777,0.8682764364895894,0.009824406934941335
9,100,100,4,log2,40.0,entropy,,False,0.8495813795095611,0.0035136299628506507,0.7815741024295977,0.008620742188062249,0.9257896116796736,0.0022226568813863493,0.8620850635724702,0.010037074544301056
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8374162685158377,0.0032169022704287556,0.7791135115007307,0.009243280611179483,0.9199183592677636,0.0019603743189367936,0.8629153942798997,0.01028463801553131
18,150,100,5,log2,40.0,entropy,balanced,False,0.8377086495572797,0.0031863199627399407,0.7784542071214621,0.00855002468710215,0.9224618485572083,0.002167475910092864,0.8603929149083066,0.010391166430049878
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.833102685811352,0.00329394047953215,0.7781915038754089,0.008066411007171466,0.916673349104276,0.00216269830632673,0.8609953857596113,0.010875179629808466
36,200,20,2,log2,10.0,entropy,,True,0.8417019813664333,0.0027775222917402168,0.7744886574075661,0.010934955925172867,0.920678217224875,0.002194786211731627,0.8552399880147081,0.011151548083766224
39,400,100,1,sqrt,10.0,entropy,,True,0.8236161639673898,0.003986145120784046,0.772407994448581,0.01106780572602561,0.904884665047821,0.0020311077671741097,0.8540972714067396,0.010877047523095198
31,500,50,3,sqrt,8.0,entropy,,True,0.8265947462801801,0.003222461287345745,0.7720250740720732,0.009921962146791795,0.9082913735924505,0.002015309508842162,0.8533628506699867,0.011142917196023677
32,300,100,10,sqrt,8.0,entropy,,False,0.8184338720566146,0.004124438265721333,0.7708337884625301,0.011157466517276471,0.9018303997408075,0.0022339621031761407,0.850186143897198,0.011098125879686347
35,150,50,2,,,entropy,,False,0.8584994142507745,0.004782230324499587,0.7652667869668954,0.008799632512346237,0.9448755573083997,0.0023351181115012923,0.8286806302750799,0.012881905304477347
37,700,50,1,log2,10.0,entropy,balanced,True,0.8169323989272855,0.003429314792972054,0.7650341084082044,0.012939212821958507,0.9074536027005015,0.0019211229154997172,0.8503799491045294,0.011350047001042321
1,200,2,10,log2,10.0,gini,,True,0.8128208940857572,0.0027856507920864092,0.7622307021921714,0.00979721901112937,0.8966370179877836,0.0023120442472741977,0.841988248725189,0.01034810621280071
30,150,5,5,log2,8.0,entropy,,False,0.8193406915224664,0.0036836713745097504,0.7584851377810793,0.012036933130218645,0.9032328391335918,0.002312004186184557,0.8429178601858173,0.011990884772476312
5,700,20,1,,20.0,gini,balanced,False,0.9148757806432899,0.0038362080763054635,0.7558134471278071,0.01182587792532249,0.9743372949062195,0.002813380403429968,0.8033716137025373,0.012264889672008594
38,200,20,3,log2,8.0,gini,,True,0.8078888246843985,0.0049750148839271865,0.7552705132896544,0.013435641545226149,0.8925608393118674,0.0025599358899191928,0.8394036399344235,0.011356686288672948
24,150,5,10,,20.0,entropy,balanced,False,0.8905682316347978,0.002404950695123934,0.7518157020083107,0.006222042443878499,0.9673414941267399,0.0006511324950671345,0.823514563519461,0.007350567707433397
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8010722774371257,0.006928218406900456,0.7384399384688364,0.012501249355188294,0.8821514647903846,0.0049736950330468545,0.7942298409201395,0.010516347483661035
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7278072578377314,0.004176131740580136,0.7090718463600454,0.008967626080172946,0.839393828555261,0.0028122824537922604,0.8063879531978878,0.01221968224500214
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.723380917561576,0.0039427991807778,0.7084801027824156,0.01006185926342471,0.8355118687824097,0.002733999223929273,0.8050924955523836,0.012983236302001318
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7227756827676092,0.005074892037282828,0.707630993558141,0.010423623511157208,0.8312304901239468,0.002909898607689217,0.8024466263407494,0.012222793098031143
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7234275814286186,0.004127718571997565,0.7031293265016018,0.011354342443678403,0.8261094015637869,0.00361296267363399,0.7963709434894137,0.012865057078632279
2,700,5,10,log2,4.0,gini,balanced,False,0.7226437627726995,0.0031124950026708603,0.7024086094689866,0.010364047800814326,0.8261872441424005,0.001957091237958745,0.7975666455598825,0.011388127292141512
28,200,100,1,log2,4.0,entropy,balanced,True,0.7178654586014558,0.004442570299671242,0.7011000174567124,0.01200091427418175,0.8181400247413739,0.003310130248440457,0.7928601982615509,0.011570753640428968
20,200,100,5,log2,4.0,entropy,balanced,True,0.7169420945919737,0.004325990588955903,0.6999651788144952,0.011536767244691737,0.8167575040358342,0.0034039356938430675,0.7920788609900083,0.011494437279211409
