candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9978588540736549,0.0008866175716837069,0.8522389249089056,0.020197880712939695,0.9999966038446497,3.084206688232851e-06,0.9321222371415783,0.009470993076279256
14,400,20,2,,30.0,gini,balanced,True,0.9627407211646257,0.004238196795677684,0.8510588389606655,0.02527192596435324,0.9953476289545955,0.000737249145703551,0.9277237134776205,0.009606792988297135
4,100,2,1,log2,40.0,entropy,balanced,False,0.9992855839458972,0.0005833192603233203,0.8509740140817331,0.024233562027843453,0.9999986940235196,1.0663282022537424e-06,0.9257538455887456,0.009593578742976267
26,100,5,4,sqrt,30.0,gini,,False,0.9756193601255267,0.002729461264897502,0.8502183810849246,0.026825083251320946,0.9990364882314451,0.00014608199679781792,0.9323890272962027,0.00996555887886191
11,200,5,3,log2,40.0,entropy,balanced,True,0.9605808504257606,0.003146012413799176,0.8480295797191182,0.02199976268326088,0.9930653991191941,0.0004463395877587554,0.9280729504040568,0.009322684421054035
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9820067589999987,0.0016501574796811728,0.8479214398000475,0.017845032320962427,0.997426481518168,0.00024073809854429983,0.9292409356165975,0.01062624706206367
3,400,20,1,log2,,gini,balanced,False,0.9779032353922829,0.0016740302681453004,0.8472691792104355,0.020370659195922906,0.9974012931672566,0.0003061493587685719,0.9324144165679872,0.008734744953768959
15,200,10,2,log2,40.0,gini,balanced,True,0.9600907678444703,0.004141013272246215,0.8437346198109233,0.020105559314475562,0.9927054973407552,0.00043846179839757414,0.9294740680147727,0.008916466640125435
25,200,2,10,,10.0,gini,balanced_subsample,True,0.924795232375778,0.004149185649523245,0.8425460551782501,0.019287133168651674,0.9845645185011094,0.0006517862161299785,0.9229814686437957,0.009857455185258988
8,150,10,3,log2,,gini,,False,0.9337029208833131,0.004895883965963841,0.8413606244378847,0.02643275385224074,0.9957384051022862,0.0002320544914893855,0.9311470247156657,0.008469849446506849
34,400,50,1,,40.0,gini,,True,0.9226531873552182,0.0054390984949847475,0.8380903389043162,0.02103411856463417,0.9834911122224138,0.0016568785419250735,0.9173755322430089,0.011460781052500929
33,100,20,4,,8.0,gini,,True,0.8941426741168834,0.004963409873586012,0.834620622663539,0.02544055637533622,0.9723973536466082,0.0017822546417758317,0.9174848567887574,0.010470724189655863
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9066157400455588,0.0039798409838433255,0.8329991035467171,0.016997959966761168,0.9761479913185528,0.0004647407128661701,0.9246772603164627,0.009323913044151023
17,400,50,5,sqrt,10.0,entropy,,False,0.8781455722417553,0.0062279634693875995,0.831402059631927,0.022237162365278066,0.9805947750053007,0.00040089816017812387,0.9268413531512654,0.009093599769077044
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8769188204045179,0.004396678541259643,0.8311036956622445,0.019098430530060186,0.9553214292153003,0.0016512198901330547,0.9111693213468002,0.010535329976251494
19,700,50,1,log2,30.0,gini,balanced,True,0.9086894756710368,0.005601308773306813,0.8309568505487179,0.017692720360630965,0.9735575210977818,0.000645664410629027,0.9222141002102638,0.008379715020952408
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8528857019509374,0.00518568525223663,0.8286186613958583,0.01964690671505571,0.9403737813447788,0.0022850966699487158,0.9057154096218382,0.011284997271237341
37,700,50,1,log2,10.0,entropy,balanced,True,0.8978219553269505,0.006013003080870908,0.8279773011504798,0.015266532978912693,0.9697558514751431,0.0007494844505272267,0.9203659715464622,0.007868128889066255
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8619964736033826,0.0037483960571133923,0.8270766750958913,0.0184914792280735,0.9482103267180466,0.0018504913188941983,0.9088493705398624,0.010437067280384384
