candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9074177926569545,0.019025732105605125,0.6418450728858679,0.06225190003894678,0.9815556514029014,0.0047988014176975095,0.7287415255957456,0.05991307645309727
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.817987828938339,0.011288837241959452,0.6359399872029069,0.0788126262185917,0.9391479875458922,0.006514774294456992,0.7170502983802218,0.06487889383386423
28,200,100,1,log2,4.0,entropy,balanced,True,0.7263833661078785,0.012573155890980587,0.6350818013829842,0.08301582757072803,0.8604041335301682,0.009865612904183049,0.7171220720172129,0.07347989787378648
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7553426244861987,0.014107428233656972,0.6345688309526243,0.08830293729199401,0.8849845539129982,0.008090318119651038,0.7126559493362562,0.07201363704670648
20,200,100,5,log2,4.0,entropy,balanced,True,0.721802813596426,0.013622021373263809,0.6320383382220238,0.08483395338414214,0.8550760294707911,0.010826914133166199,0.7154359598912029,0.07536249068370743
37,700,50,1,log2,10.0,entropy,balanced,True,0.8150386659417416,0.014831752058972091,0.6310515800331368,0.07383654036492265,0.9325994344401889,0.008054370331973116,0.7261349409328949,0.06605997340260786
2,700,5,10,log2,4.0,gini,balanced,False,0.7809696613608523,0.014029971090116555,0.6309259721377171,0.089410512960502,0.9101182069894485,0.00832564290510087,0.7179855478423254,0.07211548384400256
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8058235355687722,0.01598079146945432,0.6300645994944459,0.06609353177032037,0.9386356148478725,0.010235330142201276,0.7231668899443836,0.07084289589934406
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8846888543234168,0.013567979482502617,0.6290742343427393,0.07524071970454896,0.9711153619560114,0.0057667684785812886,0.7202403280152642,0.07193768684005496
18,150,100,5,log2,40.0,entropy,balanced,False,0.801416900850374,0.01880119283683944,0.6282579269971085,0.08486824123905887,0.91726216531853,0.009356251587073051,0.7182141030325174,0.07141553245074506
19,700,50,1,log2,30.0,gini,balanced,True,0.8090195982838333,0.016661320603219128,0.6261661613666409,0.07617684706257319,0.9261737053238364,0.008506723089252542,0.7257934478139083,0.07287435621101873
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7438610551135686,0.014037621669936134,0.6248219858027941,0.08177859957941097,0.8791359089661865,0.010464545661202408,0.7166945966792515,0.0735228855086031
15,200,10,2,log2,40.0,gini,balanced,True,0.9563398287358155,0.009283705742315063,0.6237503611849752,0.0676814862828743,0.9957507790620415,0.0016997644052086118,0.7389960621929932,0.06111751408505266
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7471970406766054,0.012043775569818666,0.6234406796480989,0.08374539284501246,0.8829302728701366,0.011198084330475491,0.7122290423415744,0.07293467645112615
14,400,20,2,,30.0,gini,balanced,True,0.9820868615178027,0.006829174712748071,0.6224934515232996,0.061191627204396803,0.9993539356749416,0.00037021325173688973,0.7378217025940812,0.07019872571154459
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8047819239306735,0.017453870642490533,0.6213602614491776,0.07227728719718152,0.9220299143496627,0.008928200749059036,0.7171599886331345,0.07351041410249605
3,400,20,1,log2,,gini,balanced,False,0.966217607956848,0.006503616718476647,0.6189027217277778,0.07059481759517713,0.9997427070223298,0.00018281528738946467,0.7313352819388625,0.0645702401671789
11,200,5,3,log2,40.0,entropy,balanced,True,0.965046605201684,0.01134991588753918,0.617937976214472,0.0689633728454359,0.9968715272155816,0.0017377027400432693,0.7343149433686519,0.05838417348806433
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9831254553002486,0.006343264529260323,0.6149105624425749,0.06165586589238941,0.9999807228915663,6.448497522181528e-05,0.7299237608086713,0.055491480512795836
24,150,5,10,,20.0,entropy,balanced,False,0.8387310837450265,0.0272306510418239,0.605969426446605,0.040150886340039264,0.9587804076838127,0.012827366246036509,0.6737397393740104,0.044802787964302065
5,700,20,1,,20.0,gini,balanced,False,0.9053296480129791,0.03266586286392085,0.6048453745900195,0.04449060974520468,0.9839214606591244,0.0070168489145422,0.6451329923273658,0.047085512435084444
34,400,50,1,,40.0,gini,,True,0.8079733957791021,0.020705581676664406,0.6019863360199058,0.0670581199865815,0.9616887888085376,0.004298900633928323,0.7142698006738928,0.07897406133946601
33,100,20,4,,8.0,gini,,True,0.8182639757159151,0.023384856239692362,0.6016835760938436,0.07391855445830721,0.9825200383691741,0.003836501248274251,0.7242322900174563,0.06821989345398764
8,150,10,3,log2,,gini,,False,0.832534635244602,0.020887100372070436,0.5982796623121089,0.07506939830345369,0.9989582651328068,0.0005722931697645617,0.7409827467218771,0.05920139896359802
35,150,50,2,,,entropy,,False,0.790325411037856,0.051980916911510584,0.5950650981761101,0.07122177256077003,0.9183657462146725,0.02900200879711056,0.6369384565420371,0.0725708583439159
26,100,5,4,sqrt,30.0,gini,,False,0.9820770861864971,0.006744833476343158,0.5923338345955679,0.07052582840592202,1.0,0.0,0.7353876507124589,0.052357056845393185
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9143609152491837,0.015956312745401154,0.5852521796250686,0.04309784076016291,0.9886543404561214,0.0055401042787609645,0.6027501725327812,0.054689117882861675
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.5818698210942101,0.059792887943820754,1.0,0.0,0.7288513376365039,0.05217296722542997
17,400,50,5,sqrt,10.0,entropy,,False,0.6984232373106827,0.028807472473220748,0.581866518996662,0.06793701015605798,0.957713440322555,0.0039453805035752415,0.7233085698047335,0.07057680825799223
40,400,10,10,sqrt,10.0,gini,,True,0.6693717572886435,0.029865539168416416,0.5780005631728733,0.06561566257479103,0.934292498282231,0.006695490546602582,0.7203053627248,0.07048580219344511
30,150,5,5,log2,8.0,entropy,,False,0.7070179009435159,0.024492710244305882,0.574698311700887,0.06507835640236626,0.9795513963249951,0.004169279193648594,0.733249299719888,0.06449502364586854
36,200,20,2,log2,10.0,entropy,,True,0.6870295548130972,0.028744962744106893,0.5743314560095186,0.06544496088662952,0.9610485950578146,0.004082959050807367,0.7315773961758616,0.06996355924056906
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.5704622341320073,0.06251821725231531,1.0,0.0,0.7264921040880119,0.05280814577350479
31,500,50,3,sqrt,8.0,entropy,,True,0.629349710581284,0.036585633569299114,0.563729636094708,0.05414888457378435,0.9180891380315163,0.008891213774061376,0.7210286201437097,0.07332765294471906
38,200,20,3,log2,8.0,gini,,True,0.6551483409415959,0.03468042788808765,0.5568916612371569,0.055359825728457907,0.9364129856523778,0.005624277051978339,0.732583607355986,0.07134841753726746
39,400,100,1,sqrt,10.0,entropy,,True,0.5786217146432856,0.03496459126453989,0.5319203752208906,0.04879282587740676,0.8831703133255779,0.009896422489633322,0.7136006982503147,0.07362010525341553
32,300,100,10,sqrt,8.0,entropy,,False,0.575947462639746,0.034888130714877126,0.5267694292516862,0.048759635411961155,0.8988553359683796,0.009946615671254622,0.714571996914708,0.0716427563237666
21,200,10,10,log2,,gini,,False,0.6179712507042998,0.048062259383429645,0.5255640635137019,0.048539441718114196,0.9465590134677615,0.006416867763839365,0.7239536394267851,0.07060375857245951
9,100,100,4,log2,40.0,entropy,,False,0.5483757301144778,0.035236774324506344,0.517017412392594,0.04634346339236885,0.9061705251270469,0.0100396733894239,0.7166625258799173,0.07351901653052235
1,200,2,10,log2,10.0,gini,,True,0.5442947944176412,0.04560615390175596,0.49292509281004315,0.03979800430713086,0.9040543445379485,0.008418401379297521,0.722391913287054,0.0751904179728602
