candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
5,700,20,1,,20.0,gini,balanced,False,0.9034778967348952,0.021776025383203466,0.6226180441056749,0.05455460618832081,0.9886175925925926,0.005048918448878873,0.663525925925926,0.06658794693967225
12,700,2,3,,8.0,gini,balanced_subsample,False,0.869356507561342,0.05827244021566219,0.6022767994194257,0.038876508270783136,0.9635750000000001,0.0378661338977837,0.6699851851851852,0.05671438126722359
14,400,20,2,,30.0,gini,balanced,True,0.9919689478484011,0.0038737826453777474,0.5880004350425156,0.056436289683582636,0.9996444444444446,0.0002541561253970111,0.7079703703703705,0.06930777623300925
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9425659899373942,0.013873132398985686,0.5874386070591912,0.053183330429676795,0.992974074074074,0.002550863916702801,0.695762962962963,0.07352194823607425
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7169644680068914,0.02610916779588333,0.5821460773557037,0.0554531068066335,0.9397537037037037,0.012532349908883135,0.7068296296296296,0.07323870287936089
3,400,20,1,log2,,gini,balanced,False,0.9738480287834161,0.005065102044983793,0.5810016643372669,0.06528347835278273,0.9999777777777777,3.2394177193580164e-05,0.6891851851851851,0.09115410006602959
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7495754338784739,0.0295841105163873,0.5799850660957634,0.06894870082004233,0.967887037037037,0.007921813142001658,0.7037925925925925,0.0727099036997158
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9879869220750507,0.005371193078496336,0.5799143883372824,0.07594867437531849,1.0,0.0,0.6808296296296297,0.09376720319526292
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7979055300728273,0.029219583221477743,0.5781803055739068,0.07004611915558102,0.9864,0.004420349035620115,0.686637037037037,0.06882895999419163
18,150,100,5,log2,40.0,entropy,balanced,False,0.7914808942533824,0.022370375124688247,0.57192115741081,0.07381389987614598,0.9698148148148147,0.009566109947810963,0.6848000000000001,0.08102637075175985
28,200,100,1,log2,4.0,entropy,balanced,True,0.7486275757298816,0.03475551355846979,0.5701592486796492,0.0815656703314066,0.9026,0.019763717779466283,0.6500444444444444,0.09017394073942517
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.827468409515709,0.03700926455892724,0.5698836349535099,0.08551262845751882,0.9603777777777777,0.013401930536772785,0.6459851851851852,0.09109820324103465
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7944163710541362,0.025307781266140823,0.5687213789432986,0.09067582499796988,0.9291685185185184,0.015721799496999977,0.6638518518518518,0.08325451416556197
20,200,100,5,log2,4.0,entropy,balanced,True,0.7387963259177888,0.03501374636230017,0.5681953818091044,0.07518373184876573,0.897387037037037,0.01980970460237784,0.6489185185185186,0.08644301119126661
24,150,5,10,,20.0,entropy,balanced,False,0.8288318214840241,0.025221320734776804,0.5677640280812043,0.057233644914522555,0.9608888888888889,0.011029194563341867,0.6277037037037038,0.05780331819164305
37,700,50,1,log2,10.0,entropy,balanced,True,0.8894605084282808,0.026676779706377572,0.5641436356807948,0.10680173029998145,0.9745629629629629,0.008871762822742161,0.6661629629629628,0.08681853613563902
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8961462730150315,0.02433370443765456,0.5613584304656687,0.09487173896044412,0.9761388888888889,0.009129216428182246,0.6682962962962964,0.07875631357102533
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8044124989334606,0.023473517843536525,0.5612468287172119,0.09416384648486545,0.9355240740740741,0.015002633056509071,0.668148148148148,0.079915456012835
2,700,5,10,log2,4.0,gini,balanced,False,0.7572751735818525,0.028898418934009098,0.5549770148618275,0.05926021494261194,0.9677944444444445,0.00997268973077939,0.6619555555555556,0.08176110404361432
19,700,50,1,log2,30.0,gini,balanced,True,0.8959250744958035,0.024948826735075792,0.5524752784872158,0.1011517761286156,0.9750444444444445,0.009333567383896646,0.6633185185185185,0.08654086976635776
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.5475324553697029,0.04288751910205894,1.0,0.0,0.686162962962963,0.09222022190304231
15,200,10,2,log2,40.0,gini,balanced,True,0.9871448668869688,0.007575338968023797,0.5304034141200361,0.0522184330279161,0.9995444444444446,0.000409648716988825,0.6698370370370371,0.08485113762086843
11,200,5,3,log2,40.0,entropy,balanced,True,0.9888628758110386,0.0056354078171775126,0.5294172371924618,0.04886219425401957,0.9996425925925925,0.0003329524572972981,0.6731555555555556,0.07983117439970218
35,150,50,2,,,entropy,,False,0.7287028559459767,0.05945748240293056,0.5186538128837274,0.035860017407588825,0.912036111111111,0.012898167224999863,0.6426222222222222,0.07119631623768319
