candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8303464962223734,0.010712534323555008,0.7141619565296188,0.01936772526278137,0.9293733628348179,0.0029219474021515515,0.7668252583237658,0.04379408854030286
37,700,50,1,log2,10.0,entropy,balanced,True,0.8256074680327465,0.009650435094446356,0.7117357280841852,0.014680404193132221,0.926590488557957,0.0029452432702906676,0.7722948335246842,0.03693631722212072
19,700,50,1,log2,30.0,gini,balanced,True,0.8269615550058055,0.010781838826412113,0.7090455934210762,0.015799513171404437,0.9252377024511498,0.003041893182588783,0.7685850746268656,0.038284918703562695
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8112553585042565,0.012242113620000867,0.7074010446693398,0.016836268415643972,0.9217195947075675,0.004549542119281608,0.7655917336394948,0.04680939592060704
18,150,100,5,log2,40.0,entropy,balanced,False,0.8064127858209982,0.010235690147024159,0.704959680384422,0.016656680490060003,0.9136850567922151,0.0044655543403391475,0.7733667049368542,0.0455465555982906
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7829529957933907,0.012296329421679178,0.7040773532040503,0.02023058089865127,0.8799767313544302,0.0059115589103265215,0.7681001148105625,0.0343641167248541
2,700,5,10,log2,4.0,gini,balanced,False,0.8040407143705964,0.01426604784766096,0.6996707681344794,0.011512950197619717,0.9186403447660875,0.0032965607313189403,0.7680964408725603,0.04532685787664843
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8466726425581284,0.012481195002390245,0.6989818236997519,0.019285290846744216,0.9530648846878378,0.004341148360988505,0.7670199770378875,0.04955699040325813
11,200,5,3,log2,40.0,entropy,balanced,True,0.9372045091845829,0.008191610217817866,0.6968892844169227,0.037251350487356526,0.9916698806193083,0.0016639782283221407,0.7700436280137773,0.042810040366484885
20,200,100,5,log2,4.0,entropy,balanced,True,0.7685785376747448,0.011088914687083154,0.6965562720346926,0.015846491024743007,0.872152767714824,0.00640168457516516,0.764340757749713,0.037933417368363274
3,400,20,1,log2,,gini,balanced,False,0.9642026325622972,0.0056693428325730955,0.6963209223542244,0.03433947679150736,0.9980825660718069,0.0005254488376696326,0.7696,0.05091968806139795
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7784975511275263,0.0120838521737077,0.6958772498648323,0.021731016578587475,0.8775876545205266,0.0054183594223146635,0.7664615384615385,0.034306393873325826
28,200,100,1,log2,4.0,entropy,balanced,True,0.7703805560155756,0.011886591093147533,0.6956245595820928,0.01725456722094666,0.8750972963784512,0.006051389082957786,0.7649818599311137,0.03886572263973312
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8636404079916774,0.009323206528627136,0.695312267769419,0.05195665943304071,0.9641809854759066,0.001732006370868837,0.7493464982778417,0.06347123375969181
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8099152606515418,0.009691413278491217,0.6921886303778675,0.022720512498782784,0.9319339309799025,0.0044354618453610935,0.771478300803674,0.04371755549684616
15,200,10,2,log2,40.0,gini,balanced,True,0.9311700101828528,0.008746936688734561,0.6920873362533974,0.03398106044069667,0.9901084569683324,0.0018106873666981246,0.7678153846153846,0.040087632921146824
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.690549396006961,0.049008251043862444,1.0,0.0,0.7654934557979334,0.05447999129744497
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7922816046850467,0.01137413289110842,0.6901425531427152,0.0172033478945679,0.9030730356804477,0.0039196826173240485,0.7748904707233066,0.04339194826134146
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9814110782910274,0.005715431146141976,0.6896759264842234,0.027316583200771325,0.9998596217939428,0.00010052965717555853,0.7683260619977038,0.04891034318081695
14,400,20,2,,30.0,gini,balanced,True,0.9481477448142042,0.006522817656928526,0.6763067704771514,0.04464495258735943,0.9924046960864089,0.0015018403883744534,0.74675177956372,0.0653361360587596
33,100,20,4,,8.0,gini,,True,0.8836341421460392,0.00998827872913651,0.6749699596946285,0.05345185038198358,0.981347728311393,0.002042202343032489,0.7555242250287025,0.0633765050641865
