candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
40,400,10,10,sqrt,10.0,gini,,True,0.8382721716121886,0.01604819237334777,0.6476341349221694,0.034578051344859896,0.9194186851066846,0.006864531816793956,0.6969538578819338,0.04990979990129573
31,500,50,3,sqrt,8.0,entropy,,True,0.7985404149034663,0.017791669085631838,0.6467706043856419,0.04247712066880851,0.8836734518643962,0.00541562306318465,0.694873608113201,0.05004903377791499
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7942057682832027,0.016638079040718515,0.6461943359999656,0.04396748994021756,0.8808275832661298,0.005079290746120244,0.6944173604687017,0.050161256521821705
11,200,5,3,log2,40.0,entropy,balanced,True,0.9366823913700846,0.010459025004063508,0.6446644801903314,0.029126593000059067,0.9848079651095745,0.0038137231641007605,0.6911126957206974,0.04512580719351725
17,400,50,5,sqrt,10.0,entropy,,False,0.8736494745880315,0.009747739557996323,0.6444114728815461,0.0397526645229091,0.9460279860708765,0.006864838150199102,0.6943292647411519,0.05163297245254273
34,400,50,1,,40.0,gini,,True,0.8938505123573802,0.010289225624860766,0.6442474460147019,0.02757579660317536,0.9646978752681444,0.003309622563386189,0.6911181347860349,0.03582471417328767
33,100,20,4,,8.0,gini,,True,0.9234671956441878,0.01295510708748741,0.6414077516100682,0.03380559099729602,0.9791182846109758,0.0040699404689679055,0.6858003820193922,0.04018611852179296
14,400,20,2,,30.0,gini,balanced,True,0.9553520617871115,0.008931676590674651,0.6413531579181075,0.034599934959149266,0.9922903425507619,0.0026534690517037293,0.6851457755164971,0.035742054319225953
21,200,10,10,log2,,gini,,False,0.8402945609438356,0.01477003545032361,0.6403082251551515,0.040575197784361826,0.9207642870408247,0.006028553765000572,0.6906518055983828,0.049179763361578005
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8475647248533039,0.014341231265317231,0.6391329916648132,0.03827926333186564,0.9245094224963428,0.0052314372049679205,0.690093029430911,0.05389385963946147
32,300,100,10,sqrt,8.0,entropy,,False,0.7658652335331881,0.017842580731119394,0.6391257470019467,0.04618050308607088,0.8438165544666024,0.0042702849436605135,0.6952728012471305,0.051291005524001516
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8033408857701718,0.014470684598536461,0.6382929311493515,0.042155123234453286,0.8898062001179131,0.003852712268014921,0.6912486038304724,0.05198343578098207
26,100,5,4,sqrt,30.0,gini,,False,0.9934506129311681,0.0042372537550002,0.6382780878719221,0.03034487689223782,0.9997268839319332,0.00016804525696181955,0.6803808801863843,0.03544549824499193
15,200,10,2,log2,40.0,gini,balanced,True,0.9292747313150475,0.010324528632938427,0.6376271682801418,0.03883670660907995,0.981651506343007,0.004761564848138537,0.6893648627813752,0.04355694529920045
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.637400287818745,0.02392730859456466,1.0,0.0,0.6753510638297873,0.025751515566420753
3,400,20,1,log2,,gini,balanced,False,0.9713416965611422,0.00876529601442073,0.6370273776673828,0.03682310394120788,0.9962297299702358,0.0017242368894147522,0.6889725819714255,0.0393031069042706
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9845472158819661,0.005589106771149205,0.636932177769334,0.037364333613327354,0.9988532208004766,0.0007597719828448783,0.6856632404837771,0.04358597184800828
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8898981679437267,0.01609444399016091,0.6367219831988353,0.033570799839478666,0.9616315522181023,0.0056378340228637035,0.6963327423167849,0.04123263407852847
8,150,10,3,log2,,gini,,False,0.9688742790338738,0.008528036149749323,0.6363453671322916,0.031741996377785846,0.9962033004159774,0.0017739035060212306,0.6855434354335834,0.04295306173534638
30,150,5,5,log2,8.0,entropy,,False,0.9083198682967786,0.012439490405715122,0.6352221688764597,0.033463499898200195,0.9694820232122504,0.00475662246870714,0.6891505293452564,0.04815748811119951
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7585564117908136,0.013989450482942728,0.6351280111021609,0.041509143255132906,0.8366030492270379,0.003872131661936926,0.6908226436427176,0.04855710470421377
36,200,20,2,log2,10.0,entropy,,True,0.8651294592396548,0.013837458969208946,0.6348582887250496,0.03722434744130741,0.9404474335570983,0.006456162647387718,0.6894344399904068,0.044322290301620555
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7273924282743978,0.014865062121296091,0.6345947487645467,0.04549933430434576,0.8023314692978322,0.007142416960521217,0.6905637698290334,0.05073517169718175
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7264289010240995,0.01658106979101292,0.634241189438014,0.042047500316515336,0.7991607834162635,0.009315761099639122,0.6890771576386748,0.04961654502709704
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.634173388872425,0.03578189523400387,1.0,0.0,0.6717046972967418,0.023171727564561262
37,700,50,1,log2,10.0,entropy,balanced,True,0.7907147484815039,0.015466085084101279,0.6333373498035493,0.04208702020324327,0.8745508707223828,0.005230629344517163,0.6907307191557885,0.04630656344264054
1,200,2,10,log2,10.0,gini,,True,0.7744978821434347,0.01767759888330571,0.6332249469318676,0.039728714961366283,0.8588182820769883,0.006585162410584384,0.6878434577037723,0.0502183984543853
