candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9907577091026525,0.005835646031581653,0.836356988788152,0.07131392737791575,0.9977717897076187,0.0016992084889550718,0.905968339307049,0.04009865115938953
33,100,20,4,,8.0,gini,,True,0.8919980084108355,0.013110106689878422,0.8335993782635072,0.05974311885010396,0.9862747737111374,0.003824954963815347,0.869163679808841,0.050980072784930414
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9918534669439453,0.0047619043412432185,0.832972133150132,0.061267652174438116,0.9984926731022987,0.0014392053017601386,0.9050029868578255,0.041152323587996524
26,100,5,4,sqrt,30.0,gini,,False,0.9745782006399968,0.010560061265907372,0.8316946654290847,0.08877322615194047,0.9980390304882285,0.0010672178858594967,0.8965573476702509,0.04131554201313289
34,400,50,1,,40.0,gini,,True,0.9645245842195973,0.01068319129149082,0.8310986178448112,0.06942488823607884,0.9934266453688914,0.003253749360918982,0.8830967741935484,0.03737730699250952
15,200,10,2,log2,40.0,gini,balanced,True,0.9777617615618008,0.00931567190051376,0.8303312479973444,0.07631230378515061,0.9965997638724913,0.0021195497680873833,0.9031833930704899,0.0411579470422335
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9929626686118328,0.007983309321392466,0.8233111224023757,0.05193660224829719,0.9998644350302104,0.00020624556941822058,0.9026881720430108,0.04176804767796131
37,700,50,1,log2,10.0,entropy,balanced,True,0.9209040939932471,0.013849350939308227,0.8212431026403886,0.0638586365152894,0.982662833067111,0.004678377164019842,0.8974372759856629,0.048617061613786566
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9501800970568302,0.012133581295285412,0.8197465589840423,0.07956666274158443,0.9954196634025512,0.0027921921533164058,0.9083548387096774,0.04396274306142827
11,200,5,3,log2,40.0,entropy,balanced,True,0.9815522204122594,0.008725974705202115,0.8184098823960436,0.07795561483867113,0.9966592124453088,0.00195851512487488,0.9078596176821982,0.04188783716710371
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8137480807938549,0.07315783989891375,1.0,0.0,0.9043799283154123,0.0361409314355356
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8761192365662882,0.022663125779010154,0.8126664232688744,0.09363276387197093,0.9607410375720536,0.007633802546776538,0.8930286738351255,0.05118972778646464
35,150,50,2,,,entropy,,False,0.886212265906689,0.022130971364678533,0.8109998004401214,0.060168169372604406,0.9710387989906707,0.01871596409267865,0.8400017921146954,0.02980630219780344
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8078831558226719,0.06341003154427306,1.0,0.0,0.9118509557945041,0.03734147434313332
19,700,50,1,log2,30.0,gini,balanced,True,0.9085729369870674,0.015832482739196147,0.8077956900191083,0.06423745297184892,0.9788731671180868,0.005326556757802884,0.8940728793309438,0.053021133866975406
18,150,100,5,log2,40.0,entropy,balanced,False,0.9055425453635566,0.01905522455475519,0.802014521271209,0.03914548665052662,0.9800309373336111,0.005864060565707277,0.8983930704898448,0.04785954036465713
2,700,5,10,log2,4.0,gini,balanced,False,0.925098222624721,0.012800708567207058,0.8013554222518744,0.060003177636072706,0.9869451813783365,0.0052955662473205154,0.8955364396654718,0.04717606684765138
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9351181099075936,0.013789529201140929,0.7999217294017654,0.03932544354568441,0.9906968215385328,0.004129906142691829,0.8995071684587814,0.0460160196446787
17,400,50,5,sqrt,10.0,entropy,,False,0.8637523741371534,0.015365705843095184,0.7970541514936675,0.07740254434830397,0.9891388939046692,0.004968092810779737,0.9004516129032258,0.045492842872098024
28,200,100,1,log2,4.0,entropy,balanced,True,0.8751896182489023,0.02973292209666629,0.795029374938866,0.08842843968612539,0.9608845429080723,0.0067781065744491765,0.8978721624850656,0.05350472117083654
