candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
35,150,50,2,,,entropy,,False,0.7715643484650898,0.04365047512759886,0.6666672264277548,0.06044850390658816,0.969805729960229,0.009987587169160346,0.7287603355127465,0.08170321897726245
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9291008206616117,0.017919481897762494,0.6431224726525493,0.04611114018205101,0.9965846864802671,0.0007834034333465579,0.8529684110323404,0.046304909502537
19,700,50,1,log2,30.0,gini,balanced,True,0.8945300465487597,0.022391424373624753,0.6279847378775887,0.04770006305505972,0.9929841892191156,0.0022721258566770733,0.7929134413854725,0.1049260824218411
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7907782006068963,0.03046727399873425,0.6267049086731639,0.04842796764613765,0.9771237044349016,0.004282802500575956,0.804935861786785,0.10530411545264298
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7827579078110487,0.03179056323677933,0.626535825396484,0.051956160999043606,0.974770906520073,0.0044505159191954346,0.8047508538123033,0.10577029509848225
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.893499907756532,0.02249347245375375,0.6264537589263279,0.053212967893608853,0.9941477919103896,0.0016543664436025846,0.8106316206985814,0.09861285752179977
18,150,100,5,log2,40.0,entropy,balanced,False,0.7561708701144296,0.01786843821500659,0.6250470799141513,0.0528721104094457,0.9902173430829494,0.0014932270412371246,0.7903755020583348,0.10136383253597397
5,700,20,1,,20.0,gini,balanced,False,0.9154592737240097,0.019448085402607257,0.6228315771559962,0.052822602148578784,0.9975308566682105,0.0012281635046345744,0.680827383785499,0.09530391883652636
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8517029457948725,0.017840700624504633,0.6219402354257391,0.04134490766060632,0.9860221434205113,0.00334828493963945,0.6742550665096821,0.08274290037789903
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7744874386197069,0.03226075447782631,0.6201069559105816,0.042012294115820824,0.9669029235574503,0.004585888586154115,0.7756682365122707,0.10377811222766777
37,700,50,1,log2,10.0,entropy,balanced,True,0.885341012452412,0.026156845196258424,0.6182708512178656,0.05304314326535645,0.9926072413742514,0.002144183923724715,0.7908692602520102,0.10378923678719953
24,150,5,10,,20.0,entropy,balanced,False,0.7998015482008403,0.047174568393931846,0.6171507693472037,0.0488241897573257,0.9893499862027147,0.0030175034209809055,0.7214027321993705,0.06377699738054793
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7485115677328724,0.049069763771213866,0.6125240899875471,0.05421658302868117,0.9933737950778273,0.001196251923538934,0.8002735539467423,0.09613323720316252
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7200985430346996,0.04381684707198005,0.6082576869024193,0.06444100006813035,0.9887065874178538,0.0012885975850974157,0.7952027772906802,0.09961377647396892
20,200,100,5,log2,4.0,entropy,balanced,True,0.6992539458609326,0.02582088583287322,0.603821488384867,0.05478978820608075,0.9375838714973235,0.006366722451559069,0.7722014997035664,0.10721849193827167
28,200,100,1,log2,4.0,entropy,balanced,True,0.7090530334493012,0.02707335905121145,0.6037516699448826,0.05523233901476866,0.9432076677976948,0.005730505661134986,0.7739298913633441,0.10723345123711238
14,400,20,2,,30.0,gini,balanced,True,0.988222409569341,0.004919069266231988,0.6025188886271482,0.03332989192854113,0.9995307189049357,0.00039122132990876657,0.8550991257296024,0.03322484341093882
3,400,20,1,log2,,gini,balanced,False,0.9546744649911868,0.0083168480720426,0.6006566632195197,0.043024654340981724,0.9998941982240274,0.0001265753764990887,0.8129401037100129,0.0696641636887612
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6913250627815667,0.03237447623572459,0.5974679134099689,0.06604924040062604,0.981173596955795,0.002765221711576249,0.7966386850037993,0.10339642641763142
34,400,50,1,,40.0,gini,,True,0.7536364068295152,0.01772141939186974,0.5965756680936952,0.06503953962577717,0.9833980780206799,0.0026681648000642585,0.8109820219277369,0.06361274086957004
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9605439352423519,0.007788871805719465,0.5927373155837599,0.04719250570315981,0.9999162054181764,9.542390440921978e-05,0.79347775077866,0.07285313944988661
2,700,5,10,log2,4.0,gini,balanced,False,0.6951738278629103,0.033067748170093086,0.5876313394091388,0.05689725965853829,0.9722747694106847,0.0014107913942528266,0.780014345716743,0.10590491633757133
11,200,5,3,log2,40.0,entropy,balanced,True,0.9784697251011011,0.0070123905490227295,0.5473728524269463,0.04666935521049954,0.999684634993688,0.0001956292794184599,0.7934440157986589,0.08384101366996072
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9964813636378027,0.00287330830437581,0.5431634680718704,0.022910910480902606,0.9999911732303322,7.208045757117389e-06,0.8304343169919087,0.03348436026302557
15,200,10,2,log2,40.0,gini,balanced,True,0.9798253190763571,0.007267500769121127,0.5329484284407688,0.047215073249111554,0.9996543513843741,0.0002474745970002735,0.8031382883672771,0.08352262450810383
4,100,2,1,log2,40.0,entropy,balanced,False,0.9964813636378027,0.00287330830437581,0.5224092957866572,0.038603503772710525,0.9999911732303324,7.208045757090198e-06,0.7931566422004558,0.05942038590833887
26,100,5,4,sqrt,30.0,gini,,False,0.872003004571071,0.016630376306724568,0.5173144948017122,0.03911470842341141,0.9997757697313406,0.000129261124868173,0.8179527251016643,0.06886177409172377
33,100,20,4,,8.0,gini,,True,0.6223802106609889,0.04572800499628745,0.5075726711521846,0.03589772560222403,0.9891479566394982,0.0029475771102324554,0.7937393931043697,0.0756017474017603
39,400,100,1,sqrt,10.0,entropy,,True,0.48569970612317803,0.00012608174655259215,0.48569989562369925,0.000503772525297732,0.9844386507023342,0.005614943833865797,0.8223567474135125,0.10493316760133428
