candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.815921426282033,0.05513006773102646,1.0,0.0,0.8892954429083462,0.0501093890364398
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8147108256109064,0.05094490688510024,1.0,0.0,0.8892108294930875,0.04981218605329974
26,100,5,4,sqrt,30.0,gini,,False,0.9918315427607526,0.0036568160031898414,0.8132658250481383,0.052644647158074105,0.999877430597771,0.00014233943653086463,0.883289810547875,0.06074137705178221
3,400,20,1,log2,,gini,balanced,False,0.978968239584636,0.003863419586623962,0.805638244779,0.05938550937351228,0.9985071508971468,0.00039385052656903204,0.8812117255504353,0.062107353346826065
11,200,5,3,log2,40.0,entropy,balanced,True,0.9486233747565155,0.004182237545402836,0.8012539006645311,0.06085702074765963,0.9924518440369973,0.0009553324038384152,0.8761730670762929,0.06478179518856803
15,200,10,2,log2,40.0,gini,balanced,True,0.9430271815517748,0.004261077568988552,0.8008412058921359,0.054950157988368074,0.9908901249142071,0.001565937622363419,0.8751231438812083,0.06414482048933737
40,400,10,10,sqrt,10.0,gini,,True,0.8827649336066246,0.009142649651534928,0.8008086847488453,0.05774800735365444,0.9603420675229597,0.0037006522479372007,0.8686529697900665,0.07186431088497704
30,150,5,5,log2,8.0,entropy,,False,0.9428882196978192,0.00505184598828301,0.8005862782820283,0.05984185323828407,0.9895649570872961,0.00203794993751397,0.8753443420378904,0.06652695186100471
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.985777417608671,0.006622358813169536,0.8003217870576002,0.054094785792063095,0.9996178668496912,0.0002493420275669308,0.8807227342549924,0.060439531155851295
33,100,20,4,,8.0,gini,,True,0.9201153543544085,0.009244427266029004,0.7994061148539435,0.04633162889284582,0.9827120457561199,0.00291631603149427,0.864557859703021,0.06986736824548517
