candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
34,400,50,1,,40.0,gini,,True,0.9626118280738024,0.015509505617782868,0.8720181221859272,0.03546229591208144,0.9968732363315697,0.0009493537284605228,0.9731172839506174,0.005838475100160903
14,400,20,2,,30.0,gini,balanced,True,0.9833402889405474,0.008461145435685406,0.8537207803322344,0.04118168136172845,0.9996320546737213,0.00045327568045022687,0.9688425925925925,0.014418602239294193
33,100,20,4,,8.0,gini,,True,0.9103098122310894,0.0073497093553329595,0.8474507677718432,0.04649303084449432,0.9949605379188714,0.001090845687883665,0.9732253086419753,0.00682379767267764
35,150,50,2,,,entropy,,False,0.8967184437216629,0.016259017307869935,0.8374222798274806,0.05092793603635954,0.9829034391534391,0.0054591843684320684,0.9145679012345679,0.05094113128780684
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9612284118926944,0.03707377624931248,0.8259593473721419,0.057071998267020155,0.999281746031746,0.0007721696094574761,0.9282716049382717,0.032831752948579714
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9249941083335789,0.028478384136528444,0.812474662537319,0.05706812499728928,0.9957816358024693,0.0011571796513122695,0.9530401234567901,0.021262027357390953
23,300,2,1,sqrt,4.0,gini,balanced,False,0.978306396453633,0.017555606580936082,0.801495326650301,0.06270615875563944,0.9998780864197531,0.00013478944873527757,0.9598456790123455,0.022588178096170433
5,700,20,1,,20.0,gini,balanced,False,0.9574767817799794,0.03663848740006136,0.7998508448622402,0.11329448082786954,0.9975997574955909,0.002387616773285181,0.8967824074074074,0.05761091322837333
3,400,20,1,log2,,gini,balanced,False,0.9611462339178201,0.008494609209009124,0.7972169025554835,0.05885854761796569,0.9999921737213404,2.654306339204548e-05,0.9619907407407406,0.018237114098122904
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9251496341354556,0.008641866002427424,0.7820528701543351,0.05893595896421507,0.9949736552028219,0.0008644763912509652,0.9484413580246914,0.028082737429890366
2,700,5,10,log2,4.0,gini,balanced,False,0.8895413738668033,0.010217601248247584,0.779526264716747,0.05701364176664186,0.9872355599647267,0.0015887357342065772,0.9237422839506172,0.0314502481381067
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8953291468287449,0.014482844116297269,0.7725254702047059,0.053589785675747285,0.9874465388007055,0.002636393852563311,0.9359722222222223,0.022068907535547133
37,700,50,1,log2,10.0,entropy,balanced,True,0.9128452254072508,0.019793386423352433,0.7714369555730982,0.04699319750811846,0.9894856701940035,0.0027147846367598055,0.9331404320987653,0.0300028338472556
24,150,5,10,,20.0,entropy,balanced,False,0.8821656594564888,0.027617141090337853,0.7713011226230809,0.07983042912063962,0.9859375,0.00545528689354125,0.9037692901234569,0.016704968919649645
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9755761060614645,0.00832710024982531,0.769530399415325,0.09288012409409865,1.0,0.0,0.9577623456790123,0.024718197700352804
15,200,10,2,log2,40.0,gini,balanced,True,0.9690671270299247,0.008721753014947417,0.7678311470992054,0.10760125869051997,0.9989168871252204,0.0006817043519425445,0.9528858024691358,0.023347538889719844
26,100,5,4,sqrt,30.0,gini,,False,0.9888892781742412,0.007355439627885727,0.7655374266347686,0.14240874248315183,0.9998234126984126,0.00015133343663325686,0.9666358024691358,0.019384374683298955
18,150,100,5,log2,40.0,entropy,balanced,False,0.8766755843636157,0.022957607608007993,0.7637208278079555,0.07113814155156532,0.987656856261023,0.0032610147119019506,0.9214814814814816,0.03717696688937158
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8721948027962285,0.021565578512345727,0.7628683631738217,0.06748159605924542,0.9876064814814813,0.002625173915245334,0.9353703703703702,0.029306439291962444
19,700,50,1,log2,30.0,gini,balanced,True,0.9000475629901965,0.015409255812292511,0.7620257206067416,0.048997492573534446,0.9877783289241623,0.002736489697750166,0.9272376543209876,0.025475878224763313
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8656140752990923,0.029247847058079854,0.7606351548081968,0.056922890429768336,0.9792439373897708,0.00592772525847073,0.9251851851851853,0.028633441067717452
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9329272414080044,0.014520668101960439,0.7569963545804932,0.11510512195947681,0.9954104938271605,0.0017627977623820127,0.9321296296296298,0.036764836937284905
28,200,100,1,log2,4.0,entropy,balanced,True,0.8476278021767913,0.020065701511175576,0.7561524183661468,0.056540858773075464,0.9699514991181658,0.005914373346059545,0.9042978395061729,0.041500272178359436
20,200,100,5,log2,4.0,entropy,balanced,True,0.8341320774003006,0.020092496079970254,0.7501427076649165,0.06568211281230953,0.9651969797178129,0.006367859735350766,0.8981635802469136,0.0416028861410962
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8588370179873699,0.02965781482600535,0.7478140570089415,0.055571298948735484,0.975942791005291,0.006659711071936871,0.9181867283950618,0.029523309034861438
11,200,5,3,log2,40.0,entropy,balanced,True,0.9723168509155687,0.010902775109100853,0.7437392958552448,0.12434412134038829,0.9991552028218696,0.0005610838458961966,0.9513503086419753,0.02896690648047563
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.7063968522604652,0.11048625804603146,1.0,0.0,0.9758719135802469,0.013099447750174372
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.6759778026856524,0.13479132185699022,1.0,0.0,0.9671412037037037,0.023648270832209464
8,150,10,3,log2,,gini,,False,0.9049706673534402,0.020777558239104,0.6452193306503241,0.13882560052277343,0.9991430776014109,0.0005226004079092974,0.9642515432098765,0.014668179434444109
17,400,50,5,sqrt,10.0,entropy,,False,0.8173853388096296,0.024029548741506805,0.6363655627700665,0.1452843591043796,0.9936274250440917,0.0018721392309403201,0.9593595679012347,0.016409056637332185
30,150,5,5,log2,8.0,entropy,,False,0.8404750525193688,0.015990406390588928,0.6119463516131548,0.13949722759208305,0.9975062830687831,0.0010463751562636906,0.9539274691358024,0.022030211490941705
31,500,50,3,sqrt,8.0,entropy,,True,0.754528815224558,0.040572069301869455,0.6111448398436992,0.14157479410834337,0.9894771825396824,0.002094022083011399,0.9606327160493828,0.014760554407962537
36,200,20,2,log2,10.0,entropy,,True,0.7902957370081506,0.024636341417012597,0.6062586862264197,0.1346696557233349,0.9937541887125221,0.0014909666186598944,0.9572916666666665,0.016842034346893173
40,400,10,10,sqrt,10.0,gini,,True,0.7430749379770034,0.03223583516316651,0.6058525604678782,0.13497806857109304,0.983195987654321,0.00238824144829207,0.9423456790123457,0.017108703573303036
38,200,20,3,log2,8.0,gini,,True,0.759413394531419,0.035592291263221006,0.6012586760209158,0.13167428895147607,0.9897321428571427,0.001900951419646969,0.951435185185185,0.017636471972928214
39,400,100,1,sqrt,10.0,entropy,,True,0.7131076090289145,0.07968427956367805,0.5864128712685079,0.11001627483108332,0.9894817019400353,0.0024878279328786734,0.9594521604938272,0.01619460723506262
21,200,10,10,log2,,gini,,False,0.6712816588684885,0.05530410423885171,0.5339479331895628,0.05354542805631146,0.9885505952380953,0.0017944250156775698,0.9460030864197532,0.021767324046116452
32,300,100,10,sqrt,8.0,entropy,,False,0.6507681278290397,0.10947462271174876,0.5235233577445046,0.07015564870919515,0.9851269841269841,0.002309310890745477,0.9465354938271606,0.019879475451799102
9,100,100,4,log2,40.0,entropy,,False,0.6133144803249813,0.09116083738734919,0.5140543706186171,0.04798204269509291,0.9869925044091711,0.003141005602329724,0.9410725308641975,0.02592926244330001
1,200,2,10,log2,10.0,gini,,True,0.47565224891365326,0.012795879564765708,0.47120743034055723,0.001238390092879249,0.9767376543209876,0.0035433762213191874,0.9213580246913581,0.02704212333774155
