candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8982591324216304,0.013113561005900188,1.0,0.0,0.952246129837703,0.005457399969204626
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8949068257624353,0.01851514398981172,1.0,2.2204460492503132e-17,0.9530151155991721,0.004695750714207233
26,100,5,4,sqrt,30.0,gini,,False,0.9805704001435579,0.002718385249769474,0.8932321544156282,0.01902853246173089,0.9993833543238527,0.00016559974940016296,0.9509514412364293,0.005812732596257509
8,150,10,3,log2,,gini,,False,0.9650538038734692,0.004592136142333293,0.8913516683724374,0.019784778851718168,0.9967521540542927,0.00037284628740227817,0.9523962167543735,0.007210040706632307
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9751365598666801,0.0031203821335653967,0.8911999811874942,0.018033323379591903,0.9984354225646949,0.0003714022373810901,0.9526007948924604,0.0064987219729923775
30,150,5,5,log2,8.0,entropy,,False,0.9429091837566504,0.0037719686785953306,0.889884377355408,0.016632563652562698,0.9897986273532265,0.0006122383535267109,0.9503268951784952,0.008203742105981373
3,400,20,1,log2,,gini,balanced,False,0.9700518960623431,0.003684761142012247,0.8879756518070877,0.019016560184070545,0.9977352448273418,0.0003031722657607944,0.9525952211634191,0.00682332471767576
11,200,5,3,log2,40.0,entropy,balanced,True,0.9536282303183267,0.004547361605935906,0.8878505850613777,0.018753586362726386,0.9931478685693036,0.000574541464132251,0.9507135060604626,0.007752025289502815
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9273793319621275,0.0030096642915978388,0.8851051629729908,0.02013356101159716,0.9860747700000391,0.0003333451480878343,0.9470831207825661,0.0038515385234787103
40,400,10,10,sqrt,10.0,gini,,True,0.9220516196008548,0.002855459739730563,0.8849370582110122,0.012244208243445989,0.9789172877747415,0.0005117828730559689,0.9471273487254855,0.006856982502128981
36,200,20,2,log2,10.0,entropy,,True,0.9308977997467722,0.002680808542832908,0.8845039822287437,0.015805842794543057,0.9851806574018056,0.0006487272746782296,0.9488005981447242,0.008227869335571257
17,400,50,5,sqrt,10.0,entropy,,False,0.9311950665985878,0.003267532233644096,0.8842737467216492,0.01286147117405192,0.9845692288032183,0.0003129944311046794,0.9476707572812465,0.007445918883939129
31,500,50,3,sqrt,8.0,entropy,,True,0.9140309453850759,0.0027869946897299642,0.8837826497235762,0.013672266324801991,0.9740882071561708,0.000886080155611631,0.9447223573381375,0.008551360437150048
21,200,10,10,log2,,gini,,False,0.9232405957078782,0.002979541068553695,0.8830588064510166,0.01723449237031583,0.9805066624105346,0.0008654337662170149,0.947814001485485,0.008430564119767451
15,200,10,2,log2,40.0,gini,balanced,True,0.9487253851484521,0.003220821790591702,0.8827267449610758,0.020596622767972993,0.9920853075188907,0.0005050608531712298,0.950286245041799,0.007431552030431093
33,100,20,4,,8.0,gini,,True,0.9399315502923489,0.0038532181229770715,0.8824900662529349,0.02173770131610865,0.9905734804034725,0.0005422003372597751,0.9438830757439277,0.004190283712983519
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9158345234379921,0.0035058428006636607,0.8818366182222611,0.012954076488750493,0.9737782572005383,0.0008795626515566667,0.9446025774743596,0.009147941392250388
37,700,50,1,log2,10.0,entropy,balanced,True,0.91385757164397,0.0023821689335174305,0.8810819429463794,0.021313348842464934,0.9738070695228953,0.0012497668561637393,0.9444529188198296,0.009190142461002266
19,700,50,1,log2,30.0,gini,balanced,True,0.9125354031892967,0.0023009997835240796,0.8808806996308379,0.0226190668180579,0.9744950183600035,0.0011455231990073486,0.9440082958011347,0.009599886990660784
14,400,20,2,,30.0,gini,balanced,True,0.9550563856431351,0.0051288821815844475,0.8806820177680124,0.02328565607239154,0.994435624189368,0.0005345630065746825,0.9422671375969912,0.003555425844376496
