candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.914086432181346,0.01971945247581369,0.581826816459513,0.03385575992970436,0.9947314556413233,0.0015095920618989369,0.6249848204487379,0.08267153304240385
37,700,50,1,log2,10.0,entropy,balanced,True,0.8843565931842408,0.01869426998859883,0.5795145153301626,0.04124999615235844,0.9911106696420156,0.0018043145289559361,0.6377914834306587,0.09231567110850435
19,700,50,1,log2,30.0,gini,balanced,True,0.9016444751955507,0.01989256169399147,0.5772212493712797,0.03361737410393186,0.9936155719981886,0.0016367591643040309,0.6360580667900255,0.08015418457200318
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7225505974473272,0.021317197621842685,0.5747125102314474,0.05086246148733159,0.9426730659386203,0.005580349935198996,0.6311791587564783,0.102984707956907
3,400,20,1,log2,,gini,balanced,False,0.9840661185333067,0.003412890295021787,0.5691504302589007,0.02570717699791913,0.9995570469042544,0.0003204004202452163,0.6097003580611828,0.07600461229889371
28,200,100,1,log2,4.0,entropy,balanced,True,0.6648336825048482,0.014998622920334962,0.5648624888837603,0.05173032959429102,0.9098071732597615,0.007712647056728787,0.6366882464614423,0.10222939723811006
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7878437047043988,0.02335736754226801,0.563932415206545,0.0405634974521621,0.9704442152958385,0.005478874571629379,0.6250140901481107,0.0905848541224703
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7805372248145598,0.023997783329378852,0.5617683547020298,0.037512975003201755,0.9669398552810391,0.006145934452500382,0.6213416400323617,0.0895499725256506
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9760406185803362,0.01061622983836281,0.5615132695887275,0.022915406609892275,0.9988763401379721,0.000661542197049898,0.5941878419404193,0.07699021608808775
20,200,100,5,log2,4.0,entropy,balanced,True,0.6633083769780587,0.016805552083894584,0.5584548723710827,0.04872453216276308,0.9049296327178291,0.00840523066623897,0.6343395253085975,0.1005301247796856
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9862141919892368,0.004104249320837866,0.5577036545860586,0.03708911998392432,0.999685087684282,0.00025198565790963485,0.6024503480482862,0.08303470351745704
23,300,2,1,sqrt,4.0,gini,balanced,False,0.723989607683659,0.013808269857512412,0.5525286506228108,0.04692668724298284,0.991660797114999,0.0033692495819427023,0.6044986903131233,0.09140498964994503
18,150,100,5,log2,40.0,entropy,balanced,False,0.7594604842656193,0.02042536357652258,0.5520343502872683,0.039568911396186256,0.9928615921612968,0.002285679356916463,0.6299337066141191,0.09185622297554254
11,200,5,3,log2,40.0,entropy,balanced,True,0.9872775474124444,0.0061187049247112225,0.5392505617575939,0.04101706606433943,0.99937320339429,0.00030624610823714866,0.6173598715145108,0.08324310273387305
15,200,10,2,log2,40.0,gini,balanced,True,0.9893417884524389,0.005671497909405557,0.5386518043407369,0.044403914438229795,0.9995078696058058,0.0002980265269076063,0.6053847515600093,0.07284212617766239
14,400,20,2,,30.0,gini,balanced,True,0.9932311830196509,0.002256642923895946,0.5369170689599226,0.032205108179379334,0.9995711941537051,0.0002172516120681205,0.6142235999967959,0.07359147862019615
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.6888310911850306,0.011651806885767706,0.5352063412944653,0.041195723521501824,0.9838104984215115,0.004680744926322851,0.6096634545294338,0.09923272353497602
2,700,5,10,log2,4.0,gini,balanced,False,0.6712755085226872,0.012746036566556328,0.5289980013278535,0.04200699024380452,0.9697863547074878,0.0023616647937108348,0.6201651006496367,0.09163515390907327
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6578501832073804,0.017306433463756002,0.5200409432886421,0.0337835120965407,0.9694981301303236,0.0035130112872948367,0.6044843278142247,0.0979872124313358
5,700,20,1,,20.0,gini,balanced,False,0.835143087083378,0.018809940036302358,0.5049846451310351,0.03133464976688912,0.9910815411008529,0.0034571094451100446,0.5021712325475213,0.033318984884948534
35,150,50,2,,,entropy,,False,0.613069749742907,0.035141413414730774,0.5048871958118388,0.026151692227325208,0.9500648173682973,0.011251526464240312,0.5135289653073158,0.025227053578205687
4,100,2,1,log2,40.0,entropy,balanced,False,0.9966041525592837,0.002773005837642488,0.5022161580081539,0.03194804177919217,0.9999916874381753,6.788043964893493e-06,0.5832821474058587,0.07742347393363726
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9932311830196509,0.002256642923895946,0.4986282260966392,0.028934685232874135,0.9999861061466643,1.5285457590164436e-05,0.5879128677736926,0.08255872079141219
24,150,5,10,,20.0,entropy,balanced,False,0.7360733242376776,0.015128899238262676,0.4981235740616804,0.04697560674019536,0.9787994324377659,0.0021511745727910213,0.5213001626094409,0.08012413407130037
33,100,20,4,,8.0,gini,,True,0.5189885898248496,0.03634553793474416,0.4889255282192528,0.016729634901356163,0.9955254352364501,0.002378172529886341,0.6367039787245973,0.0663840938080357
9,100,100,4,log2,40.0,entropy,,False,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.986796677630418,0.005162186369878234,0.6227336008779308,0.08211635442151478
1,200,2,10,log2,10.0,gini,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9833508854141975,0.003366737715826032,0.6139034596560369,0.08046523989398326
30,150,5,5,log2,8.0,entropy,,False,0.487234301697315,0.00830909992626531,0.4855435664569918,0.0006054112264196253,0.9974790457976789,0.0008929489009609941,0.6127524010926073,0.08052233294306192
32,300,100,10,sqrt,8.0,entropy,,False,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9836327744490485,0.0036086077165585996,0.6126523362090373,0.08372388277514234
21,200,10,10,log2,,gini,,False,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.995587783728212,0.000846024273079322,0.6126065011735115,0.08059290617078875
39,400,100,1,sqrt,10.0,entropy,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9866853252773952,0.006378027141506807,0.6122034620591321,0.077243912780437
38,200,20,3,log2,8.0,gini,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9933174445565068,0.0018563816558022275,0.607040596288019,0.059351252100907026
31,500,50,3,sqrt,8.0,entropy,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9923627289117385,0.0020635037687723097,0.6065509255921627,0.0743406150748176
40,400,10,10,sqrt,10.0,gini,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9932121513759528,0.0013723381598916163,0.6026592811541266,0.06512746903141707
36,200,20,2,log2,10.0,entropy,,True,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9972829022691498,0.0009193716278981112,0.6010211472376422,0.06567905725234217
17,400,50,5,sqrt,10.0,entropy,,False,0.48554338230416244,0.00015129601409059562,0.4855435664569918,0.0006054112264196253,0.9973383016266953,0.0009369151731869433,0.6001945465759898,0.07636413241766124
8,150,10,3,log2,,gini,,False,0.5221899397361692,0.035793269617752824,0.4855435664569918,0.0006054112264196253,0.999630367277299,0.00031743694629217666,0.5957734441961245,0.05891288933006127
26,100,5,4,sqrt,30.0,gini,,False,0.7496704953975403,0.02306807549170287,0.48528568603926914,0.0009514291349047826,0.999697999772303,0.00015931451044126678,0.5864568283949727,0.0565041184001957
34,400,50,1,,40.0,gini,,True,0.5790309702246667,0.018608207822783267,0.4849263730006521,0.0009405389227774759,0.9892749602557541,0.0015322447630540916,0.6227914593997068,0.025463168533127696
12,700,2,3,,8.0,gini,balanced_subsample,False,0.7087403646304725,0.07014817490713841,0.4846290844154968,0.03647886784428889,0.9509351065702398,0.023724238551670267,0.5298723595991638,0.045500959834501996
