candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8728420593918637,0.01287929072910291,0.7495094901782415,0.06223276935528667,0.967382595348957,0.006486945310023325,0.8136341463414635,0.0698348055019014
3,400,20,1,log2,,gini,balanced,False,0.9640846306059335,0.007371550513550796,0.7484534849033868,0.06305850661815057,0.997329648785647,0.0006738229960310411,0.8320365853658537,0.06779400343670774
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8483341050147604,0.01610687131394615,0.7471580670505756,0.05739197286950551,0.9557562136435748,0.007156380243248141,0.8141056910569107,0.06350594062510287
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9685662565334681,0.009262666413069205,0.7441184311340864,0.06066723908415807,0.9984380441371837,0.0007206994517744719,0.8311666666666666,0.06313460765161545
15,200,10,2,log2,40.0,gini,balanced,True,0.945078591103081,0.011496945304440252,0.7438216993157628,0.06338107526197444,0.9909636145541784,0.002438211219502539,0.8259878048780489,0.06351791230371608
11,200,5,3,log2,40.0,entropy,balanced,True,0.9446645918729188,0.012620944524983368,0.7426932856746481,0.06874779323384739,0.9897293340728224,0.0029652223379768865,0.8271910569105692,0.06552034159657685
37,700,50,1,log2,10.0,entropy,balanced,True,0.8397206074345541,0.014503434196436535,0.7424915480393824,0.04623920896755905,0.9366459867665837,0.007227474536212432,0.7948780487804877,0.044677025251977705
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9966565525471768,0.0027300167187559754,0.7410258923510731,0.05621944731736251,1.0,0.0,0.8396138211382115,0.07130501929727388
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8983739251435995,0.015082918840379237,0.7393086519358165,0.04904572281902852,0.9826988559414943,0.0037121328858918602,0.8159065040650408,0.06211972101976155
19,700,50,1,log2,30.0,gini,balanced,True,0.8253290744363995,0.013853099224475985,0.7339627957356427,0.05652848168088879,0.9298874643690911,0.007718843118019323,0.7930081300813007,0.041438060158082705
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8043086348373787,0.012954995070741661,0.7321794492826078,0.06813756801371604,0.9260279114160787,0.009037324245038777,0.7957398373983738,0.05199987002785304
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8813394624960478,0.01653624251236609,0.7316484105349339,0.04377012033124942,0.956893823115915,0.008071137028904189,0.7952682926829268,0.05479792464539627
14,400,20,2,,30.0,gini,balanced,True,0.9609782339017737,0.008563076030760503,0.7299053692744439,0.06877399329060467,0.993682784950536,0.001691719988285252,0.795589430894309,0.08101698933745995
2,700,5,10,log2,4.0,gini,balanced,False,0.8165423860321366,0.010438152102305316,0.7244522455350128,0.06156445894020166,0.9349449252557043,0.009374304358886929,0.801239837398374,0.05065706151062264
34,400,50,1,,40.0,gini,,True,0.8443599181643531,0.0152350240722755,0.7138760392375424,0.061388735260747285,0.9501645793295584,0.007148376583383598,0.7915081300813008,0.07395407852658192
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7471179925733112,0.019086537462395237,0.7091062480247347,0.06608465324159518,0.8629257329326336,0.009988071712885445,0.7704837398373983,0.047399411847678555
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.7066923995728491,0.048410371178136985,1.0,2.2204460492503132e-17,0.8333678861788618,0.05821249402807788
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7732842848661732,0.01915998760532782,0.7046107839435208,0.06535554745906094,0.9029553339954342,0.010764982616952166,0.7860569105691055,0.05857835005118146
28,200,100,1,log2,4.0,entropy,balanced,True,0.7576717616305209,0.021117069516677123,0.7037939063293355,0.05442877358494724,0.8732309011879118,0.010345936386469749,0.7701219512195122,0.050523942004870794
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.742906518691234,0.021316123573982836,0.7030433950314962,0.06058785688308294,0.8607453792676479,0.012489218815426199,0.7634756097560975,0.05093279376913224
33,100,20,4,,8.0,gini,,True,0.8839991504445773,0.011525488845168273,0.6983691395836386,0.06448150992581568,0.9741037133533682,0.005207013103979818,0.8005040650406505,0.077476408832453
18,150,100,5,log2,40.0,entropy,balanced,False,0.7752378600407348,0.018303239907463038,0.692915803760244,0.06495150010141974,0.9067688408507564,0.011431820823276987,0.7809715447154472,0.052505238652230585
20,200,100,5,log2,4.0,entropy,balanced,True,0.7433720731424935,0.022575658094772987,0.6901075649822656,0.05991956517983333,0.8616725567837382,0.011074810252778452,0.7676666666666666,0.04920356570864932
26,100,5,4,sqrt,30.0,gini,,False,0.9739403917820444,0.008034314757724606,0.6866905269813625,0.05780790297774229,0.9986918135971419,0.0004957673106951002,0.8309227642276423,0.07042647743315959
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9424137452618002,0.010878091040514242,0.6783672137790107,0.08936068055301569,0.995169641820691,0.0019721537434388594,0.7073109756097561,0.11380841639124607
24,150,5,10,,20.0,entropy,balanced,False,0.8293408184427183,0.018284725997118993,0.6444532994524238,0.08030881951945668,0.9412188350466266,0.009137713519958944,0.7168333333333335,0.09057863208171359
5,700,20,1,,20.0,gini,balanced,False,0.9026077208285099,0.03911865364612,0.6333408842882071,0.10887211174404555,0.9809187292824805,0.010318331752470388,0.6552540650406504,0.11652847613018606
35,150,50,2,,,entropy,,False,0.7676224884268152,0.06673021055379988,0.6112707075196752,0.08553459986618339,0.8986826559698702,0.038216741437552236,0.7102439024390244,0.04785230807939516
8,150,10,3,log2,,gini,,False,0.9087314370838072,0.018150649405026476,0.5921816968860837,0.0786312366894317,0.9944629889979493,0.001661326409705015,0.8238048780487806,0.06490152981971525
17,400,50,5,sqrt,10.0,entropy,,False,0.8360361658085098,0.012343735640105009,0.5809492184341946,0.09324647632679015,0.9571377255549391,0.00678381704075951,0.819349593495935,0.06585110529026048
40,400,10,10,sqrt,10.0,gini,,True,0.7349368216029675,0.031660184024564636,0.5333629883767522,0.07430524096730992,0.9422979195418607,0.00865983911636956,0.8080772357723578,0.056462947254968004
30,150,5,5,log2,8.0,entropy,,False,0.7816281017713271,0.04982982694027601,0.5069914267767259,0.05057297083900695,0.980132334163109,0.005377354378066961,0.8170569105691057,0.06006453967112287
36,200,20,2,log2,10.0,entropy,,True,0.7446352223672337,0.04687835142545387,0.498969884744845,0.05829707740424855,0.9679494653751403,0.005297309108242858,0.8115934959349592,0.05533788018655524
31,500,50,3,sqrt,8.0,entropy,,True,0.6228103864938199,0.0490189584384374,0.48927806219783837,0.05247212382548374,0.9237791335078872,0.00890430335886512,0.7943455284552844,0.05710905341324518
