candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9197063858964238,0.002699726936342974,0.8072645383939057,0.013019730160465797,0.9727787235873558,0.0011612878294863657,0.8822048524916996,0.014400032263408908
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9038556859385674,0.0023172222602590906,0.8036325936722857,0.015450111566641452,0.9729082765516267,0.0010276482138853074,0.8767569216030037,0.01303442447376374
4,100,2,1,log2,40.0,entropy,balanced,False,0.9132123079513679,0.0028047483269279597,0.7987063465487507,0.015823494008618107,0.9751777552355267,0.0009973173394937902,0.8658045240274717,0.01378892285402972
34,400,50,1,,40.0,gini,,True,0.8401431783877167,0.0015304851726271114,0.793498723947103,0.01249914232609542,0.9178805355790549,0.002357647712258289,0.8619662787608217,0.014462055478804187
14,400,20,2,,30.0,gini,balanced,True,0.832034437045736,0.0034194444916726997,0.7907603728245016,0.011923942724744422,0.9173013999816242,0.001650490420222268,0.8611336314787807,0.012062830950406656
19,700,50,1,log2,30.0,gini,balanced,True,0.8244934739878342,0.0024416740740238986,0.786990961314657,0.012468028652860742,0.9001726507293455,0.0022899957750074414,0.8538396601969364,0.010135904701594032
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.815062967845494,0.002551461246594984,0.783584847211723,0.012583900685140582,0.8929025252881786,0.0030054973403131385,0.8533899951903685,0.011724005327344597
35,150,50,2,,,entropy,,False,0.8353128043981008,0.004242531245629939,0.7811305856536217,0.011831741792110845,0.9249475724098024,0.002813169901517025,0.8505042937598908,0.014666724221745206
8,150,10,3,log2,,gini,,False,0.7928262039281962,0.005489362249189106,0.7691592733975645,0.012082181606758318,0.8663057842558581,0.00253285211768641,0.8332149478697986,0.01046464092394684
26,100,5,4,sqrt,30.0,gini,,False,0.7902294719857531,0.001515368855720402,0.7674470831996256,0.016152700097140635,0.8666448394308996,0.0029960392600270574,0.8369194212151303,0.012245888705004622
5,700,20,1,,20.0,gini,balanced,False,0.8232037654388143,0.0036008631867834625,0.7674011265546532,0.006921998157752502,0.8741967678024869,0.008324591728617943,0.8065372187270509,0.010103078949252617
