candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,0.9984843285289408,0.003031342942118532,0.760596650055539,0.06390469390766093,1.0,0.0,0.8429032258064517,0.0532660689180708
3,400,20,1,log2,,gini,balanced,False,0.9576095439556374,0.006037008680322671,0.7423721008984325,0.05463541419321826,0.9942399607804686,0.001229638796964566,0.8285624679979519,0.05911293475729917
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9916751762590273,0.0015304221285152124,0.7420858733545437,0.05866451223998601,0.9999203242147923,6.841028152042114e-05,0.8301817716333846,0.0523078694077395
37,700,50,1,log2,10.0,entropy,balanced,True,0.8702408444748952,0.004350348765856322,0.7346629414727888,0.059772315873450645,0.942989490472922,0.009606864347153563,0.7951606502816181,0.0643589034155954
19,700,50,1,log2,30.0,gini,balanced,True,0.8983700241335043,0.009383212682145167,0.731182142957539,0.055763856590925184,0.9666203013367325,0.007431090460055291,0.8074014336917564,0.06380954681853511
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8264578348124412,0.015111554961540574,0.7295158852721306,0.0666114239024234,0.9129873726182305,0.011137526020218327,0.7840649001536099,0.052192559942236406
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8287923675370458,0.020208516682944308,0.7258440780322666,0.06606246174289526,0.9186299467268032,0.012037703072286698,0.7867505120327701,0.05406787301444952
28,200,100,1,log2,4.0,entropy,balanced,True,0.8564943637505259,0.0074483776423799435,0.7219174566425169,0.06564956657382427,0.9269611007615126,0.01233159458910657,0.792347670250896,0.05917335036290108
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8122824821547237,0.020792979391170884,0.7192569908051079,0.04876202256301845,0.9030179520868058,0.017282589942607906,0.7850214413722478,0.05010439770985116
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8642455878878771,0.009139193108956556,0.7136227316417959,0.060105643437386995,0.9517154087001993,0.0071526257941840815,0.7889000896057348,0.055557270311649185
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8135474843301435,0.022296750403721713,0.7133939552273686,0.07650250220400187,0.8993739909141419,0.006872235006367301,0.7745042882744496,0.06448064271981163
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7845639469513758,0.014998745260661642,0.7099587960711823,0.06031043606052991,0.8662063561787102,0.01483403760946894,0.7548982334869432,0.052818470263622214
18,150,100,5,log2,40.0,entropy,balanced,False,0.7692659320511928,0.024976399310425248,0.7059819390334096,0.035418117982271215,0.8584743353923588,0.018465775605773557,0.761866679467486,0.045716600163144605
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8948665807426062,0.01579109712662393,0.7056662271412608,0.059148672173030714,0.9629624904402393,0.008877146362855637,0.787992191500256,0.06207290246305964
5,700,20,1,,20.0,gini,balanced,False,0.8570676976772509,0.018113671704558864,0.703993279496409,0.04216467774050668,0.9332026080988332,0.01853411148485278,0.7246009344598054,0.0350412999251256
15,200,10,2,log2,40.0,gini,balanced,True,0.8368447225870769,0.019373967438415424,0.7031815294184556,0.032900054261363595,0.9175932660064712,0.012551017180947008,0.7804736303123401,0.029848385440135277
14,400,20,2,,30.0,gini,balanced,True,0.892547553892409,0.015513380019960213,0.6873067375756946,0.059227294718759226,0.9563751897244828,0.005318563898030281,0.7768465181771633,0.053582524600849814
39,400,100,1,sqrt,10.0,entropy,,True,0.8148281507560518,0.012017054477935787,0.686774797448629,0.03214695899928351,0.9258966591495899,0.008904140195478267,0.7784549411162315,0.05638704423134171
34,400,50,1,,40.0,gini,,True,0.9059960024499745,0.0076869741931582525,0.6860117912978079,0.06495209907209079,0.9625875190378143,0.0019231187217233858,0.7695929339477726,0.05160011453732152
35,150,50,2,,,entropy,,False,0.8251434880372515,0.030007910860332842,0.6805866350640253,0.05573000852521615,0.8998040814458935,0.02558142395883658,0.7400406426011263,0.05760648547063548
2,700,5,10,log2,4.0,gini,balanced,False,0.7465386966435004,0.025281529760458644,0.6688472599589866,0.0743495174433567,0.8197947511193908,0.01523382989587368,0.731654505888377,0.06634846377553236
11,200,5,3,log2,40.0,entropy,balanced,True,0.7922362999888065,0.011064552103353914,0.6671959324931759,0.061181470031454216,0.8885847501389025,0.015087555239807558,0.7584549411162315,0.06344475432378618
