candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9829739931592776,0.005719112009150934,0.8094740233985043,0.0671583941816023,0.9999018959435626,6.101566359388583e-05,0.9297453703703704,0.04635547914712245
3,400,20,1,log2,,gini,balanced,False,0.9799232076564615,0.0037850422779277396,0.7962860706103101,0.07982240376090162,0.9988172398589065,0.000569146111392126,0.9265817901234568,0.05263505221439946
4,100,2,1,log2,40.0,entropy,balanced,False,0.995173067895227,0.003941878300812932,0.7954168466430579,0.050011673929520634,1.0,0.0,0.8788580246913581,0.045669626997123486
19,700,50,1,log2,30.0,gini,balanced,True,0.9421872316186292,0.011769065817130234,0.7934764293333956,0.09157545163482697,0.9924647266313933,0.0015013632167380933,0.9128472222222221,0.06074648241770107
5,700,20,1,,20.0,gini,balanced,False,0.9154186655159886,0.03142891076898202,0.7827340284835647,0.04726327062003126,0.9923280423280423,0.002460793000353361,0.7883101851851851,0.057924306141377835
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9013494274864395,0.013484859225957511,0.7728512458283696,0.08579307266468757,0.9782137345679012,0.00231817856297354,0.8863811728395061,0.07756241770878594
14,400,20,2,,30.0,gini,balanced,True,0.9175196322849072,0.012598464233147014,0.7723641241415422,0.08129559016979727,0.9877846671075838,0.0029194348844159587,0.8562692901234568,0.09134366186991333
35,150,50,2,,,entropy,,False,0.8882373136401978,0.015503517876899056,0.7669420863506483,0.015515895200669805,0.9807377094356262,0.006808654200489647,0.7811342592592594,0.07882234310279415
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8962368341482982,0.016144109907315747,0.7580412873061066,0.07834497132628246,0.9767471340388006,0.0028547084406955166,0.8966435185185185,0.07105978789475098
37,700,50,1,log2,10.0,entropy,balanced,True,0.900229589693917,0.012912809671914927,0.746181469839188,0.09983229194367602,0.9844758597883597,0.0026128545137191943,0.9145833333333334,0.062020719861350375
15,200,10,2,log2,40.0,gini,balanced,True,0.8738329586285252,0.015544467960139863,0.7454653272626471,0.10645746003710783,0.9701912477954145,0.004605850897314923,0.8831404320987655,0.07302094248801597
34,400,50,1,,40.0,gini,,True,0.9301825668391892,0.0032718145505609797,0.7411462531258494,0.067423361327542,0.9920739638447971,0.0013344805328960915,0.9049961419753088,0.07329683417262624
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.826624839840021,0.021738274438757997,0.732211513747465,0.09230482663162809,0.9456638558201058,0.007512481354480527,0.8637731481481481,0.09510828260211865
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8303937171757365,0.023930021968754166,0.7285962017610361,0.04202405710868103,0.9353028549382716,0.0306159636739645,0.7674961419753086,0.06823000382125678
28,200,100,1,log2,4.0,entropy,balanced,True,0.8719550434479796,0.023262374924878895,0.7218227724323418,0.09849127307414834,0.975841049382716,0.005801287987618718,0.9102623456790123,0.05982182971771927
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8642260387590397,0.016872582856993324,0.7217574903305776,0.05810353174879983,0.9673762676366844,0.007280018822303785,0.8811921296296296,0.06937304499964839
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9103846601308583,0.01239304799925985,0.7200192609439184,0.09009055111120033,0.9831448412698413,0.003185497181014196,0.8859567901234568,0.06994742402493773
11,200,5,3,log2,40.0,entropy,balanced,True,0.8388685100126135,0.012478480941959953,0.7137064257891488,0.11009616937822544,0.9499498456790123,0.004745589415596786,0.8591820987654322,0.09059115178924854
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.853288083078553,0.02177075571986421,0.7131445910378649,0.10211111711636625,0.9559388778659613,0.005611950488750569,0.8560570987654321,0.0937466975997129
18,150,100,5,log2,40.0,entropy,balanced,False,0.7952382344939739,0.01215639272367143,0.6988060368735163,0.08724788684999299,0.9349082341269842,0.008178215762947222,0.8565586419753085,0.10115219849854105
33,100,20,4,,8.0,gini,,True,0.7948769094970328,0.027113447119017708,0.6849639004934795,0.07530458652401453,0.9509366732804232,0.012215237510409592,0.8150655864197531,0.11440138758355725
20,200,100,5,log2,4.0,entropy,balanced,True,0.7721932136345249,0.022823596080201153,0.6799584565684013,0.07473052911460847,0.9095632164902998,0.013920480113225327,0.8248263888888889,0.1081041718739246
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8958693906419463,0.02704660657290114,0.6602510831940022,0.12233276621691447,0.9877369929453262,0.0039000763158175094,0.8945216049382717,0.07026588924422587
2,700,5,10,log2,4.0,gini,balanced,False,0.6609209936978576,0.02485459606787553,0.6139682864621632,0.08768345527912949,0.8738064925044092,0.01116541315992641,0.7991126543209877,0.06653807578570206
