candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9542381536380043,0.007050608816998581,0.6637835454068749,0.052850443515585654,0.9973618074286283,0.0002897039458943373,0.7416991709282504,0.02843447973057056
3,400,20,1,log2,,gini,balanced,False,0.8923014832475584,0.003292955175983465,0.6629581313589972,0.03014817128531809,0.9890210108292946,0.0013973534074892325,0.7455237486440415,0.03398319618025505
14,400,20,2,,30.0,gini,balanced,True,0.8291434911505124,0.005340343299749826,0.6566880261544521,0.03801865898575831,0.955379263561532,0.0019854589924775054,0.7555290949945761,0.044583183945620886
19,700,50,1,log2,30.0,gini,balanced,True,0.7736892187813034,0.011321632541658327,0.6493356272515634,0.02111217162663629,0.910845051906646,0.0022818745988833315,0.7296232372539903,0.033634450466052075
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7481202282923824,0.004509411014504766,0.6438125854353459,0.03382561455931639,0.8993152293197628,0.0014305533546252417,0.7489325507515885,0.03191921531453683
35,150,50,2,,,entropy,,False,0.7264758122161916,0.019872735544441637,0.6342392935276172,0.040430275704626685,0.8997918678821717,0.011048305587562564,0.7174390206105687,0.04867857769246365
15,200,10,2,log2,40.0,gini,balanced,True,0.7214047055699312,0.007654233549722022,0.6284538345056407,0.03961035448453899,0.871195642183139,0.006211654851096764,0.7188257787075778,0.038070389530472114
25,200,2,10,,10.0,gini,balanced_subsample,True,0.6966097446382751,0.00573624668559895,0.62645254146165,0.016501435218091554,0.8624138144557814,0.0024975633588109917,0.7345616379978305,0.03567759717775729
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7151914393239167,0.009001934888258399,0.6250753863012648,0.03843725215110888,0.8699573556164613,0.0012064817047812784,0.7357881992871531,0.03539926790218867
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6906094445096206,0.00644148615971837,0.6234205943638649,0.03690742959712014,0.850842407532783,0.0054072036651264185,0.7305733379823337,0.03181500985219699
4,100,2,1,log2,40.0,entropy,balanced,False,0.9684760627170818,0.006815018161254504,0.6211077373245757,0.03029632775498618,0.9979114683222999,0.00022856328795764982,0.7150139082597242,0.032041369622927154
37,700,50,1,log2,10.0,entropy,balanced,True,0.7219076258164919,0.005074265356017574,0.6151177526124717,0.02781720579389429,0.8620658250144102,0.004035839741317593,0.7193415078258174,0.029759387388338717
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7096502665961588,0.006995283477812422,0.6117462989918118,0.04010555720825013,0.8527027157773999,0.006967712396856072,0.7004568805206881,0.03368724297659379
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.6941019753208005,0.011117903261465752,0.6104648310550421,0.03179857140618669,0.8685882254552156,0.0031181721684830463,0.7161265302959865,0.03160296066860212
23,300,2,1,sqrt,4.0,gini,balanced,False,0.6866547725922185,0.008706545422293271,0.6071544214676385,0.03701503926783878,0.8487914002035193,0.004974432752445098,0.7273114830311483,0.029085001353078357
5,700,20,1,,20.0,gini,balanced,False,0.78087989826839,0.013974370332184809,0.6070683829348811,0.032020284706783905,0.9520040229797481,0.0058764882051116985,0.67557019990702,0.05794170872417181
11,200,5,3,log2,40.0,entropy,balanced,True,0.6866755303066256,0.009224134843872833,0.6059827712971375,0.03543650199999357,0.8408909453687962,0.007128672233466239,0.7126511312567796,0.037895805056173286
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6579051660414954,0.011921935617416038,0.6041472532433837,0.026021546224394614,0.8135483482006043,0.00401514953951994,0.7305738416240508,0.021691697096382936
34,400,50,1,,40.0,gini,,True,0.697812551682574,0.008768363505539622,0.6029866907908441,0.034128842703558135,0.9278412844751248,0.002843581838984171,0.7425054238338757,0.04109050792060226
12,700,2,3,,8.0,gini,balanced_subsample,False,0.695834331867563,0.02504298160604031,0.5983334106196427,0.025705744604322536,0.84503602830889,0.011065451152102092,0.6691548891988223,0.03851087248065706
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.644014448917901,0.009715074854935444,0.5955606666893619,0.027311971642343072,0.8023393366001903,0.007293792147720195,0.7257549589338292,0.03303960330708321
33,100,20,4,,8.0,gini,,True,0.6376839743814015,0.011872736330954566,0.5948235295261901,0.03925327897100403,0.8750306234578517,0.004589128552610254,0.7385474972880831,0.0414749529482365
18,150,100,5,log2,40.0,entropy,balanced,False,0.6502905949755023,0.00908465247146885,0.5909490428244283,0.02927742062791411,0.8207894057663193,0.005626347509097027,0.7176160313032698,0.030256458629062774
2,700,5,10,log2,4.0,gini,balanced,False,0.6416117317857081,0.012458893663499697,0.5887122967668017,0.03987216048985708,0.7982000890609153,0.00825435347905348,0.70690973190764,0.043570144265279234
28,200,100,1,log2,4.0,entropy,balanced,True,0.6708801685782306,0.00923085789247803,0.5827809359593145,0.03547897297373531,0.817135205208975,0.007163834189326235,0.7019431272276461,0.027976350709228895
20,200,100,5,log2,4.0,entropy,balanced,True,0.6303173448156663,0.006764256256348876,0.5794602607409083,0.03317558679415203,0.7817224494702665,0.005593134774715116,0.700696923911359,0.03972670959006714
24,150,5,10,,20.0,entropy,balanced,False,0.6562229518501478,0.010735619092469766,0.5661906440231312,0.030255163554256805,0.8617229840292637,0.003085133787695297,0.7067321013482102,0.04808438186647029
26,100,5,4,sqrt,30.0,gini,,False,0.46164751279255095,0.005617223877471299,0.4570773012838022,8.028920216715853e-05,0.8912789287727954,0.003328627806460021,0.7557543390671005,0.03744237034437553
39,400,100,1,sqrt,10.0,entropy,,True,0.4570774419840051,2.005309280834865e-05,0.4570773012838022,8.028920216715853e-05,0.854854379840208,0.004412953294133609,0.7492124205795754,0.03197614105272805
17,400,50,5,sqrt,10.0,entropy,,False,0.4570774419840051,2.005309280834865e-05,0.4570773012838022,8.028920216715853e-05,0.8439109200969753,0.0042200201630808575,0.7432610026344335,0.03397694719452904
