task,feature_set_name,selection_metric,selection_mode,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,final_valid_macro_f1,final_valid_roc_auc,num_surviving_features,best_params_json
Pgp_Broccatelli,fg_top_level,macro_f1,train_cv_5fold,0.8698332270495465,0.024955076257421206,0.9276262069564943,0.018559242929779396,0.9801514345441381,0.9988543348042815,0.8799603174603174,0.9544278320874066,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/Pgp_Broccatelli/fg_top_level/best_params.json
Carcinogens_Lagunin,fg_top_level,macro_f1,train_cv_5fold,0.8483120293529132,0.0534211268700499,0.8979390681003585,0.06063496180776446,0.8741531871337107,0.9670541241289904,0.8541666666666667,0.7043478260869566,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level/best_params.json
BBB_Martins,fg_top_level,macro_f1,train_cv_5fold,0.8302328022523987,0.006818125386320917,0.9106879526944336,0.022445046880477885,0.9469069377539441,0.9917778184291965,0.8348198714435199,0.8694350916573139,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/BBB_Martins/fg_top_level/best_params.json
HIA_Hou,fg_top_level,macro_f1,train_cv_5fold,0.8094740233985043,0.0671583941816023,0.9297453703703704,0.04635547914712245,0.9829739931592776,0.9999018959435626,0.7313131313131314,0.9371428571428572,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/HIA_Hou/fg_top_level/best_params.json
AMES,fg_top_level,macro_f1,train_cv_5fold,0.8072645383939057,0.013019730160465797,0.8822048524916996,0.014400032263408908,0.9197063858964238,0.9727787235873558,0.7713849415929892,0.8322902015939989,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/AMES/fg_top_level/best_params.json
SARSCoV2_3CLPro_Diamond,fg_top_level,macro_f1,train_cv_5fold,0.7645087126288066,0.06212746632969007,0.8026163984198451,0.1067863175086262,0.7683847592227916,0.9369535400108496,0.5668073136427567,0.52265625,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/SARSCoV2_3CLPro_Diamond/fg_top_level/best_params.json
DILI,fg_top_level,macro_f1,train_cv_5fold,0.760596650055539,0.06390469390766093,0.8429032258064517,0.0532660689180708,0.9984843285289408,1.0,0.6657183499288762,0.723529411764706,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/DILI/fg_top_level/best_params.json
hERG,fg_top_level,macro_f1,train_cv_5fold,0.7474139866177868,0.024481437180316905,0.796822288882,0.01982481296908794,0.8122933528655153,0.8905921614229143,0.6014943960149439,0.6743589743589744,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/hERG/fg_top_level/best_params.json
Skin_Reaction,fg_top_level,macro_f1,train_cv_5fold,0.7143644522109123,0.027090245544999933,0.8138922764227642,0.02606313263611748,0.9196847323619635,0.9850311488307902,0.6698412698412699,0.7095959595959596,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/Skin_Reaction/fg_top_level/best_params.json
CYP2D6_Substrate_CarbonMangels,fg_top_level,macro_f1,train_cv_5fold,0.6925492850284415,0.0510150335647891,0.7522433983926522,0.03737810282091882,0.8349392141847887,0.9357251387758743,0.8152295632698767,0.8986562150055991,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level/best_params.json
PAMPA_NCATS,fg_top_level,macro_f1,train_cv_5fold,0.6637835454068749,0.052850443515585654,0.7416991709282504,0.02843447973057056,0.9542381536380043,0.9973618074286283,0.5210112359550562,0.6336879432624114,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/PAMPA_NCATS/fg_top_level/best_params.json
Bioavailability_Ma,fg_top_level,macro_f1,train_cv_5fold,0.6483934039882222,0.0311826279307891,0.7264253237526895,0.04656777198248721,0.9163602015132477,0.9914768231593794,0.7104072398190044,0.8190045248868778,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level/best_params.json
ClinTox,fg_top_level,macro_f1,train_cv_5fold,0.6436733281819143,0.03303454843025316,0.6805837445827801,0.07019278135685343,0.7409042649905244,0.9626848018884466,0.5561683599419449,0.588254593175853,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/ClinTox/fg_top_level/best_params.json
CYP2C9_Substrate_CarbonMangels,fg_top_level,macro_f1,train_cv_5fold,0.6276256252127712,0.06172720207995908,0.6922962962962963,0.08962975206603206,0.8849054400651892,0.9853379629629628,0.5416666666666666,0.6785195936139332,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP3A4_Substrate_CarbonMangels,fg_top_level,macro_f1,train_cv_5fold,0.6020725486671986,0.06280968297587156,0.6219713828074143,0.04925669618289684,0.9565197164519326,0.9954703331941956,0.5667781493868451,0.5989010989010989,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level/best_params.json
SARSCoV2_Vitro_Touret,fg_top_level,macro_f1,train_cv_5fold,0.5514058040954579,0.03100922825594997,0.5906639752000578,0.05959738320050817,0.9634715731257856,0.9985337615307488,0.5319418089816572,0.4831495098039216,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_traincv5_n40_seed0/SARSCoV2_Vitro_Touret/fg_top_level/best_params.json
