candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
35,150,50,2,,,entropy,,False,0.8122933528655153,0.005735324395943679,0.7474139866177868,0.024481437180316905,0.8905921614229143,0.008286644537217306,0.796822288882,0.01982481296908794
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8249774577456419,0.013025203717202985,0.7408019589096362,0.025097205378612906,0.9308041429612723,0.0018932203827690909,0.8170786952976636,0.04652747814255556
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8346844283569397,0.007361539399199332,0.7385271250708731,0.0407373695814305,0.9152396526084476,0.0028097435437276315,0.8169919152949022,0.03995681488799448
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9644003180723557,0.0077640602091288745,0.7377266941973024,0.07691934654582099,0.9975936366189307,0.0005978651684050704,0.828999271894611,0.04280502610211469
25,200,2,10,,10.0,gini,balanced_subsample,True,0.7607717482942065,0.007124754719833339,0.7313768484054286,0.05226643004602637,0.8703700905539341,0.005374722227230942,0.8079670555105466,0.058420292602814165
3,400,20,1,log2,,gini,balanced,False,0.9299674521232617,0.008025769127682896,0.731213841654303,0.06692792993942925,0.9885215514497585,0.0012560361538868827,0.823318812471833,0.03783240848079698
37,700,50,1,log2,10.0,entropy,balanced,True,0.8456218291430334,0.005150913985503159,0.725892997697243,0.07352049816935022,0.9285417333485949,0.003561946206529628,0.8105402372659707,0.033542675912024755
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7558564128382255,0.010037592243324801,0.7257242763888085,0.038424531428516026,0.8610365883179536,0.004278862989573889,0.8078111120083987,0.049515974116786654
4,100,2,1,log2,40.0,entropy,balanced,False,0.9681365844215076,0.006503615550219146,0.7239827015756114,0.08480314297000993,0.9985409628018693,0.000501410697676066,0.8190071651301342,0.05482186434390777
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7798531013220765,0.014729295631468487,0.7238541167275704,0.045847569951569314,0.8738661652733567,0.0039396731739587566,0.7991755411294882,0.0517978243450441
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8217173812345189,0.008368567717449694,0.722181222047513,0.049847156842093045,0.9037261247566454,0.0030448258395133227,0.8085425062455552,0.044552461025804874
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8543929127402631,0.01941128039346779,0.7214064237327743,0.058145045280569845,0.9384630349758482,0.010934485288731817,0.8046869993461379,0.04377610587129742
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8058767577546737,0.009425541489069555,0.7213259185101555,0.03758778461786792,0.9001944355369176,0.009413195674112484,0.7984397183443482,0.03277378281714926
19,700,50,1,log2,30.0,gini,balanced,True,0.873814572921266,0.009657921113340512,0.719519949646201,0.06742838465387953,0.9510316039216494,0.002743346818220904,0.8128131243927028,0.03234019080045935
14,400,20,2,,30.0,gini,balanced,True,0.8558314950538332,0.008033429109483492,0.7178242205093923,0.05384675211903103,0.9526110445246504,0.0035576292790292685,0.8129334115710144,0.04841836863161401
28,200,100,1,log2,4.0,entropy,balanced,True,0.8152916421911149,0.01497213640210471,0.7168935490111015,0.046858582536467866,0.9025307023271905,0.00986668084585505,0.7997650590169145,0.03859406807706583
2,700,5,10,log2,4.0,gini,balanced,False,0.768679264951175,0.010192491703113194,0.7143862767918441,0.03884002424239711,0.8590023712367609,0.004573254654844271,0.8018400291242156,0.033601928991900336
11,200,5,3,log2,40.0,entropy,balanced,True,0.7917298897411436,0.01370276559544388,0.7134615770384232,0.05526968221636779,0.8842417862558174,0.009888399059907611,0.8080678701028725,0.034425277266403854
20,200,100,5,log2,4.0,entropy,balanced,True,0.7671688566658955,0.0144144755674599,0.7084347316485301,0.037528556231511745,0.8471577289472638,0.009104470547657142,0.7892175276719123,0.05141979650864379
18,150,100,5,log2,40.0,entropy,balanced,False,0.7715378342175541,0.008842535577240313,0.707148582162432,0.04579029439250237,0.8663204164897198,0.006150775233124522,0.788259658793403,0.030248018054529435
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7770364347790233,0.009131599567869079,0.7061917575645253,0.05262949721139066,0.8853458771068128,0.0047915055803919,0.8067145579397353,0.045731506079654476
33,100,20,4,,8.0,gini,,True,0.8037260767333919,0.011553410028090216,0.7057715978987947,0.04076748975293922,0.9145956213620059,0.0051344956444257,0.8108301769074668,0.04820732695714483
15,200,10,2,log2,40.0,gini,balanced,True,0.8159979909166644,0.008372906405759559,0.7033441141424511,0.05470344665252514,0.9106933000389408,0.007550672316705096,0.8090502262467012,0.036190755965719516
5,700,20,1,,20.0,gini,balanced,False,0.8858148817206922,0.004356297668823728,0.6992369953797952,0.061876749156562084,0.9714264193376048,0.0025628125411094323,0.744138719055521,0.03410700916278033
24,150,5,10,,20.0,entropy,balanced,False,0.7686908394774145,0.019746395868221644,0.6950560262766396,0.028155956720310113,0.8676640577159919,0.013840549430579652,0.7692405105334318,0.04967859094936059
34,400,50,1,,40.0,gini,,True,0.8538938664594011,0.009938083504469453,0.6939614155600559,0.04100504399732719,0.9372552430798479,0.0011179532837591393,0.781575384306789,0.04795648778666598
12,700,2,3,,8.0,gini,balanced_subsample,False,0.7994523074709676,0.015129546552549963,0.6880912902393265,0.04507259234444995,0.9095087533012224,0.006780770123490155,0.769016901423127,0.05315946737761355
39,400,100,1,sqrt,10.0,entropy,,True,0.6282455043411217,0.024642130754802573,0.5691196406651381,0.032135395978249125,0.9049557152302372,0.002191371308817802,0.8005284625383917,0.05127357549916534
26,100,5,4,sqrt,30.0,gini,,False,0.6214843237227576,0.0220775523397405,0.5668497207449124,0.054499629159217695,0.9048505739552019,0.0036448505947354066,0.802502031922016,0.05398693592983475
31,500,50,3,sqrt,8.0,entropy,,True,0.5206613141791874,0.029926964629966746,0.4687227501461715,0.03732854551440232,0.8895346845395652,0.002460578663017526,0.8028339125179421,0.05024900718574739
17,400,50,5,sqrt,10.0,entropy,,False,0.5069440888459906,0.024990942983208853,0.45617285313862543,0.030931127820936315,0.8917004425886905,0.003494289318833684,0.8095317331513288,0.04451279980174892
32,300,100,10,sqrt,8.0,entropy,,False,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8574410092189664,0.0030631158932426347,0.8052298546654753,0.049430593949600476
38,200,20,3,log2,8.0,gini,,True,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.872550212674881,0.005986335305876891,0.8036849752392067,0.04218266470747553
36,200,20,2,log2,10.0,entropy,,True,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8958826757187728,0.008392740824699476,0.8021021600894045,0.0376125061214123
8,150,10,3,log2,,gini,,False,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8958634926168474,0.009727370101933685,0.7969728920762857,0.04448211044683202
40,400,10,10,sqrt,10.0,gini,,True,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8510118518753174,0.0061881788939875835,0.7927638502838178,0.07470149370965978
9,100,100,4,log2,40.0,entropy,,False,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8638619240287749,0.008104330714744477,0.7861279967593451,0.04128728238096118
30,150,5,5,log2,8.0,entropy,,False,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8698508023299102,0.006707264786992849,0.7841992664240518,0.03630535207910098
1,200,2,10,log2,10.0,gini,,True,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.824188896840081,0.008499824577469436,0.7699176224949398,0.0641813660599611
21,200,10,10,log2,,gini,,False,0.4060446445395569,0.0003933472362602608,0.40604409999157093,0.0015790263623368397,0.8263168286159637,0.013411399859289961,0.7575341323823244,0.062169607429540315
