candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
36,48,3.0,0.005,,10.0,0.8019748042257004,0.0038618984214843126,0.763669321577726,0.013932199280453585,0.8786867852310424,0.0024215287134850857,0.83242586363272,0.011026096377585585
17,32,,0.0001,,2.0,0.7824069742805749,0.0032865107018018743,0.7630058691169312,0.009437099881471706,0.8541507355141548,0.0046345466105371805,0.8333176034458685,0.004922050604671883
21,32,8.0,0.0005,sqrt,6.0,0.770029000510427,0.007255721242638556,0.7504117770073402,0.01491493786609681,0.8436821423474805,0.00449646241008102,0.8158987837579256,0.014715227216171637
30,24,3.0,0.0005,,10.0,0.7695362459129409,0.006610029289641783,0.745193963787331,0.01252242163873277,0.844457734195126,0.0019287464751714639,0.8191320109755278,0.009490520334988681
31,32,2.0,0.005,,8.0,0.7681636505707189,0.00832372601114642,0.7414309677272046,0.016092845387785586,0.8398193970799875,0.003873808293973085,0.8084128401327562,0.010039652971469649
4,32,3.0,0.0005,sqrt,,0.7598760913356918,0.009788834844299795,0.7383431607479005,0.008274438466101703,0.8342152051014692,0.00448910389109462,0.8042851410178835,0.012179820299376814
6,16,4.0,0.0001,,,0.7544188174467524,0.00758362312661466,0.7366443512784037,0.016057880825986543,0.8225077165233664,0.0036244219268674552,0.8025886994018989,0.010475578585440357
3,24,4.0,0.0001,log2,,0.7421798101232031,0.0036127343633522574,0.7246857640816275,0.009315210401500238,0.8098964837199472,0.0032638079355955113,0.7837749160253825,0.015752784834005332
24,12,3.0,0.005,,10.0,0.7395773490210712,0.010799120926835222,0.7240163483366671,0.014976025863376962,0.8055678172314547,0.006253705304375182,0.7887606390474862,0.008477447563739717
26,32,3.0,0.0001,sqrt,6.0,0.7363324943800811,0.002968634466351146,0.7194909767598554,0.013904774877476012,0.8114695935159413,0.00797505340535268,0.7860258705174751,0.013203836167251634
27,32,,0.001,log2,5.0,0.7381824012302667,0.006267477212168064,0.7172463728620133,0.015482421952617344,0.8200356424029603,0.004374153546646131,0.7944394362969456,0.012945868463581178
11,16,6.0,0.0005,sqrt,6.0,0.713844416722377,0.0163099374689175,0.7095505013776882,0.012864007552499472,0.7899560165856768,0.005378663797226532,0.7875147101033295,0.01162069910594927
39,16,6.0,0.0001,sqrt,6.0,0.723480223494253,0.012459771306003337,0.7071750363186374,0.010648859953787561,0.7951424740348152,0.010373022830493411,0.7768466480616667,0.0021417144356682344
10,12,8.0,0.0,sqrt,8.0,0.7092247795224047,0.010958394400823107,0.6971407596508357,0.015025159153227363,0.7740697859588541,0.010125761093847736,0.7600010715006051,0.017088472560301566
34,16,2.0,0.0001,,4.0,0.7138900119917444,0.0104079274475358,0.696750594109478,0.013092664936786368,0.7846493031688698,0.007780936612696276,0.7625075764628004,0.009642507166807509
29,6,,0.01,,4.0,0.691577061110269,0.00777196722313517,0.690147252143652,0.015367649771698454,0.757142977292497,0.010106008862053553,0.7500134753726171,0.012090911279356895
9,48,3.0,0.005,,2.0,0.7059851952440648,0.008654553156415248,0.6894484728909276,0.010233824852077763,0.7725098564219102,0.011052351966619911,0.755833718782646,0.009995739051742388
5,24,2.0,0.001,,3.0,0.7045059195355292,0.016305569438952196,0.6863518147894656,0.014885328941196088,0.7660286947473234,0.009155515676659178,0.7529932821922094,0.009558011209800927
2,8,,0.0,sqrt,2.0,0.681204183155392,0.009616906592510577,0.6799740759874829,0.012202228882893212,0.7375748918586037,0.013792463974609287,0.7331508978302355,0.01480880506863243
7,16,,0.005,log2,4.0,0.6983379131386348,0.0072844636364992775,0.6784363620729734,0.007621554822802236,0.7654528592508486,0.006791999104614187,0.7466922024816147,0.012139866533182742
25,12,,0.0,log2,5.0,0.6754780716187717,0.023531964790536097,0.675856701930573,0.03417732366162309,0.7400799643455962,0.01034100558032766,0.7313944974322772,0.025964032140363073
8,12,8.0,0.0,log2,5.0,0.6854767987987718,0.01454148991130638,0.6656400453582003,0.024342911788339795,0.7499925119737603,0.018631664515806747,0.7291930291370589,0.021682102460871114
35,8,,0.0005,sqrt,2.0,0.6797293376003127,0.012138487979339524,0.664195317258099,0.006410984679560325,0.7341715585588577,0.008631957391011039,0.719501510605755,0.01185340590654451
15,8,3.0,0.0005,sqrt,6.0,0.6808713518873178,0.007628085682970544,0.6639165844908811,0.019912808776709832,0.7357688446382011,0.002604872880636652,0.7129446905286458,0.011096296181344044
38,48,6.0,0.0005,log2,2.0,0.6682096626531244,0.01568970725014587,0.6634399991558805,0.020551249200876847,0.7492775635088726,0.01738953401809333,0.7325402273326713,0.016532104804300982
14,4,4.0,0.001,,6.0,0.6738855840341565,0.008944144564173069,0.6630786419952774,0.007484779387143469,0.719736501385232,0.0065593040721262765,0.7101604220645733,0.008384978087227064
19,32,1.0,0.0005,,4.0,0.67825119512598,0.01118745412515518,0.6627594141408892,0.014074773615862537,0.7198386526639924,0.003964243526317525,0.7049265892794343,0.014918040864966607
12,8,6.0,0.01,sqrt,3.0,0.6730631235367411,0.015698404964805842,0.6607246747063249,0.024266208525037875,0.7309481450651562,0.009592928374883848,0.7197208215678365,0.013168556644498954
