candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
27,32,,0.001,log2,5.0,0.8224570117298636,0.021362715315760717,0.6513952340238149,0.0363934034680631,0.9080847409967369,0.017911681535121998,0.7090535054601552,0.045832526050093865
6,16,4.0,0.0001,,,0.8402849095111435,0.01654120779940275,0.6513327830957409,0.0872210798761843,0.891137299055057,0.027209360346030054,0.6796697519587546,0.06872372983685153
30,24,3.0,0.0005,,10.0,0.8854160202581784,0.01755236077336284,0.6513064671391577,0.05782538320245357,0.9442072978531858,0.014739435048899532,0.691023220882556,0.08476314554978912
4,32,3.0,0.0005,sqrt,,0.8867201607296936,0.02165718870347345,0.6433821337782509,0.05730722764217192,0.9393434766734924,0.012763324168890079,0.6765726870458328,0.05382433398033449
36,48,3.0,0.005,,10.0,0.9464155406483696,0.02674746787174961,0.634904319175015,0.07987648776924847,0.9839650595606593,0.013727311833289051,0.6741921406243657,0.06942317358936705
24,12,3.0,0.005,,10.0,0.805971227676993,0.019342706055712144,0.6293468472223418,0.08306375859789394,0.8606568339988978,0.021137117327239194,0.6753978402955385,0.07467308914045917
23,6,2.0,0.005,sqrt,4.0,0.6250078169266567,0.04304467355142609,0.6290422114370523,0.06141854400414097,0.6964957651044607,0.03194015637329099,0.6693309787683189,0.04837125113761586
3,24,4.0,0.0001,log2,,0.8075579940815192,0.01446859080606182,0.6229717322703383,0.06630957478450362,0.8673369911038847,0.041469974749295944,0.6775187756261926,0.05027063906518371
21,32,8.0,0.0005,sqrt,6.0,0.8543795530567128,0.017585815567481476,0.6194049894061313,0.06178820058836799,0.9309520226586752,0.01991149238493707,0.7205167864247148,0.05405442988129921
12,8,6.0,0.01,sqrt,3.0,0.689976550219938,0.02032862616250558,0.6182321423049116,0.04641528635366343,0.7819277153787368,0.021850747070415916,0.6733513985304267,0.055444684045146624
9,48,3.0,0.005,,2.0,0.7237847679875153,0.0521771782300602,0.6180753622780049,0.0678913604049066,0.8147573988784046,0.01628191797998707,0.7033950391750904,0.06912646754115892
26,32,3.0,0.0001,sqrt,6.0,0.7946995578812819,0.024791426863946836,0.6167551282337131,0.029378449087021887,0.8848502581755593,0.026577748751013805,0.6727737181829253,0.07025687743810068
20,32,2.0,0.005,log2,5.0,0.6602913860640596,0.040872306133377195,0.6156777071232815,0.040157707396253135,0.7493144208681138,0.04377218267413351,0.7010358056265986,0.09410332503998751
33,32,1.0,0.01,sqrt,6.0,0.707860640282137,0.027103142641688015,0.6116345387634142,0.05538077465457224,0.7428306472643822,0.061152993461721185,0.6180826533511956,0.10500386494716991
31,32,2.0,0.005,,8.0,0.8795326900408089,0.044398105123640313,0.6103076683152033,0.08511454366335809,0.9408202068579229,0.022212179297545338,0.6641484999797019,0.04092166623195655
38,48,6.0,0.0005,log2,2.0,0.6921230916207153,0.029338400858279257,0.6054134430146215,0.05879717553900673,0.8248421829610934,0.015680203517137548,0.6761851987171681,0.09038600951791168
15,8,3.0,0.0005,sqrt,6.0,0.6935660517033208,0.03695852077574846,0.6012800833644032,0.05349424212752528,0.7446837627188596,0.03364968786064881,0.604110948727317,0.09328977061109232
17,32,,0.0001,,2.0,0.86937226984761,0.01459577569916651,0.5963432838676319,0.08066064103259388,0.9570348656058452,0.012626673756578484,0.7172496244874762,0.06127330080295859
