candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.8381843866785962,0.01729794367551725,0.6487542033372623,0.08643686757041458,0.8971983337075008,0.018436205777017992,0.6780794056753136,0.09535428665474555
30,24,3.0,0.0005,,10.0,0.8869311048367867,0.02258218271968247,0.6469546327104466,0.04580750823466464,0.9383055610357864,0.010342641018774312,0.6846346364632809,0.06997940638856426
21,32,8.0,0.0005,sqrt,6.0,0.8830808305856273,0.01197123087203045,0.6415039043427652,0.06672067491286489,0.9440001224548107,0.012010410389384548,0.659959201071733,0.0613561633518207
27,32,,0.001,log2,5.0,0.8450760374034267,0.010579876676169615,0.6359933788357386,0.07710089273062473,0.9464489488161567,0.010245560109936132,0.6766173425892097,0.11362176297051095
3,24,4.0,0.0001,log2,,0.855133254660006,0.024797102954254677,0.6356070493299709,0.041779839783260844,0.9211455760931926,0.008288860852470398,0.703136645962733,0.06019458262178555
25,12,,0.0,log2,5.0,0.7214234619812788,0.04165599006546257,0.6306954838902634,0.03198300508788346,0.833169280169804,0.025241038104202265,0.6901713149027728,0.041429462498288494
12,8,6.0,0.01,sqrt,3.0,0.7040048037120504,0.02586609213841045,0.6254105444901941,0.12851428063960535,0.7780167853798026,0.03261468630012581,0.6897223237120935,0.11194616104747734
24,12,3.0,0.005,,10.0,0.7993583384311949,0.027503214184595372,0.6215724717187155,0.06180639331771432,0.8639427047546482,0.014145567723356805,0.6762950107579264,0.07789189585575672
37,6,6.0,0.0005,sqrt,6.0,0.715565844669074,0.014776885987526106,0.6169839711227207,0.0389811053210974,0.7240854643871929,0.04733767001797827,0.597633865140259,0.02793909698514559
31,32,2.0,0.005,,8.0,0.8828929889345567,0.033480849788910104,0.6150807602097736,0.09151364070948644,0.9411603749838428,0.025389862491334656,0.6718844639304997,0.06899068153789027
8,12,8.0,0.0,log2,5.0,0.7220626164026505,0.024369245655002897,0.613923196735505,0.0605415049039435,0.8291145156572082,0.02276591468020925,0.6625745950554134,0.07995958470946697
26,32,3.0,0.0001,sqrt,6.0,0.8361165108723341,0.02352128658451135,0.6113266456370171,0.03831567794838412,0.9184365967540404,0.02786737675862696,0.6575967198473592,0.06128122842613786
32,16,2.0,0.01,sqrt,3.0,0.6904135270679825,0.0292820298803337,0.6084338850737842,0.08696837191949577,0.7648281528145331,0.031035190600964047,0.6596088580359679,0.08065461364293333
4,32,3.0,0.0005,sqrt,,0.9102201507014106,0.012807982806967416,0.6079261721991865,0.0638185063676962,0.9433169447978248,0.031972734187804296,0.6377698615678156,0.09993450474587713
15,8,3.0,0.0005,sqrt,6.0,0.7161799299644844,0.03303052400970506,0.6065309640237901,0.04391127238373363,0.7850764049988775,0.0330970134253167,0.645443713717371,0.07086142927095104
10,12,8.0,0.0,sqrt,8.0,0.7466015456153099,0.04455330028354844,0.6059034227499212,0.06819484907684974,0.8332495039446324,0.026307131568370393,0.6842674461088784,0.01865810885447664
9,48,3.0,0.005,,2.0,0.7357937766353635,0.03430087794934061,0.6039327889834198,0.01928138226625432,0.8250587601677177,0.01701238362974107,0.6919319611902732,0.052840008134679324
33,32,1.0,0.01,sqrt,6.0,0.7145656827511909,0.03401696008772499,0.6037341527387821,0.08392041903292612,0.753571653071915,0.052727297264595505,0.6443681240612186,0.020546171980049734
7,16,,0.005,log2,4.0,0.7591545833997738,0.028986957689493647,0.6034431790528196,0.04754727984735056,0.8471791332467078,0.020187220645315394,0.6467977915804003,0.10237419250135828
39,16,6.0,0.0001,sqrt,6.0,0.7820288424631958,0.027744477007028787,0.6023834599378428,0.07842981295925992,0.867375190201801,0.014306794344939127,0.6890977550440466,0.0747489420477469
36,48,3.0,0.005,,10.0,0.9574552000507017,0.02005000989492898,0.60212202529813,0.04749157399680463,0.9894862181645838,0.007018298239073994,0.6198715138229205,0.0443747359217312
35,8,,0.0005,sqrt,2.0,0.6929502670286243,0.03635042681091189,0.601114668490854,0.05341208389302758,0.7838411352921566,0.025774332694786885,0.659207567084805,0.061688080698824845
20,32,2.0,0.005,log2,5.0,0.7440856610740879,0.03802794338302756,0.592758942082459,0.06101811025922365,0.8365146707666351,0.026607582862954497,0.6484411155766654,0.0719885353401276
11,16,6.0,0.0005,sqrt,6.0,0.7865983890409234,0.008842508582718567,0.5876834743831124,0.08185604154430062,0.8834473002115748,0.00779380186675768,0.6320143709657776,0.06490106934793496
14,4,4.0,0.001,,6.0,0.6819601475389647,0.05343984514165694,0.5863636268496097,0.09069267963047174,0.7424308504486608,0.01713924768567057,0.6551010839118255,0.07952285885265721
34,16,2.0,0.0001,,4.0,0.7674311713014523,0.05370941565401117,0.5814532948263307,0.08211351542352537,0.8509665199476618,0.0308966523936601,0.6935586408476434,0.08041853435003952
18,8,,0.01,log2,8.0,0.6937966726417322,0.03420150201416099,0.5799249163260849,0.05457458149665566,0.7690673478782436,0.03395601332993408,0.6652143466082086,0.07618475730171052
13,24,1.0,0.0005,log2,8.0,0.7470592218689679,0.016618475738093542,0.5798486639857001,0.041498201147962044,0.7608200685293403,0.04408215410449444,0.5688974140380789,0.07247479800308348
17,32,,0.0001,,2.0,0.8759421710177314,0.026722472112606307,0.579431723752516,0.0494891219483625,0.9572445422571143,0.004343845633817147,0.69291499208379,0.06982244058979878
28,6,,0.0001,log2,5.0,0.6677165170181094,0.022332121922112678,0.5770337853072458,0.07459780969564248,0.7470038822710379,0.024298235894060112,0.681235131733853,0.08146402266843317
5,24,2.0,0.001,,3.0,0.7327610801424447,0.05505117093275227,0.5737989302706354,0.09907952763207276,0.826169799468909,0.027736548861085217,0.6912361466325662,0.08552863293333096
19,32,1.0,0.0005,,4.0,0.6783355570833485,0.08919227252175338,0.5687689176435006,0.08181894770737294,0.7931986489152545,0.03886126607271321,0.6690920716112532,0.0880893606495138
38,48,6.0,0.0005,log2,2.0,0.754679295161419,0.0269793889603399,0.5648293270352254,0.07347475950341222,0.8551855961394986,0.021547651775750964,0.653372711403402,0.13588068787295954
