candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,4,4.0,0.001,,6.0,0.7525107116200793,0.014903338678521937,0.7004619865380485,0.06864091653317068,0.7842202008070179,0.014918911572865411,0.706406429391504,0.09334073035298868
5,24,2.0,0.001,,3.0,0.7895452595397165,0.020288053342840704,0.6942417976992725,0.05722906657640809,0.8442463745499538,0.014649391687032857,0.7107876004592423,0.06605210282232123
29,6,,0.01,,4.0,0.7736938303803088,0.009357809021640068,0.6911667837382155,0.07770055575136905,0.8186091341277185,0.00782878375612737,0.7031618828932262,0.0836101208972024
19,32,1.0,0.0005,,4.0,0.7725652955944511,0.009991019641845953,0.6859938085652403,0.07297245150133734,0.820036776999989,0.009409362250464922,0.7183949483352469,0.06966707525199947
34,16,2.0,0.0001,,4.0,0.8060398542183227,0.01907395752027136,0.6820996850356267,0.06558601108142721,0.8671708670984138,0.01007843269550279,0.6949942594718715,0.0726549724317187
9,48,3.0,0.005,,2.0,0.7694312958945934,0.01706259137837489,0.679387273080942,0.04329922407443961,0.8495709582223311,0.010944019090283457,0.7269850746268657,0.037723778527028386
39,16,6.0,0.0001,sqrt,6.0,0.7867824982254084,0.019367299786156107,0.6711955201793254,0.04029574655537162,0.8682499679533624,0.011971847010509568,0.7226360505166476,0.04929748476133063
10,12,8.0,0.0,sqrt,8.0,0.7517808624500744,0.015708641509154846,0.671126591367051,0.0509300201936595,0.8455267422224203,0.009666514879724922,0.7193432835820895,0.045320271152307225
6,16,4.0,0.0001,,,0.8575291803721535,0.009504630244886042,0.6639715636148421,0.04521421519788555,0.8741115418055354,0.016654723690296344,0.6704776119402984,0.0796451620689502
26,32,3.0,0.0001,sqrt,6.0,0.8527326683992339,0.019951874019574996,0.6553384474509237,0.057717838659309156,0.9309412376132778,0.0071395750544938795,0.6873639494833524,0.06719610792785195
24,12,3.0,0.005,,10.0,0.8215980949820038,0.011437878389649667,0.6516985657763873,0.054557218159681994,0.8581508532765596,0.014803502354355774,0.6776211251435132,0.0812038889339221
17,32,,0.0001,,2.0,0.8748879696449816,0.0051920264143295695,0.6509084208882535,0.052447033724742194,0.953701943976904,0.006155344039245734,0.7172675086107922,0.053771504611599956
30,24,3.0,0.0005,,10.0,0.8872857289230621,0.01188410474835747,0.6504922555705386,0.021187199242659566,0.9424443781837638,0.011750647441837759,0.6903467278989667,0.08417156954845588
8,12,8.0,0.0,log2,5.0,0.7356633282259034,0.025079444810135257,0.6429300375674448,0.04129277640337261,0.8207568510137883,0.019607499810752858,0.7385832376578646,0.04569347228433372
21,32,8.0,0.0005,sqrt,6.0,0.853078717372479,0.011388879728191442,0.6426039064861448,0.027606854137506735,0.934544359513114,0.012868031316493217,0.6877083811710677,0.05825273597727739
4,32,3.0,0.0005,sqrt,,0.8864419044633717,0.01928718298720563,0.6423754070148553,0.04974660077614007,0.937251011559083,0.01581423191827521,0.7245074626865672,0.057234423852500035
36,48,3.0,0.005,,10.0,0.9564066360855035,0.01052962708756991,0.6419335824325237,0.03905469726376035,0.9873585071282868,0.005586844522111154,0.6713478760045926,0.09256969363372612
27,32,,0.001,log2,5.0,0.798914043712632,0.03249221816520342,0.641274498412644,0.041639621597710244,0.9123145823347786,0.010284246362598476,0.7096923076923078,0.06419623808807437
12,8,6.0,0.01,sqrt,3.0,0.669179626027234,0.05116478352290248,0.6371290880696137,0.07143626820022098,0.7868704577374517,0.005594219676097243,0.6964179104477612,0.06724754264025266
3,24,4.0,0.0001,log2,,0.8170968166728109,0.02211256231016051,0.636434281875028,0.04962081707846726,0.8934897604026173,0.00815801755812941,0.7401676234213548,0.03554758964930897
7,16,,0.005,log2,4.0,0.7453152728032023,0.023364030308824727,0.6356092983512908,0.07911685177832936,0.8461616836467402,0.011931536885837618,0.7148082663605052,0.06772247200346991
31,32,2.0,0.005,,8.0,0.9055980505739388,0.019744288144588066,0.6339347619388456,0.027698770939623838,0.9612763757760862,0.003690869021886406,0.6923857634902412,0.06543708056363592
20,32,2.0,0.005,log2,5.0,0.6782833079505114,0.049660379588843256,0.6300993570022037,0.044796398980547235,0.7996580066434074,0.020162363897014982,0.7024546498277842,0.028409710179994652
11,16,6.0,0.0005,sqrt,6.0,0.7723866729364169,0.012722724067861634,0.6300032740452588,0.054153819621160275,0.8650820881589067,0.008080521036134549,0.6789115958668198,0.056092508320213424
2,8,,0.0,sqrt,2.0,0.7276687700065345,0.021644995686480657,0.6266000366763234,0.0428498234801261,0.8080262893894977,0.010007015393446816,0.6976257175660161,0.05360960794308679
32,16,2.0,0.01,sqrt,3.0,0.7109771965416722,0.02773967478628427,0.6186188999157399,0.06028037006895944,0.7906835896135453,0.014130103595022344,0.6546039035591276,0.048865787040270156
25,12,,0.0,log2,5.0,0.7165994512517339,0.027107252486563156,0.6179552998495981,0.07141056866391199,0.8267974680369623,0.011004066821258391,0.7024753157290472,0.047671689626450936
15,8,3.0,0.0005,sqrt,6.0,0.6847210806550988,0.0325330795535465,0.6122526670126164,0.083869425182459,0.7960171602777747,0.015436991774903402,0.7116693455797933,0.05285094448629082
18,8,,0.01,log2,8.0,0.6686748098388395,0.04160715854142235,0.6047416201869454,0.07873445505118896,0.7645513331401246,0.02056676000303758,0.6744454649827784,0.04138229560221743
