candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.7673646089640439,0.015249542764500785,0.6474178691298919,0.04874932313912695,0.8199954298708103,0.010335956567451099,0.6629368541905856,0.03164556707051049
31,32,2.0,0.005,,8.0,0.7744058879596732,0.027872011582526533,0.6402433739602573,0.03359949747690216,0.8454912819212378,0.018383534089251734,0.6768266360505166,0.02964018788701444
36,48,3.0,0.005,,10.0,0.8550597390155581,0.021093558174014038,0.629550305215459,0.028639373365571475,0.9067765401892702,0.01667497714108062,0.6528702640642939,0.03265628985134119
27,32,,0.001,log2,5.0,0.7538152719660189,0.01783435794549876,0.6287293390802524,0.04097430696313053,0.8506141459431742,0.01403498812686723,0.683288174512055,0.05383970233004002
24,12,3.0,0.005,,10.0,0.7255835677056253,0.03497466920600563,0.6107620513633951,0.05452587332352165,0.7927252042624815,0.011443152982295477,0.6544546498277841,0.03390098716442008
4,32,3.0,0.0005,sqrt,,0.7794645088968533,0.024707445005947376,0.6098561723851977,0.05380088270701693,0.8532437118923679,0.022647657464052572,0.6787921928817451,0.053592003081978805
17,32,,0.0001,,2.0,0.8033602554835808,0.02406613019880052,0.6085434730944916,0.028579928501117655,0.8926297610156834,0.0063405701037438445,0.6841676234213547,0.04408041470072649
11,16,6.0,0.0005,sqrt,6.0,0.6994989660904711,0.024647084006330394,0.603560183098512,0.06359014388181597,0.791702637856275,0.012619070535084667,0.6692238805970149,0.03554190761697634
30,24,3.0,0.0005,,10.0,0.7844984667084322,0.013755599232916381,0.5958745940275492,0.043864124422691476,0.861800303467725,0.009728477796845538,0.6450562571756602,0.0326077428848483
21,32,8.0,0.0005,sqrt,6.0,0.758716495085333,0.03455950338213736,0.5800473920975758,0.04987320815222043,0.8728850612508777,0.017333122356128536,0.6895132032146958,0.05534580590819279
29,6,,0.01,,4.0,0.6172161432792462,0.04335490445270783,0.5741955138834205,0.03552348112264225,0.7259391754818143,0.010555856001738069,0.6484293915040183,0.03539978664654322
3,24,4.0,0.0001,log2,,0.7079154468120233,0.025386341714989585,0.5741539885426619,0.023176647027772286,0.8174775743203326,0.016556674577698365,0.6721492537313433,0.020864161121312407
26,32,3.0,0.0001,sqrt,6.0,0.689022276608428,0.04662354465387346,0.5663949624177116,0.032831653754755136,0.7800854878891577,0.03287306800748117,0.621841561423651,0.046818918340896375
9,48,3.0,0.005,,2.0,0.6637239864686426,0.05457767302984607,0.5629425871491296,0.02810221825585105,0.7391341346850513,0.015815194465313282,0.6286039035591274,0.04716661588733442
34,16,2.0,0.0001,,4.0,0.6583780455171707,0.04106553286011417,0.5626558514614413,0.05929390808132149,0.7597349673402963,0.019318028718439344,0.6478323765786451,0.037238352017001715
5,24,2.0,0.001,,3.0,0.6286069067627658,0.04085318393621649,0.5376805733815098,0.04797244594505286,0.7300121637889716,0.018729765215670366,0.6397405281285878,0.03726822632906155
39,16,6.0,0.0001,sqrt,6.0,0.6615486283302838,0.0608135863233802,0.537127929908351,0.04180607586219924,0.7798511991015795,0.016105009385360507,0.6449207807118256,0.045837681140885045
38,48,6.0,0.0005,log2,2.0,0.61781426801112,0.06369805740608264,0.5367523139102086,0.01901950459039943,0.7039210454449188,0.017698639131803008,0.5780137772675087,0.05935533977656167
25,12,,0.0,log2,5.0,0.6071199854125716,0.035700356251442696,0.5356304116352909,0.03821817495694967,0.6949166369422491,0.039020236324860604,0.6182548794489093,0.06775160894593271
7,16,,0.005,log2,4.0,0.6399498059474003,0.0474852408464773,0.5355011948865275,0.027618829913324677,0.7185666026662803,0.02817428053363348,0.5851802525832377,0.026615838564414934
37,6,6.0,0.0005,sqrt,6.0,0.5478025112910596,0.03613378792693306,0.528948801392844,0.0928490593135916,0.6229479701938402,0.022753776619449318,0.5915223880597015,0.045558686214595266
