candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,4,4.0,0.001,,6.0,0.7535809149984242,0.015237319524177857,0.7188025348785968,0.0745550879340551,0.7875711644354777,0.013522213601007086,0.7162801377726751,0.10228440479711799
12,8,6.0,0.01,sqrt,3.0,0.7265451713344641,0.01605871283680811,0.6956702938712767,0.0501068452036502,0.8140283459476331,0.009356412885009975,0.7346842709529277,0.03171718209281412
29,6,,0.01,,4.0,0.7718882971138156,0.010722931358369821,0.6929289492213113,0.07564086905521693,0.8216325602198122,0.0040031288895578275,0.7023490241102183,0.07606156934220737
5,24,2.0,0.001,,3.0,0.7871253832312419,0.020738860752591882,0.6906646192337834,0.06515053409325526,0.8471538754138196,0.005257366856877877,0.7017749712973593,0.06669307003807096
9,48,3.0,0.005,,2.0,0.7690176765645559,0.015262251293059158,0.6877141612017856,0.066574787863505,0.8534747263495814,0.005634304077593738,0.7351733639494833,0.04782784782031805
6,16,4.0,0.0001,,,0.8575953070144052,0.011216770738026561,0.685849078761611,0.07001927204759174,0.8843342450369512,0.013092253870745248,0.6784431687715269,0.10056618944982244
37,6,6.0,0.0005,sqrt,6.0,0.7181133255717482,0.01179267429757008,0.6812300368595414,0.05811570635470449,0.786657208264131,0.012254264581386974,0.7232146957520091,0.03635065593565985
19,32,1.0,0.0005,,4.0,0.7727964777627705,0.010652124013173872,0.6797804911860881,0.06534037969904206,0.81930318766511,0.01173875259932663,0.7105189437428242,0.056680082626443244
34,16,2.0,0.0001,,4.0,0.806448969221543,0.01500906037622611,0.6777139550462924,0.05784841172966574,0.8679560097198845,0.009798694418441634,0.6899678530424799,0.06298784935664573
2,8,,0.0,sqrt,2.0,0.7285359976208493,0.024811944797395676,0.6716001337899415,0.016330693873277416,0.8245891063725436,0.016973962842324792,0.7459311136624569,0.031642127309629765
4,32,3.0,0.0005,sqrt,,0.8993007173306001,0.018083115389343173,0.6696563387992521,0.06214478389269918,0.9515970023853845,0.014867275774459534,0.6814167623421356,0.05089583167377414
17,32,,0.0001,,2.0,0.8799307177918013,0.005060655257173834,0.6673932765604272,0.03797123145313736,0.9562297270183808,0.0060298627599093555,0.7142433983926522,0.033161316228856846
8,12,8.0,0.0,log2,5.0,0.7510027155425281,0.024163256257617075,0.6623241422037699,0.04237059760903733,0.8422894744908765,0.008611719047294863,0.7324523536165327,0.035024064829813836
27,32,,0.001,log2,5.0,0.8594677295538163,0.018491864491294904,0.6610416602007024,0.0310007114028423,0.9391957896291506,0.010722703454469996,0.7082916188289323,0.05967062188705918
30,24,3.0,0.0005,,10.0,0.8813999690063936,0.012643299223005701,0.6564648781600166,0.029786637221119867,0.9389826098224336,0.00920652957756436,0.676284730195178,0.05756032728851355
40,6,3.0,0.0,log2,6.0,0.6900929039195679,0.061941773348108735,0.651028990377819,0.11368114246295116,0.7986079219288175,0.01398337408882512,0.7240619977037888,0.053400487835902656
39,16,6.0,0.0001,sqrt,6.0,0.7906458881935395,0.01968336993412627,0.6505125560338305,0.04696783725523401,0.882066875759366,0.005078804514120423,0.6912514351320321,0.06887754057875402
38,48,6.0,0.0005,log2,2.0,0.7486218394268057,0.010147536034936613,0.6502499361362398,0.03275611409137982,0.8629672539096898,0.005504588113385025,0.7114006888633755,0.05757726933963478
25,12,,0.0,log2,5.0,0.7725309521984286,0.012420885166047675,0.6496016441200078,0.037813567819739366,0.8468089212265781,0.011562319838666074,0.6943880597014924,0.04181980653194644
32,16,2.0,0.01,sqrt,3.0,0.689622176532442,0.025464002209435836,0.6484697193734837,0.036330747916561865,0.797411641846778,0.021550913733801916,0.7370241102181401,0.02237338905234934
36,48,3.0,0.005,,10.0,0.9526527469246482,0.008897003546585519,0.6483324589783914,0.030307733185269897,0.9880768394769988,0.0038375115752378075,0.6795752009184846,0.058002887078120555
24,12,3.0,0.005,,10.0,0.8197622103169367,0.008616757959618294,0.6477609559607286,0.050854862983844284,0.8666302542552362,0.012447406081214377,0.6574856486796786,0.04984042229689752
28,6,,0.0001,log2,5.0,0.7053139333300762,0.04924028859683141,0.6464190513920997,0.034268557080769334,0.7964564778794602,0.013766966330448554,0.6901768082663604,0.039523374729840494
18,8,,0.01,log2,8.0,0.7135624590549186,0.038275827986771434,0.6462110534699855,0.06386648004047826,0.8077521164714145,0.013673151816589816,0.7145166475315728,0.029741129300117883
26,32,3.0,0.0001,sqrt,6.0,0.8654622143455779,0.007415126576052448,0.6414366807772359,0.024947112212458336,0.9399231438030163,0.0070413739500358894,0.6864500574052813,0.04335065951488895
35,8,,0.0005,sqrt,2.0,0.7126926410980985,0.036866430919589736,0.6393409924023494,0.044190695529146125,0.8180517316330966,0.010777109998982053,0.7268909299655568,0.0412760265323557
3,24,4.0,0.0001,log2,,0.8562768909687939,0.006800411675107396,0.6388129462745609,0.05100714682586355,0.9281032640197073,0.01022481822880862,0.6886061997703788,0.055653852711556324
31,32,2.0,0.005,,8.0,0.9040932137322331,0.014005703137751171,0.6379087460263553,0.04554357416031379,0.9570774999164001,0.006896077097087178,0.6945809414466131,0.06817085959700088
15,8,3.0,0.0005,sqrt,6.0,0.7315750053746741,0.029656314772580593,0.6374118648049204,0.03976003694850324,0.8189947736114054,0.014968661510336467,0.7226636050516648,0.03452524472719772
7,16,,0.005,log2,4.0,0.7787071357918939,0.013162743209881278,0.6316660164521213,0.03352645850019576,0.874361853911919,0.010270985625301545,0.6820298507462688,0.055685149347053264
11,16,6.0,0.0005,sqrt,6.0,0.7944856152386723,0.01601621727502756,0.6190212196899127,0.044347715757728196,0.8851427956371987,0.01657977059997377,0.7019035591274397,0.02820738409313748
20,32,2.0,0.005,log2,5.0,0.7447938206590756,0.06853219173032432,0.6155670934698161,0.024252588689787906,0.8628764086587228,0.019825331869744525,0.666174512055109,0.023677088568656267
10,12,8.0,0.0,sqrt,8.0,0.7711685612546789,0.009880742630691228,0.6124772816732416,0.025685090019909172,0.856369826558024,0.009303613444406816,0.6971320321469576,0.04299759365618217
13,24,1.0,0.0005,log2,8.0,0.7458171971021803,0.07716955567487058,0.6088247841986186,0.039793125009644714,0.8505162991985553,0.051444203967111,0.6476280137772675,0.050805304922349505
21,32,8.0,0.0005,sqrt,6.0,0.8675333592322826,0.004440548411179486,0.6078550422770371,0.05025299609844427,0.949038949204686,0.003326359290950121,0.6476670493685419,0.0879572981088951
16,4,4.0,0.005,sqrt,10.0,0.6517247401477088,0.06655356951794282,0.607216244638837,0.0670718534473044,0.7696276947042235,0.021166753888095535,0.7002273249138921,0.08023117548869312
33,32,1.0,0.01,sqrt,6.0,0.6673638733333457,0.0938122662407099,0.603429696661725,0.08675392642674638,0.7944378532096799,0.023831828264803723,0.7075063145809415,0.022399672457023758
23,6,2.0,0.005,sqrt,4.0,0.6722178112215801,0.07709727461019615,0.5749492783273759,0.09427728147810059,0.7920668200260832,0.015307340275044748,0.6991526980482206,0.027090543669113627
1,4,,0.0005,log2,2.0,0.561694985353838,0.1273911617883751,0.5056479267211378,0.07577197260147596,0.748280872058676,0.023680037993125676,0.6600482204362801,0.059807988298034236
22,16,1.0,0.0,sqrt,2.0,0.49259970112537993,0.10424675885308335,0.473100147403492,0.06967526312715634,0.706278563307436,0.030978897071947117,0.6040665901262916,0.04569308445569564
